	baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5	0	NA	NA	NA	NA
AL627309.1	5.43601269496043	-0.00519588698492044	0.0447564692054316	0.403056745927065	NA
OR4F29	0	NA	NA	NA	NA
OR4F16	0	NA	NA	NA	NA
AL669831.1	1.52853279572924	-0.00133947065131482	0.0445915899329879	0.745563751269901	NA
AL645608.2	6.45981870554753	0.00209633643690713	0.0441268836216479	0.784862107551527	NA
SAMD11	195.942208741135	0.0142170083348017	0.0391725824013713	0.50654502109539	NA
AL645608.1	0	NA	NA	NA	NA
NOC2L	259.808371473335	0.0463239171420338	0.0478176830545706	0.0983630354990936	NA
KLHL17	167.120731511116	0.0200503650430742	0.0408570461709672	0.371171955642557	NA
PLEKHN1	110.896911284696	0.041282592923897	0.0566068505524037	0.0854412015766494	NA
PERM1	79.9843950024101	0.049898879765482	0.0733807623100262	0.0512232713872427	NA
HES4	3.0743041699279	0.00586328169717108	0.0449758191203006	0.289874796820344	NA
ISG15	210.784443208176	0.133839536851677	0.0583881057514752	0.00159189722063512	NA
AGRN	762.490236077897	0.0393663113464341	0.0440022399915945	0.160275205182956	0.400882928445102
RNF223	83.5152493131552	0.00840547966706578	0.0418532393606667	0.61700810410251	NA
C1orf159	551.480959114994	0.0541109921300163	0.0453206744159555	0.0605078967974179	0.231912008210193
TTLL10	421.332009343769	0.0297922537379524	0.0457011360341104	0.203820275779077	0.460557717673492
TNFRSF18	69.240455816197	-0.000977143126719819	0.0408015075980254	0.953123187307204	NA
TNFRSF4	61.8448972215469	0.0136208795294521	0.0436030577466153	0.417994780037823	NA
SDF4	452.414934696489	0.0475335893220984	0.0413440906171948	0.0826599078082402	0.275729434856685
B3GALT6	70.7467412350081	0.017676517497055	0.0435254371876222	0.36017075482973	NA
FAM132A	104.037767773409	0.017431644080327	0.0429963893982549	0.374405154760697	NA
UBE2J2	479.072202214185	0.0420752954708499	0.0377953243795137	0.108741076014318	0.32421971124387
SCNN1D	202.198583409263	0.0961382050759984	0.0777633352875818	0.0164969059700342	NA
ACAP3	392.710453700062	0.0485707424360265	0.0541365466011468	0.0844499358541529	0.279670458797036
PUSL1	54.3866005365264	-0.00403839361725496	0.0411114352457999	0.808885800539707	NA
CPSF3L	234.295811547729	0.0373362878505022	0.0453011763817101	0.150016291660361	NA
CPTP	79.8523790165471	0.0211920175368306	0.0448933256120395	0.288993224843444	NA
TAS1R3	122.018854936107	0.129527222003788	0.0891186650340206	0.00747125295781235	NA
DVL1	356.462216734764	0.0377012044887092	0.0447096656495597	0.148861070046685	0.386161369250377
MXRA8	142.166902691366	0.0163891226484674	0.0412082337918209	0.433935847578629	NA
AURKAIP1	23.8620946286688	0.00465175220306723	0.043320655430952	0.698646421044096	NA
CCNL2	232.203940089491	0.0165644241436033	0.0359697635822064	0.470794194648942	NA
MRPL20	106.731313182635	0.0220670964450027	0.0414050836373467	0.269114778191678	NA
ANKRD65	38.1497235494014	0.00928272939180866	0.0443607935135945	0.438008148081214	NA
TMEM88B	21.4310768894407	0.0117821546880776	0.0452254454188902	0.323474887642253	NA
VWA1	224.219946278674	0.00650724882148931	0.0404817944177793	0.720398973023143	NA
ATAD3C	199.542905365107	0.00254512352241944	0.0402370259714847	0.885976675955064	NA
ATAD3B	235.121553724349	0.0062341932585841	0.04099940706024	0.718167660190802	NA
ATAD3A	220.907627744387	0.141842246701101	0.0564345921704494	0.0008493601735648	NA
TMEM240	155.695710965146	0.0120726662484141	0.0397395081130379	0.553464513271778	NA
SSU72	998.926757574737	0.0197205691618643	0.0296293152454273	0.377261685862976	0.633073877533495
C1orf233	29.9090605343701	-0.00144103622229094	0.0424080179606458	0.915327310731075	NA
MIB2	332.735465679375	0.0525002276322763	0.0549803312034466	0.0752661487053289	0.260622077725292
MMP23B	36.3845642068429	-0.0102908831084332	0.0440252024108941	0.451558712869556	NA
CDK11B	0	NA	NA	NA	NA
SLC35E2B	0	NA	NA	NA	NA
CDK11A	65.0611161544962	-0.00875308144654626	0.0442764240417232	0.456970431919887	NA
SLC35E2	139.889535826813	0.0126509630692246	0.0439350623612993	0.416598851725694	NA
NADK	716.442244050671	0.000895225165066885	0.0359214031939652	0.966970933743202	0.988930136357914
GNB1	2849.935533312	-0.0100882705376796	0.0295752639894484	0.648461301458242	0.828742942471654
CALML6	30.2371729316545	0.0137083355874656	0.0458231677003291	0.267876697922743	NA
TMEM52	33.2707822978831	0.00572500334068275	0.0431763179659265	0.657663681015331	NA
CFAP74	1213.53719624751	0.0297184547821652	0.0375174024245686	0.241181923150495	0.501669936552523
GABRD	251.338174915714	0.00664509321501647	0.0415291835143112	0.69097250016376	NA
PRKCZ	2226.32380838225	0.074360007392097	0.0520207803175388	0.0233633114713734	0.138927393745582
FAAP20	522.698049431148	0.00692492632378347	0.0336822713963049	0.75958759338614	0.890730852979514
AL590822.2	0	NA	NA	NA	NA
AL590822.1	38.7695467032472	0.0153171990868899	0.0448825392001272	0.33700190831341	NA
SKI	3293.38902286604	0.0103026725662917	0.0348544832050009	0.648320727080396	0.828742942471654
MORN1	926.337486988087	0.0839974332531242	0.0500552050227557	0.012616296801185	0.0969287612885148
AL589739.1	0	NA	NA	NA	NA
RER1	217.854355442347	0.00474595981982919	0.0364033904863088	0.828513089891482	NA
PEX10	131.088148828404	0.0362249871375797	0.0502442775613796	0.140933444571757	NA
PLCH2	1069.73583962913	0.150130675606604	0.0662500666665574	0.00143912619358002	0.0306249216908539
PANK4	417.5662699593	0.0501132747656144	0.0496692118653933	0.0809238064979831	0.2726558526026
HES5	17.2712222420172	0.00775992865169267	0.0441201949935917	0.49821941297175	NA
