	baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5	0	NA	NA	NA	NA
AL627309.1	5.32754651256224	-0.00015572043980438	0.00851746987196541	0.269570523647849	0.953593423927041
OR4F29	0	NA	NA	NA	NA
OR4F16	0	NA	NA	NA	NA
AL669831.1	1.5123353055024	-0.000167157188706187	0.00851843004141842	0.089796262900003	0.935889531387379
AL645608.2	6.49449933607108	-0.00014908414723022	0.00851574812188091	0.484311805445461	0.974203809567299
SAMD11	197.029351330403	-0.00099184108757566	0.00856124038424326	0.211996226773821	0.947751236338573
AL645608.1	0	NA	NA	NA	NA
NOC2L	261.132344792308	-0.00107690570382156	0.00857039595176294	0.160979330450914	0.947751236338573
KLHL17	172.996702492557	-0.000550165238587303	0.00848754017628063	0.567554459657852	0.980497542882678
PLEKHN1	104.196618403117	-0.28286917720681	0.112566430842299	0.000357926669542332	0.492077453971704
PERM1	81.9408298940972	-0.00115218898187035	0.00860755525862079	0.0645723799795877	0.910032696109632
HES4	3.26923896806952	-0.000260381910680139	0.00852112229906551	0.0748383401720977	0.922622659001401
ISG15	209.646784214606	-0.00172089481706922	0.00872014419835479	0.0638873890140222	0.910032696109632
AGRN	770.007001996033	-0.00343312163346173	0.00949078545982739	0.00659096465252522	0.808670831386976
RNF223	87.6166637694195	0.000416317574001435	0.00850835319021913	0.466568513048703	0.972636404671933
C1orf159	545.857085658507	-0.00271725938952785	0.00906663382274457	0.207528586962484	0.947751236338573
TTLL10	416.299101818189	-0.000578133577226851	0.00851119093645638	0.392621361344986	0.972324861790563
TNFRSF18	68.8851287988405	-0.00133723287157986	0.00865245033907155	0.0173943060257197	0.852271938626279
TNFRSF4	64.1038117063019	-0.00142422655481085	0.0086757209958194	0.0075218530623905	0.808670831386976
SDF4	458.319213822072	-0.00216716759761974	0.00886047721725475	0.0334555915001856	0.883543673137954
B3GALT6	71.9448334447644	-0.000369865979180091	0.00850784442331806	0.524031342251189	0.977276406573096
FAM132A	103.868730808348	-0.00148362384254329	0.00868008517982212	0.0267115964789211	0.865456039929943
UBE2J2	484.957939566292	-0.000324693113890547	0.00844910783825351	0.790935863162264	0.991195613548479
SCNN1D	201.875173616139	-0.000159222230386405	0.00848385902022038	0.662876833519579	0.98675482121581
ACAP3	392.176450315001	-0.00152360092241431	0.00866447793293171	0.146488488785411	0.947751236338573
PUSL1	52.8856929003234	-0.000421571933371801	0.00851899505156153	0.397309953193817	0.972324861790563
CPSF3L	232.683341484637	-0.00105014270022263	0.00855472729945607	0.273607874845827	0.957211625555966
CPTP	79.488290132058	-0.000416056435783073	0.00851071069195539	0.476009417350853	0.972636404671933
TAS1R3	125.582885123202	-0.000733907606498898	0.00853562941645617	0.24601263786675	0.953500569625512
DVL1	361.197087051573	-0.000292073810707022	0.00847573620121287	0.734535295402474	0.98825417607632
MXRA8	143.597323364804	0.000402353136743748	0.00849729274108305	0.586636063342873	0.982889582913373
AURKAIP1	22.5062523280902	-0.000533765400696722	0.00853578198510973	0.0750460167902233	0.922622659001401
CCNL2	227.989893347952	-0.000539326218415356	0.00848768330070454	0.565065308054197	0.980497542882678
MRPL20	107.331608436511	-0.000387195495632828	0.00850002789527709	0.514144902327188	0.977104396967029
ANKRD65	41.7050372580939	-0.000226418839711281	0.00851128821346872	0.574339437799959	0.980497542882678
TMEM88B	20.9481889939524	-0.000287566098285786	0.00851756176318487	0.366288312170565	0.966002125240906
VWA1	229.629260120229	-0.000650000939676699	0.00852789651900262	0.610038199202908	0.985238486308237
ATAD3C	208.902144925962	0.00012207632269488	0.00849822642264875	0.836629422874569	0.99486198953043
ATAD3B	233.589329506431	-0.000481610528074621	0.00851826332168328	0.375503595139028	0.967635401679806
ATAD3A	222.696878122458	-0.00104046158371027	0.00856070912364224	0.250713258884905	0.953500569625512
TMEM240	160.859182278519	-0.000262559549064679	0.00848925955618303	0.948955320928491	0.996093569196635
SSU72	995.451698655938	-0.000627653618715808	0.00846996553296548	0.391296980515352	0.972324861790563
C1orf233	27.9440999049386	-0.000682633667802644	0.00854948560418234	0.0508630836583792	0.894857177959858
MIB2	332.089722042631	-0.00119841715012982	0.0086062394017609	0.0962481617879997	0.935889531387379
MMP23B	42.0478562671351	0.000672898552986759	0.00854365606778907	0.130984792490306	0.947751236338573
CDK11B	0	NA	NA	NA	NA
SLC35E2B	0	NA	NA	NA	NA
CDK11A	66.0622604901895	-0.000175462221774484	0.00851190445470893	0.615341988862972	0.98675482121581
SLC35E2	140.19745307491	-8.93217543361132e-05	0.00850381340739493	0.789612667152432	0.991195613548479
NADK	704.745205378205	0.00033774173059993	0.00848915016189114	0.660697998540698	0.98675482121581
GNB1	2895.02410139182	0.00193466491656376	0.00872252404981748	0.154799836290132	0.947751236338573
CALML6	32.8714389515728	-2.65079940112761e-05	0.00850672836762903	0.94458782483721	0.996093569196635
