	baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5	0	NA	NA	NA	NA
AL627309.1	5.49124215051096	-0.000859148316514369	0.0373206890817493	0.823985970010508	NA
OR4F29	0	NA	NA	NA	NA
OR4F16	0	NA	NA	NA	NA
AL669831.1	1.56405239625915	-0.000377816176094841	0.0374230561734396	0.885375072163395	NA
AL645608.2	6.52264675692244	0.00235685276415362	0.0373077673830745	0.625364782556287	NA
SAMD11	196.54572997448	0.0806395919185622	0.0903044827518018	0.0179692730976362	NA
AL645608.1	0	NA	NA	NA	NA
NOC2L	261.640373093999	0.0187978115702022	0.0363965657628548	0.278286567991672	NA
KLHL17	166.553289096839	0.00111915025884643	0.0338163408819516	0.940875435515321	NA
PLEKHN1	111.56154045776	0.0207445873600819	0.0414046990300967	0.173122877806577	NA
PERM1	80.1068437858958	0.0118729700908564	0.0378125235430723	0.32985083220447	NA
HES4	2.9954157597587	-0.000203332954264372	0.0373623905969282	0.95088243852518	NA
ISG15	211.910478620179	0.0462312522989238	0.0588458906512198	0.0551101990823036	NA
AGRN	757.192224878782	0.00190744979318079	0.0320804518711719	0.842918719563535	0.942052557413492
RNF223	82.8093709941654	-0.00578131850177317	0.0361886056058104	0.607785987659951	NA
C1orf159	551.702442132464	0.0181767037243938	0.0346698115735448	0.335665480263384	NA
TTLL10	420.991857501127	0.00466356518729209	0.0336621112439882	0.731281650354507	NA
TNFRSF18	68.9093427765971	0.00225315653791445	0.0357048351791019	0.83469055368317	NA
TNFRSF4	61.7356284387512	0.0120979533267334	0.0384143056372554	0.279909452849016	NA
SDF4	451.804289049185	0.00694307976565192	0.0312985171257918	0.696912577232857	NA
B3GALT6	71.445470720874	0.0408722664943376	0.0672593220883899	0.029119101659342	NA
FAM132A	104.857337673822	0.00536278960896822	0.0350860844989411	0.708628007598681	NA
UBE2J2	481.435199721015	0.0173299543706514	0.0325755132064439	0.367829016445102	NA
SCNN1D	202.235318624491	0.0306330963739716	0.0471899932885824	0.103522392219506	NA
ACAP3	393.494768758938	0.00794704580148618	0.0342966538952164	0.610616680710714	NA
PUSL1	53.778787655802	0.014543844233532	0.0393566305762311	0.208429938430678	NA
CPSF3L	233.588601105313	0.0133568877981519	0.0352382738848395	0.422714256068846	NA
CPTP	79.4281560589861	0.00638290284858674	0.0357435878316519	0.612847187406171	NA
TAS1R3	122.225563574573	0.0103535589415825	0.0363859719819636	0.435071216331684	NA
DVL1	355.681834892629	0.00363017475706347	0.0328153135012788	0.830824635350698	NA
MXRA8	141.998749786386	0.00767247629901272	0.0347543342240572	0.606760494720406	NA
AURKAIP1	24.0519847341644	0.00366395646424949	0.0369675345613857	0.628895865344271	NA
CCNL2	232.179621790749	-0.0029229196650988	0.0319867075389321	0.862899218005605	NA
MRPL20	107.280368902819	-0.00754455378150924	0.0342949379219782	0.617929875426061	NA
ANKRD65	37.1860253565196	0.00571281388534006	0.0373670255599307	0.444247059665161	NA
TMEM88B	21.144501775279	-0.00388355273417654	0.0370341119066804	0.599479035551821	NA
VWA1	225.213265643826	-0.00534196797322296	0.0355449761983065	0.667630321848174	NA
ATAD3C	200.305319293686	-0.014157058600736	0.0383062594565504	0.28032429906892	NA
ATAD3B	236.362814897398	0.00311649311620707	0.0356557896110492	0.788866053017105	NA
ATAD3A	222.39937797671	0.0206071224833633	0.0383685288272198	0.246077926232431	NA
TMEM240	155.182609149338	0.00359030952708142	0.0345351165375668	0.797753279711347	NA
SSU72	1003.93933816359	0.00894034118169214	0.0282191795110696	0.636514792676288	0.846945437475834
C1orf233	29.9615224911031	0.00947935617539849	0.0380516157817376	0.299055473185259	NA
MIB2	329.785134430613	0.00481979651307672	0.0334277977721322	0.773477560214363	NA
MMP23B	35.8196608515856	-0.0187461676143824	0.0431009495577331	0.0628094851706413	NA
CDK11B	0	NA	NA	NA	NA
SLC35E2B	0	NA	NA	NA	NA
CDK11A	64.7621093275445	-0.0102979264999178	0.0387421139207128	0.186749253648839	NA
SLC35E2	138.28216425518	-0.00365807653502799	0.0363391972291368	0.715365233557278	NA
NADK	710.777021434111	0.0229413844506694	0.0394532771536325	0.207184992804511	0.539145748149859
GNB1	2837.61739209347	-0.0278240067075988	0.0324066813830456	0.195227744229006	0.524890957684353
CALML6	30.162012552102	0.0068586630243247	0.0375604100910993	0.392151241771532	NA
TMEM52	33.3821775732277	0.00809102609048355	0.0377344924523193	0.349301598119699	NA
CFAP74	1219.35447123255	0.00161006521767452	0.0308214612539505	0.924244678283787	0.975612264979022
GABRD	253.080878809071	-0.0074612318501465	0.0364535414588075	0.43978986565877	NA
PRKCZ	2214.60272523764	0.0303082260105514	0.0426067258537045	0.14472104093388	0.45131059105125
FAAP20	522.439490688046	0.0105623405544281	0.0327611967942031	0.533184805938047	NA
AL590822.2	0	NA	NA	NA	NA
AL590822.1	39.3655413420034	0.00950367659873079	0.0376190124322909	0.362285771553912	NA
SKI	3297.39647949797	-0.00420268762411682	0.0319105754787012	0.815151643222216	0.93229838367097
MORN1	927.695617553867	0.00607142018050883	0.0314611968616191	0.365072466951115	0.686718429956795
AL589739.1	0	NA	NA	NA	NA
RER1	217.079211009582	-0.0161345386686233	0.0365456152501095	0.331973365308953	NA
PEX10	130.981685475415	0.025136816730031	0.0436730882446743	0.152857019540557	NA
PLCH2	1069.83340201257	0.0360511792511123	0.0521787534913761	0.0801688911666586	0.340955174191872
PANK4	419.852502106013	0.014823556241005	0.0349189114197646	0.351433433330157	NA
HES5	17.3224880296708	0.00238510312037361	0.0369227223096936	0.737038963482506	NA
TNFRSF14	301.55764512859	-0.00820382403394655	0.0350468299101242	0.574270467978787	NA
FAM213B	69.396252695447	-0.000852911357255779	0.03570401950294	0.939038150014983	NA
MMEL1	424.49563122904	0.0308560190783766	0.0442510372695245	0.126525495229173	NA
TTC34	353.273099675257	0.0299081215317013	0.0477183577593306	0.100264280957366	NA
ACTRT2	15.3346182502754	0.00691005320210983	0.0378454166617854	0.291676269188154	NA
PRDM16	5207.36028029877	-0.00345885980367467	0.0329765911093248	0.834675390803441	0.939313451884687
ARHGEF16	446.054259095724	0.0154693360403837	0.0357989570339876	0.365555053353871	NA
MEGF6	2358.20847119463	0.0110434331137883	0.0332927390069862	0.465789877017363	0.758020625369468
TPRG1L	72.2437110185654	0.0262807147198448	0.0473429673952545	0.0794242610856824	NA
WRAP73	370.880031940289	0.0225219856992194	0.0346925101866508	0.33108602916714	NA
TP73	1331.14470889854	0.0146948286810895	0.0287851629076695	0.452994623785781	0.75130451130687
CCDC27	278.874240604569	0.0178848547048519	0.0387972693902283	0.253241463808204	NA
SMIM1	111.759213393067	-0.00159842641532665	0.0351865690413148	0.894595412623796	NA
LRRC47	502.270271181217	0.0147347822472151	0.0347289873849305	0.363525070628266	NA
CEP104	645.301939114933	0.0147779190168258	0.0311545912567463	0.438333610953355	0.742170111910582
DFFB	685.044521560814	0.00435049839198502	0.0319887446421945	0.793263729887397	0.924585386075573
C1orf174	313.265145284121	-0.0131929750970522	0.0372683116685655	0.353923053991282	NA
AJAP1	772.615824029388	0.0658910469195299	0.0880075991384883	0.0242599606385841	0.198947507553282
NPHP4	1864.85174826307	0.0165275186686687	0.0334389516022125	0.366180258522674	0.687374219415041
KCNAB2	1924.47147612248	0.0249710852603048	0.0418507703062939	0.171227772026176	0.489444652763738
AL035406.1	0	NA	NA	NA	NA
CHD5	769.512437727065	0.0110853369299758	0.0330775112825943	0.528446445118416	0.795919648156814
RPL22	290.740405351214	-0.0168104843704232	0.0359291050315356	0.340397218156505	NA
RNF207	147.908054805023	0.00704618297434538	0.0344724031674348	0.641765152919832	NA
ICMT	176.657791387855	0.00452279911432222	0.0353150331214565	0.72264561436302	NA
HES3	3.48178514041385	0.0100752700960475	0.0393747658925414	0.00806593812052964	NA
GPR153	188.725471985434	0.00561843696912328	0.0333194514654894	0.723392183601338	NA
ACOT7	2074.83438920533	0.0447435854162219	0.0379936771419207	0.0631962283854825	0.306499068847289
HES2	113.725526398141	0.0165863887063749	0.0399595257284622	0.0815726369934801	NA
ESPN	260.175067802547	0.0836066808564643	0.0990727674951925	0.0166188112290279	NA
TNFRSF25	82.9139492833451	0.00542255493093327	0.0356146501402342	0.662748431447274	NA
PLEKHG5	882.75687911159	0.00646342595529723	0.0312149220660443	0.718790755116039	0.889342681742006
NOL9	362.234098877091	0.0148486872975817	0.0343330925909931	0.413546293288174	NA
TAS1R1	213.538970999348	0.0159854929369908	0.0371179961306173	0.324080433318254	NA
ZBTB48	174.345401889332	0.00827506217079817	0.0325253284663091	0.629152603834737	NA
KLHL21	435.607896768735	0.0167356671672026	0.0307633993458742	0.398602519765746	NA
PHF13	163.090655692286	0.00346512598404733	0.0323464229242508	0.891755114784098	NA
THAP3	169.312624731786	0.0211483990258196	0.0384386626517069	0.241992233626131	NA
DNAJC11	788.278358171863	0.0123200285349143	0.0293813602859668	0.485342712444264	0.770152570978126
CAMTA1	13060.6617974109	-0.013940829877227	0.0341377175724128	0.304353020376474	0.63274716022851
VAMP3	154.52265525601	-0.0354069607161104	0.0522703371970351	0.0946706255148088	NA
PER3	808.115617234626	-0.0653735606656923	0.0563768211692591	0.026743937681436	0.205909205483267
UTS2	150.337050592598	-0.00356329085814833	0.0349166060535486	0.78630541004591	NA
TNFRSF9	360.719144621076	-0.0110963497029172	0.035290801516622	0.472977422202099	NA
PARK7	428.690518804633	-0.0210249518465819	0.0311920480194488	0.281572927775003	NA
ERRFI1	234.702659344969	-0.0129990361475161	0.0342529713300263	0.454829700630202	NA
SLC45A1	392.924767256667	-0.0154309398596632	0.0333142483635419	0.376799836881962	NA
RERE	7971.66719068699	-0.074738471830678	0.0298378904060843	0.00208775025643038	0.0737844703182658
ENO1	404.797605127216	-0.00684254737096452	0.0335856008669744	0.669779567600635	NA
CA6	360.769771543981	0.0110947375456318	0.0334663035053523	0.489379311205199	NA
SLC2A7	327.122136873075	0.0259842532514495	0.040692193280381	0.0981448748488251	NA
SLC2A5	748.027653795952	0.0272727725945897	0.0432294905159081	0.146368203639223	0.453814044312164
GPR157	439.519201864948	0.0187147840436939	0.0342009470440685	0.335103406011604	NA
H6PD	951.86394060017	-0.000747986396993978	0.0304734792188934	0.965649286661295	0.987453003264103
SPSB1	2485.40975185682	-0.005595070349557	0.0334623416728859	0.699249111595316	0.877684215727754
SLC25A33	680.572970919941	0.00333642053333322	0.0273016564338847	0.859033026567383	0.948048071017417
TMEM201	585.131479425231	0.00979437509436317	0.0329188968871836	0.573560138758473	0.819355235686469
PIK3CD	1653.14584077151	0.00283992896080487	0.0322764954417732	0.872963511171828	0.953444345826369
CLSTN1	1768.19069750145	-0.0194950289895122	0.0367404930683753	0.315446917849796	0.643323462128042
CTNNBIP1	1203.83492998405	-0.00686194013929077	0.02985205728217	0.685522881400785	0.871113125581837
LZIC	329.448194855601	-0.00568909129835325	0.0352875301576777	0.645575616598643	NA
NMNAT1	428.775590232669	0.013415860429717	0.0349401175224907	0.428364118411698	NA
RBP7	177.022518684857	0.0156603338892196	0.0353963887426705	0.360041828338847	NA
UBE4B	2006.15836601115	-0.00530561994438543	0.0265518959930774	0.777828907931589	0.921172651115771
KIF1B	1965.28796571512	-0.0064753057448761	0.0320296513003817	0.718340248425092	0.889342681742006
PGD	501.979975029583	0.00201972394614048	0.0321127652611073	0.971786548863908	NA
APITD1-CORT	58.7900842819415	0.0101672673394814	0.0368117994248991	0.424906045312288	NA
APITD1	0	NA	NA	NA	NA
CORT	0	NA	NA	NA	NA
DFFA	226.368008805326	-0.0104638074048878	0.033287689481609	0.545518233767522	NA
PEX14	2438.91772477323	-0.00499544498522088	0.0261334102090346	0.809008692702916	0.929786625106895
CASZ1	2895.44351975296	-0.0100250887777841	0.0312492370831405	0.596035878185021	0.83110726502841
C1orf127	415.672764265315	0.0319369996147182	0.0388193419219296	0.142841758592198	NA
TARDBP	0.087515607470461	-0.000263300724383001	0.0375115042319457	0.915489672044379	NA
RP4-635E18.9	0.559714716296769	0.000280451269892657	0.0374789123471341	0.860011274742653	NA
MASP2	153.929215625928	0.0549056865039332	0.0844998785812415	0.0280082195653963	NA
SRM	73.4924520136684	0.0214909064251728	0.043316697285257	0.121541787763184	NA
EXOSC10	285.253352569191	0.000430555321988648	0.0329042551114134	0.978871453309637	NA
MTOR	1209.04119381998	0.0180838874980246	0.036066954061733	0.276195961506885	0.610302021316532
ANGPTL7	0	NA	NA	NA	NA
UBIAD1	250.387140780658	0.000680566551180097	0.0323782694516722	0.964366401404246	NA
PTCHD2	307.421430547488	0.165581902055586	0.0667808464544315	0.00062114296633604	NA
FBXO2	121.55289453875	0.0249869675025555	0.0457433368775434	0.0999172549960373	NA
FBXO44	136.062330955194	0.033159229005241	0.0500126524643146	0.0454875379444791	NA
FBXO6	200.159699374878	0.010082029686807	0.0336668880975822	0.548169787948505	NA
MAD2L2	178.413174466393	0.0305673634020041	0.0469900135699077	0.107510865810659	NA
DRAXIN	417.80860713496	0.014093771063063	0.0326141897901733	0.433589637826247	NA
AGTRAP	433.40001220628	0.0137117180845818	0.0341299500715349	0.420438169416627	NA
C1orf167	413.18420833003	0.00465185862996437	0.0325959643664205	0.778447310305291	NA
MTHFR	353.99051339078	0.00507446681308439	0.0327040874309285	0.759107931574761	NA
CLCN6	537.189456626191	0.00407797829862759	0.0287572270403375	0.874614125491745	NA
NPPA	46.6781477706527	0.0223291879165287	0.0449057671888165	0.0788240297849638	NA
NPPB	10.0424482903689	0.00172866739409723	0.037062785829	0.776662657230731	NA
KIAA2013	117.440035753406	-0.132735739221738	0.103958303519012	0.00683149784300322	NA
PLOD1	621.68603650572	0.0158250998015067	0.0323295287562026	0.41275102076102	0.722458001868262
MFN2	678.418764156357	0.0142885935689221	0.0327622738436109	0.439385280043042	0.743199799049923
MIIP	304.041850504267	-0.000999701135958579	0.0329223322122618	0.942544211028698	NA
TNFRSF8	1034.15436086108	0.0204598305446773	0.0288871431784568	0.309938926810649	0.636723737260782
TNFRSF1B	1005.229223028	0.0143103900416326	0.0341926421291016	0.420277835031273	0.728027800379811
VPS13D	4086.11750189528	-0.0505652478578261	0.0336317937526552	0.0332732059603602	0.226032981571258
DHRS3	1019.54063170088	-0.0339257805766694	0.0418953196722605	0.214134692688021	0.548264877779203
AADACL4	265.917209941061	-0.0035345691541155	0.0323758781838252	0.831109134342593	NA
AADACL3	70.4907561263486	0.0168839920554974	0.0414256524702004	0.113219986771621	NA
C1orf158	69.543783193757	0.030265693545126	0.0539182049414015	0.0253214487123571	NA
PRAMEF12	8.41056171449814	0.0024232869358648	0.037327214607516	0.60815365689947	NA
PRAMEF1	6.59953524633923	0.00100364407790452	0.0373287013742697	0.794459497564019	NA
PRAMEF11	4.5541640550508	0.00675536995386234	0.038263008480435	0.0536893337780321	NA
HNRNPCL1	58.560232534418	0.0127656018604359	0.0398893999248763	0.103357437432837	NA
PRAMEF2	0	NA	NA	NA	NA
PRAMEF4	0	NA	NA	NA	NA
PRAMEF10	0	NA	NA	NA	NA
PRAMEF7	0	NA	NA	NA	NA
PRAMEF6	18.8198640923402	0.0120875221346746	0.0397705281950147	0.0804117528467802	NA
PRAMEF22	0	NA	NA	NA	NA
WI2-3308P17.2	0	NA	NA	NA	NA
HNRNPCL2	1.40443732206857	0.00128217089149506	0.0374843431713821	0.551465153370986	NA
HNRNPCL4	0	NA	NA	NA	NA
PRAMEF26	1.43492278220748	0.00281617975249543	0.0375953805614798	0.239639717249978	NA
PRAMEF3	0.147944023091814	-8.69668492719102e-05	0.0375074044420352	0.993527621001517	NA
PRAMEF5	10.3938356838479	0.00109522777045443	0.0372167976163886	0.811753364029334	NA
PRAMEF8	0	NA	NA	NA	NA
PRAMEF9	0.0259694251326866	-0.000306643562789709	0.0375134938382186	0.957952171656909	NA
PRAMEF18	0	NA	NA	NA	NA
PRAMEF16	0	NA	NA	NA	NA
PRAMEF21	0.218066231929233	0.000200652633031295	0.0375060060439371	0.868238237021656	NA
PRAMEF15	0.0279414580990082	0.000154150526402076	0.0375125498282918	0.940264180077648	NA
PRAMEF14	0	NA	NA	NA	NA
PRAMEF19	0.0407121954123145	0.000170542897190148	0.0375126642533485	0.940264180077648	NA
PRAMEF17	0	NA	NA	NA	NA
PRAMEF20	0.250214534015231	0.000948187627150527	0.0375214807490869	0.536520754042162	NA
LRRC38	235.478562584788	0.0180647632451106	0.0386283548637163	0.264554613131709	NA
PDPN	150.009966561131	0.025896429745491	0.0433764348559071	0.143558102508491	NA
