	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	EPS15	1857.83917099327	-0.117273930133227	0.0357938537732472	0.000110476072634764	0.00900787009083031
2	PKN2	1332.55836968213	-0.156037285415534	0.0458842122776834	4.89129983569506e-05	0.00685684739815817
3	PTBP2	1139.41810462303	-0.190405121607881	0.0518550267952506	1.46785051870034e-05	0.00366298868265614
4	RSBN1	670.073515943539	-0.206971209271966	0.0490657946111916	1.47256814819221e-06	0.00334511039803251
5	CEP350	1417.25775125943	-0.171927228038548	0.0436194429625786	5.58668053453239e-06	0.0036095389529917
6	SMG7	1128.48418906136	-0.145751765873968	0.0438297732283938	6.78822084070175e-05	0.00788115572951941
7	NEK7	1625.35309443642	-0.172247204029801	0.0523344932507397	6.32802626976263e-05	0.00754106022855097
8	CEP170	655.662368827681	-0.149243608921895	0.0469331121585181	0.000110242603848372	0.00900787009083031
9	ADSS	440.967333759606	-0.280700077528768	0.0745988196415669	7.91792942920752e-06	0.0036095389529917
10	HEATR5B	1155.49467893667	-0.111456359777558	0.0325964476791826	7.40734630510373e-05	0.00799805836613437
11	HNRNPLL	764.372121471763	-0.184690683475176	0.0516742358721768	2.17716407516693e-05	0.00468453136840084
12	EML4	2128.36138661456	-0.147196747692528	0.0447101002551091	7.64234742703002e-05	0.00799805836613437
13	VRK2	1350.58616064502	-0.146026887916821	0.0432441980893573	5.99350093734732e-05	0.00748511301651314
14	PPIG	644.05821442495	-0.138638821943954	0.0403918568769611	5.13422604044892e-05	0.00685684739815817
15	GLS	717.449704404908	-0.251707838749466	0.0680402307295305	1.0509197313669e-05	0.0036095389529917
16	SETD5	943.962803505237	-0.154804469609521	0.0429397540589668	2.36657137333413e-05	0.00476093385967543
17	STT3B	1346.20390969568	-0.159218220048274	0.0467131247018126	5.0826118126637e-05	0.00685684739815817
18	ZNF148	1657.83454321804	-0.149965502315369	0.0403363539002779	1.73690596618972e-05	0.00395708047473694
19	ARMC8	1028.46704719781	-0.174432049811765	0.0550155356735689	9.17802823670471e-05	0.00845999539156849
20	HLTF	484.514870943841	-0.141931475975863	0.0416852534862055	5.47027122636559e-05	0.00706212015323798
21	MBNL1	3526.81216690574	-0.192328773159443	0.0512591010828221	1.06747357630154e-05	0.0036095389529917
22	TIPARP	427.380995551018	-0.204164731613682	0.0587953700491546	2.90684155045436e-05	0.00511736242041351
23	LCORL	1064.69991989952	-0.142460177582525	0.0426838572895615	6.91864949144487e-05	0.00788115572951941
24	DHX15	976.664665277269	-0.169196323462165	0.0459028459699583	1.56047455302988e-05	0.00366298868265614
25	EXOC1	327.117861531643	-0.219292281668511	0.056016002480554	5.10906848365065e-06	0.0036095389529917
