	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	PLEKHN1	104.196618403117	-0.28286917720681	0.112566430842299	0.000357926669542332	0.492077453971704
2	FAM46B	144.552356904642	-0.238344679064655	0.106743056279941	0.000672581519182237	0.492077453971704
3	SPRR2D	6.14009424042462	0.956695375083319	0.394228474407014	0.000458514379336221	0.492077453971704
4	S100A12	26.6996297805037	0.632427387584111	0.27279174589964	0.000634966434877779	0.492077453971704
5	FCRL1	91.0596923313222	0.332786519422606	0.135460744761975	0.000426192564796992	0.492077453971704
6	TAF5L	505.888739689331	0.160025973793027	0.0541012004800401	0.000109343854859146	0.362586100265308
7	CD200R1	232.618122932589	0.27528498571339	0.100603555419435	0.000207174519197581	0.454722172823791
8	IRX2	13.3688586854387	-0.860139543862006	0.348854517837963	0.000427267635906918	0.492077453971704
9	PARP8	1340.63593354114	0.17610184845121	0.0766951896882564	0.000639613967199801	0.492077453971704
10	HIST1H2AH	1.51350050841032	-0.000293405310862058	0.00852360728198275	0.000144547109850057	0.362586100265308
11	AL645922.1	6.51768129011062	-0.000456268649823054	0.00853357779182863	0.000580430709493186	0.492077453971704
12	NACAD	180.210656877172	-0.310339036319814	0.10050345839664	6.59283232954466e-05	0.362586100265308
13	AGAP3	1175.15693706253	-0.122160898641356	0.0548033268392664	0.000650264401194577	0.492077453971704
14	CCL21	10.3008584829814	-0.950860432747553	0.32241086528292	0.000137861572121066	0.362586100265308
15	OR8J3	1.7825795591743	1.83430088892134	0.624287820982627	0.000138340602860151	0.362586100265308
16	CDKN3	158.199488613531	0.226617004167093	0.0899783571789795	0.000356141385854226	0.492077453971704
17	AMN	175.013391606278	-0.227121046242725	0.0992460998687902	0.000597103610979124	0.492077453971704
18	CEP170B	548.02239094216	-0.164266080139316	0.0710343265844584	0.000562128613247627	0.492077453971704
19	RASL12	227.296606817736	-0.19242204729184	0.0759678434451823	0.000333330721997646	0.492077453971704
20	PDXDC1	952.598206109563	-0.204360332709909	0.0820514790164572	0.000350200399014129	0.492077453971704
21	CD300LB	178.095286411156	0.349144392285902	0.142587155310655	0.000455161005542792	0.492077453971704
22	COL20A1	419.776107916316	-0.21907436490988	0.0641914004654188	2.25603652595852e-05	0.259416356789587
23	CABP7	161.727723464751	-0.291568367216601	0.0873455028106364	2.95479647804075e-05	0.259416356789587
24	GCAT	98.2370946161269	-0.32829175176463	0.142207781572862	0.00055078772677458	0.492077453971704
