NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRRM4	serine/arginine repetitive matrix 4 [Source:HGNC Symbol;Acc:HGNC:29389]	335	0.349231481552124	0.020699639	No	
row_1	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	866	0.2753852903842926	0.022406207	No	
row_2	RBM15	RNA binding motif protein 15 [Source:HGNC Symbol;Acc:HGNC:14959]	1104	0.2564913332462311	0.038105935	No	
row_3	CELF3	CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]	1392	0.2380780279636383	0.04899407	No	
row_4	RBFOX1	RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]	1705	0.21926328539848328	0.056400187	No	
row_5	RBFOX3	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]	2491	0.1819373369216919	0.03361916	No	
row_6	RBM15B	RNA binding motif protein 15B [Source:HGNC Symbol;Acc:HGNC:24303]	2975	0.1641625463962555	0.025451487	No	
row_7	HNRNPL	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]	3828	0.13532091677188873	-0.0062349187	No	
row_8	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	4784	0.10793532431125641	-0.046651933	No	
row_9	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]	5346	0.092963807284832	-0.067083314	No	
row_10	CELF5	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]	5957	0.07785001397132874	-0.09190172	No	
row_11	FXR2	FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024]	6846	0.05607086420059204	-0.13444446	No	
row_12	RBM7	RNA binding motif protein 7 [Source:HGNC Symbol;Acc:HGNC:9904]	6872	0.05564845725893974	-0.12958567	No	
row_13	RBM24	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	7492	0.04065227136015892	-0.15906551	No	
row_14	NOVA1	NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886]	7838	0.0321115106344223	-0.17443717	No	
row_15	MYOD1	myogenic differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7611]	7851	0.031857457011938095	-0.1715285	No	
row_16	NOVA2	NOVA alternative splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:7887]	8029	0.027402527630329132	-0.17819077	No	
row_17	RBM4	RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]	8433	0.018449174240231514	-0.19828169	No	
row_18	ZBTB7A	zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]	8715	0.012048334814608097	-0.21238187	No	
row_19	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	8910	0.0072875493206083775	-0.22223194	No	
row_20	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]	9070	0.002888644812628627	-0.23065041	No	
row_21	ZC3H10	zinc finger CCCH-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25893]	9308	0.0	-0.24368097	No	
row_22	CELF6	CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]	9572	0.0	-0.25814104	No	
row_23	WTAP	WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]	9932	0.0	-0.27787936	No	
