NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	313	0.35433995723724365	0.043383993	Yes	
row_1	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	516	0.3159080147743225	0.08629569	Yes	
row_2	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	1092	0.25775429606437683	0.09877284	Yes	
row_3	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	1122	0.25550830364227295	0.14086272	Yes	
row_4	YJEFN3	YjeF N-terminal domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24785]	1260	0.24677254259586334	0.17552567	Yes	
row_5	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	1402	0.23754297196865082	0.2083909	Yes	
row_6	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	1564	0.22649633884429932	0.2382688	Yes	
row_7	ABCG8	ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887]	1702	0.21933577954769135	0.268241	Yes	
row_8	APOA4	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	1949	0.20705457031726837	0.2901252	Yes	
row_9	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	1971	0.20607253909111023	0.32420275	Yes	
row_10	NR1H2	nuclear receptor subfamily 1 group H member 2 [Source:HGNC Symbol;Acc:HGNC:7965]	2412	0.18531207740306854	0.33171156	Yes	
row_11	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	2661	0.17631469666957855	0.34823042	Yes	
row_12	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	2834	0.16932089626789093	0.36772892	Yes	
row_13	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	3318	0.15182527899742126	0.36715028	Yes	
row_14	ZDHHC8	zinc finger DHHC-type palmitoyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:18474]	3397	0.1493782252073288	0.38840353	Yes	
