NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	30	0.49896201491355896	0.02859094	Yes	
row_1	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	33	0.49299511313438416	0.058363743	Yes	
row_2	KRT76	keratin 76 [Source:HGNC Symbol;Acc:HGNC:24430]	73	0.4546744227409363	0.08377404	Yes	
row_3	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	98	0.4305397868156433	0.108548306	Yes	
row_4	KLK14	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]	132	0.4130572974681854	0.13176672	Yes	
row_5	KRT6B	keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]	163	0.39826542139053345	0.1542539	Yes	
row_6	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]	223	0.3800196051597595	0.17403644	Yes	
row_7	KRT37	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	351	0.34550562500953674	0.18797827	Yes	
row_8	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	381	0.3396631181240082	0.20696838	Yes	
row_9	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	428	0.3323371410369873	0.22457728	Yes	
row_10	KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	496	0.32047325372695923	0.24030937	Yes	
row_11	KRT85	keratin 85 [Source:HGNC Symbol;Acc:HGNC:6462]	761	0.2866818308830261	0.2431332	Yes	
row_12	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	809	0.2816445231437683	0.25761423	Yes	
row_13	IVL	involucrin [Source:HGNC Symbol;Acc:HGNC:6187]	850	0.27696213126182556	0.2721973	Yes	
row_14	KRT74	keratin 74 [Source:HGNC Symbol;Acc:HGNC:28929]	955	0.26878464221954346	0.28275657	Yes	
row_15	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	1027	0.2624334394931793	0.29475006	Yes	
row_16	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	1038	0.2616630494594574	0.31005958	Yes	
row_17	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	1114	0.2561931312084198	0.32145432	Yes	
row_18	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	1115	0.25619223713874817	0.33698347	Yes	
row_19	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	1134	0.2546417713165283	0.3514264	Yes	
row_20	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	1195	0.25092247128486633	0.36332855	Yes	
row_21	KRT71	keratin 71 [Source:HGNC Symbol;Acc:HGNC:28927]	1293	0.24461689591407776	0.37280875	Yes	
row_22	KRT79	keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]	1382	0.2385616898536682	0.3824181	Yes	
