NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	1230	0.24836242198944092	-0.04870281	No	
row_1	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	1425	0.235720694065094	-0.04129323	No	
row_2	RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	1940	0.20743589103221893	-0.053687215	No	
row_3	TWNK	twinkle mtDNA helicase [Source:HGNC Symbol;Acc:HGNC:1160]	2153	0.19706478714942932	-0.050237466	No	
row_4	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.057253517	No	
row_5	PIF1	PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]	2737	0.1733189970254898	-0.055131096	No	
row_6	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	3406	0.14908438920974731	-0.08049068	No	
row_7	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	3644	0.14094819128513336	-0.082727104	No	
row_8	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	3847	0.13481608033180237	-0.083505884	No	
row_9	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	3882	0.13362522423267365	-0.07511938	No	
row_10	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	4117	0.1255986988544464	-0.07836906	No	
row_11	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	4482	0.11591584980487823	-0.089525126	No	
row_12	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]	4547	0.11385481059551239	-0.0843096	No	
row_13	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	4567	0.11338157951831818	-0.07665094	No	
row_14	RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	4903	0.10466448217630386	-0.08707301	No	
row_15	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	5240	0.09561074525117874	-0.09824534	No	
row_16	IGHMBP2	immunoglobulin mu DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5542]	5359	0.09260642528533936	-0.097636655	No	
row_17	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	5566	0.08744155615568161	-0.10227329	No	
row_18	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	5962	0.07780111581087112	-0.11806393	No	
row_19	CHTF18	chromosome transmission fidelity factor 18 [Source:HGNC Symbol;Acc:HGNC:18435]	6100	0.07446297258138657	-0.11989521	No	
row_20	RUVBL2	RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475]	6101	0.07446037232875824	-0.11417807	No	
row_21	CHD3	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	6211	0.07129725813865662	-0.11470964	No	
row_22	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	6852	0.05595390126109123	-0.14567709	No	
row_23	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	7018	0.05138495936989784	-0.15082312	No	
row_24	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	7025	0.05123259127140045	-0.14722002	No	
row_25	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	7260	0.045828841626644135	-0.1565945	No	
row_26	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	7358	0.043588798493146896	-0.15859236	No	
row_27	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	7384	0.04290305823087692	-0.15667571	No	
row_28	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	7539	0.03964423015713692	-0.1621171	No	
row_29	GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	7853	0.031822580844163895	-0.17691986	No	
row_30	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	7913	0.03029935620725155	-0.1778443	No	
row_31	ZRANB3	zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]	7928	0.02992437407374382	-0.17631808	No	
row_32	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	8158	0.02459002286195755	-0.18704781	No	
row_33	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	8170	0.024388080462813377	-0.18578136	No	
row_34	CHD8	chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]	8399	0.019349662587046623	-0.19685835	No	
row_35	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	8527	0.01655649207532406	-0.20258476	No	
row_36	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	8640	0.014124393463134766	-0.2076714	No	
row_37	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	8648	0.01388288289308548	-0.20699117	No	
row_38	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	8726	0.011808397248387337	-0.21032716	No	
row_39	HFM1	helicase for meiosis 1 [Source:HGNC Symbol;Acc:HGNC:20193]	8728	0.011772305704653263	-0.20947836	No	
row_40	TREX1	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	9324	0.0	-0.24226254	No	
row_41	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	10806	-0.009736141189932823	-0.3231173	No	
row_42	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	11126	-0.01756473258137703	-0.33934537	No	
row_43	CHD1L	chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]	11323	-0.022914066910743713	-0.3483855	No	
row_44	FBH1	F-box DNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:13620]	11552	-0.02962346561253071	-0.35867366	No	
row_45	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	11584	-0.030580075457692146	-0.35803378	No	
row_46	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	11648	-0.03211657702922821	-0.3590391	No	
row_47	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]	11766	-0.035504065454006195	-0.36275968	No	
row_48	CHD6	chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]	11922	-0.04012829437851906	-0.36821902	No	
row_49	XPC	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	12059	-0.04384946823120117	-0.37234575	No	
row_50	HMGB1	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	12310	-0.05070531368255615	-0.3822274	No	
