NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	133	0.4127230942249298	0.047836863	Yes	
row_1	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	501	0.31992948055267334	0.070420675	Yes	
row_2	GRM6	glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]	531	0.31334155797958374	0.11069265	Yes	
row_3	GRM2	glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]	569	0.3082173764705658	0.1498405	Yes	
row_4	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	622	0.30089375376701355	0.18718582	Yes	
row_5	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	810	0.2815293073654175	0.21452752	Yes	
row_6	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	971	0.26753953099250793	0.24148335	Yes	
row_7	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1259	0.24678058922290802	0.25868872	Yes	
row_8	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	1296	0.24446341395378113	0.28937343	Yes	
row_9	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	1420	0.23586022853851318	0.31412926	Yes	
row_10	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	1937	0.20756079256534576	0.31351417	Yes	
row_11	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	2091	0.1996738612651825	0.3317871	Yes	
row_12	SSTR1	somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330]	2111	0.198805570602417	0.35730547	Yes	
row_13	SULT1A3	sulfotransferase family 1A member 3 [Source:HGNC Symbol;Acc:HGNC:11455]	2115	0.19862599670886993	0.3836788	Yes	
row_14	KCNB1	potassium voltage-gated channel subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:6231]	2371	0.18736252188682556	0.39470336	Yes	
row_15	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	2768	0.17195454239845276	0.3959233	Yes	
row_16	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	2770	0.17182226479053497	0.4188253	Yes	
row_17	SHANK3	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]	3303	0.15243427455425262	0.40996587	Yes	
row_18	SULT1A4	sulfotransferase family 1A member 4 [Source:HGNC Symbol;Acc:HGNC:30004]	3572	0.14292538166046143	0.41433907	Yes	
row_19	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	3629	0.14133837819099426	0.43014666	Yes	
row_20	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	3796	0.13631489872932434	0.43924013	Yes	
row_21	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	4155	0.1244598999619484	0.43620196	No	
row_22	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	4927	0.10401245206594467	0.40774328	No	
row_23	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767]	4961	0.10317902266979218	0.41971597	No	
row_24	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	4977	0.10271719843149185	0.43261585	No	
row_25	GRIA4	glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574]	5267	0.09485334903001785	0.42941254	No	
row_26	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	5757	0.08309894055128098	0.4136516	No	
row_27	GRIK5	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	5855	0.08061224967241287	0.41909328	No	
row_28	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	6892	0.055138640105724335	0.36954656	No	
row_29	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	7352	0.04369388520717621	0.35016882	No	
row_30	GRIK1	glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]	7609	0.03811565786600113	0.3411978	No	
row_31	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	7636	0.03753269836306572	0.34478414	No	
row_32	FRRS1L	ferric chelate reductase 1 like [Source:HGNC Symbol;Acc:HGNC:1362]	7858	0.03172917291522026	0.3368826	No	
row_33	GRM7	glutamate metabotropic receptor 7 [Source:HGNC Symbol;Acc:HGNC:4599]	8293	0.021921401843428612	0.31596923	No	
row_34	GRM1	glutamate metabotropic receptor 1 [Source:HGNC Symbol;Acc:HGNC:4593]	8819	0.009664690122008324	0.28841913	No	
row_35	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	9137	0.0012528286315500736	0.2711718	No	
row_36	GRID2	glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]	9179	2.824864932335913E-4	0.26895717	No	
row_37	DAGLB	diacylglycerol lipase beta [Source:HGNC Symbol;Acc:HGNC:28923]	11124	-0.017530420795083046	0.1645038	No	
row_38	TRPM1	transient receptor potential cation channel subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:7146]	11372	-0.024377478286623955	0.15419164	No	
row_39	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	11946	-0.04064071178436279	0.12814327	No	
row_40	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	12222	-0.04850508272647858	0.11951656	No	
row_41	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	12980	-0.06987609714269638	0.08726606	No	
row_42	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	12990	-0.070307657122612	0.09616534	No	
row_43	GRIA1	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	13781	-0.09386329352855682	0.06530684	No	
row_44	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	14349	-0.11103208363056183	0.048992965	No	
row_45	GRM3	glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595]	16661	-0.20983605086803436	-0.049928233	No	
