NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK5	polo like kinase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:27001]	305	0.35538095235824585	0.0017682727	No	
row_1	GOLGA8Q	golgin A8 family member Q [Source:HGNC Symbol;Acc:HGNC:44408]	648	0.29735156893730164	-0.0015458066	No	
row_2	BHLHA15	basic helix-loop-helix family member a15 [Source:HGNC Symbol;Acc:HGNC:22265]	766	0.28652703762054443	0.0069986694	No	
row_3	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	922	0.2716121971607208	0.01266352	No	
row_4	RAB43	RAB43, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19983]	1261	0.24673156440258026	0.0069193165	No	
row_5	SPTBN5	spectrin beta, non-erythrocytic 5 [Source:HGNC Symbol;Acc:HGNC:15680]	1535	0.22799015045166016	0.0037831806	No	
row_6	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	1877	0.21064209938049316	-0.0040167365	No	
row_7	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	2054	0.20164380967617035	-0.0031759082	No	
row_8	SEC16B	SEC16 homolog B, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:30301]	2310	0.18991027772426605	-0.0073122894	No	
row_9	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	2332	0.1888798326253891	0.0014198289	No	
row_10	ATP8B3	ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]	2385	0.18656785786151886	0.008318916	No	
row_11	ZNF501	zinc finger protein 501 [Source:HGNC Symbol;Acc:HGNC:23717]	2579	0.17877985537052155	0.007023524	No	
row_12	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	-0.014365821	No	
row_13	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]	3241	0.1545289307832718	-0.01301034	No	
row_14	COG4	component of oligomeric golgi complex 4 [Source:HGNC Symbol;Acc:HGNC:18620]	3313	0.15202787518501282	-0.008969406	No	
row_15	CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	3331	0.1513814777135849	-0.0019802176	No	
row_16	PLEKHM2	pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]	3877	0.13377676904201508	-0.025071388	No	
row_17	GOLGA6A	golgin A6 family member A [Source:HGNC Symbol;Acc:HGNC:13567]	3932	0.13219662010669708	-0.021130227	No	
row_18	GOLGA8IP	golgin A8 family member I, pseudogene [Source:HGNC Symbol;Acc:HGNC:26660]	3934	0.13216961920261383	-0.0142635945	No	
row_19	ATP8B2	ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534]	3935	0.1321578323841095	-0.0073423563	No	
row_20	KIFC3	kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]	4029	0.12891487777233124	-0.0057268064	No	
row_21	MYO18A	myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]	4168	0.12414766848087311	-0.006846009	No	
row_22	GOLGA6B	golgin A6 family member B [Source:HGNC Symbol;Acc:HGNC:32205]	4467	0.11623433977365494	-0.017215515	No	
row_23	GAK	cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]	4746	0.10904575139284134	-0.02685701	No	
row_24	TJAP1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	5047	0.10077981650829315	-0.038146332	No	
row_25	GOLGA6D	golgin A6 family member D [Source:HGNC Symbol;Acc:HGNC:32204]	5053	0.10054399818181992	-0.03315686	No	
row_26	COG7	component of oligomeric golgi complex 7 [Source:HGNC Symbol;Acc:HGNC:18622]	5131	0.09843584150075912	-0.032253943	No	
row_27	GORASP1	golgi reassembly stacking protein 1 [Source:HGNC Symbol;Acc:HGNC:16769]	5590	0.0868942141532898	-0.052995894	No	
row_28	TMED1	transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]	5905	0.07907050102949142	-0.066195294	No	
row_29	TANGO2	transport and golgi organization 2 homolog [Source:HGNC Symbol;Acc:HGNC:25439]	6312	0.06860959529876709	-0.085023165	No	
row_30	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]	6323	0.06821510195732117	-0.082002915	No	
