NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	84	0.4430530071258545	0.03663099	Yes	
row_1	RDH8	retinol dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:14423]	168	0.39536580443382263	0.068877086	Yes	
row_2	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	220	0.3809978663921356	0.10154515	Yes	
row_3	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	285	0.36077407002449036	0.13161542	Yes	
row_4	CYP11B2	cytochrome P450 family 11 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:2592]	360	0.34423524141311646	0.15959595	Yes	
row_5	DUOX2	dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]	418	0.33421576023101807	0.18757845	Yes	
row_6	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 [Source:HGNC Symbol;Acc:HGNC:5218]	615	0.3017843961715698	0.20489779	Yes	
row_7	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	668	0.29516929388046265	0.22951986	Yes	
row_8	CHST9	carbohydrate sulfotransferase 9 [Source:HGNC Symbol;Acc:HGNC:19898]	711	0.29131367802619934	0.25433284	Yes	
row_9	AKR1B15	aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281]	765	0.28655293583869934	0.2780977	Yes	
row_10	LHB	luteinizing hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:6584]	920	0.27170059084892273	0.2949257	Yes	
row_11	FDXR	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	1101	0.2567169666290283	0.3089289	Yes	
row_12	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	1125	0.2552022933959961	0.3314246	Yes	
row_13	CHST8	carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]	1305	0.24318906664848328	0.3442233	Yes	
row_14	DHRS11	dehydrogenase/reductase 11 [Source:HGNC Symbol;Acc:HGNC:28639]	1329	0.24165409803390503	0.36545756	Yes	
row_15	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	1355	0.239960715174675	0.38642418	Yes	
row_16	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	1579	0.22542142868041992	0.39514908	Yes	
row_17	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]	1708	0.2190539389848709	0.4085052	Yes	
row_18	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	1775	0.21584880352020264	0.4249723	Yes	
row_19	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554]	1902	0.20929446816444397	0.43752974	Yes	
row_20	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212]	2364	0.18776024878025055	0.4296605	Yes	
row_21	DUOX1	dual oxidase 1 [Source:HGNC Symbol;Acc:HGNC:3062]	2569	0.17923250794410706	0.4351298	Yes	
row_22	SRD5A2	steroid 5 alpha-reductase 2 [Source:HGNC Symbol;Acc:HGNC:11285]	2934	0.1659466177225113	0.43056366	Yes	
row_23	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	2970	0.164237380027771	0.4439302	Yes	
row_24	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217]	3254	0.15390485525131226	0.44269714	Yes	
row_25	CYP27B1	cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]	3428	0.148320272564888	0.44699308	Yes	
