NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	10	0.5454919934272766	0.032108244	Yes	
row_1	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.06392854	Yes	
row_2	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.0949463	Yes	
row_3	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	142	0.4097268283367157	0.11280664	Yes	
row_4	CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	366	0.342931866645813	0.12104461	Yes	
row_5	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	425	0.3328718841075897	0.13777669	Yes	
row_6	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	459	0.3270111083984375	0.15553612	Yes	
row_7	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	482	0.3232468068599701	0.17367661	Yes	
row_8	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	508	0.31772974133491516	0.19132139	Yes	
row_9	GGTLC1	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]	617	0.3014610707759857	0.20341636	Yes	
row_10	GGT2	gamma-glutamyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4251]	696	0.29226547479629517	0.21661466	Yes	
row_11	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	715	0.29093870520591736	0.23304133	Yes	
row_12	AVP	arginine vasopressin [Source:HGNC Symbol;Acc:HGNC:894]	790	0.2843744158744812	0.2459877	Yes	
row_13	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.25675154	Yes	
row_14	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	1013	0.2635848820209503	0.26597235	Yes	
row_15	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	1030	0.26221269369125366	0.2807894	Yes	
row_16	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.2937767	Yes	
row_17	CYP4F22	cytochrome P450 family 4 subfamily F member 22 [Source:HGNC Symbol;Acc:HGNC:26820]	1107	0.2564407289028168	0.30753148	Yes	
row_18	ABCC10	ATP binding cassette subfamily C member 10 [Source:HGNC Symbol;Acc:HGNC:52]	1180	0.2516649663448334	0.31862974	Yes	
row_19	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	1231	0.24833567440509796	0.33074155	Yes	
row_20	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1290	0.244689479470253	0.342194	Yes	
row_21	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	1390	0.23822885751724243	0.3509993	Yes	
row_22	CPA1	carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296]	1449	0.23441952466964722	0.36183688	Yes	
row_23	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1725	0.21804623305797577	0.359731	Yes	
row_24	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1847	0.21209248900413513	0.3657586	Yes	
row_25	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2016	0.2033364176750183	0.3686709	Yes	
row_26	CYP2A13	cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]	2178	0.19584503769874573	0.37152058	Yes	
row_27	AKR1C4	aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]	2421	0.18505513668060303	0.36925873	Yes	
row_28	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	2471	0.18264849483966827	0.37749285	Yes	
row_29	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	2508	0.18129289150238037	0.3863625	Yes	
row_30	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	2661	0.17631469666957855	0.38853902	Yes	
row_31	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	2828	0.16965554654598236	0.38954502	Yes	
row_32	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	2907	0.16688501834869385	0.39523658	Yes	
row_33	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	3251	0.1541082113981247	0.38555378	Yes	
row_34	ALOXE3	arachidonate lipoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:13743]	3478	0.14651277661323547	0.38186643	Yes	
row_35	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3641	0.14102348685264587	0.3813787	Yes	
row_36	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	3738	0.1379331350326538	0.38434455	Yes	
row_37	GGTLC3	gamma-glutamyltransferase light chain family member 3 [Source:HGNC Symbol;Acc:HGNC:33426]	3758	0.13724841177463531	0.39151436	Yes	
row_38	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	3860	0.134315624833107	0.39398795	Yes	
row_39	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	3913	0.13265299797058105	0.39906338	Yes	
row_40	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	4007	0.12956997752189636	0.40169388	Yes	
row_41	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	4166	0.12421783059835434	0.4004205	Yes	
row_42	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	4259	0.12183491140604019	0.40264302	Yes	
row_43	CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]	4265	0.12170752882957458	0.4096542	Yes	
row_44	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	4465	0.11628605425357819	0.4056456	Yes	
row_45	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	4590	0.11286250501871109	0.40556678	Yes	
row_46	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	4595	0.11279423534870148	0.41209945	Yes	
row_47	CYP1A2	cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596]	4598	0.11270738393068314	0.41873717	Yes	
row_48	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	4688	0.11080408841371536	0.42046466	Yes	
row_49	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	4741	0.10926037281751633	0.4241395	Yes	
row_50	CYP4F8	cytochrome P450 family 4 subfamily F member 8 [Source:HGNC Symbol;Acc:HGNC:2648]	4809	0.10722387582063675	0.4268655	Yes	
row_51	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	4837	0.10678847879171371	0.4317706	Yes	
row_52	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	4977	0.10271719843149185	0.4302574	No	
row_53	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	5319	0.09364045411348343	0.41706455	No	
row_54	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	5468	0.08994071930646896	0.41429025	No	
row_55	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	5655	0.08568888902664185	0.40916643	No	
row_56	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	6092	0.07461683452129364	0.38959727	No	
row_57	GGT5	gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]	6104	0.07439729571342468	0.39344513	No	
row_58	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	6272	0.06974689662456512	0.38841432	No	
row_59	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:26891]	6581	0.062021855264902115	0.37514767	No	
row_60	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	6841	0.056165557354688644	0.3642318	No	
row_61	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	6912	0.05446423217654228	0.36363357	No	
row_62	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	7101	0.04936989024281502	0.356225	No	
row_63	CYP2F1	cytochrome P450 family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:2632]	7238	0.04639958217740059	0.35150537	No	
row_64	PLA2G1B	phospholipase A2 group IB [Source:HGNC Symbol;Acc:HGNC:9030]	7832	0.032260049134492874	0.32074484	No	
row_65	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	8378	0.01966073550283909	0.29187623	No	
row_66	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	8512	0.016971614211797714	0.28556007	No	
