NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	33	0.49299511313438416	0.06338641	Yes	
row_1	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	128	0.41509440541267395	0.11311925	Yes	
row_2	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	428	0.3323371410369873	0.14064544	Yes	
row_3	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	533	0.31321999430656433	0.1763559	Yes	
row_4	NEFL	neurofilament light [Source:HGNC Symbol;Acc:HGNC:7739]	640	0.2981278598308563	0.2099605	Yes	
row_5	KRT74	keratin 74 [Source:HGNC Symbol;Acc:HGNC:28929]	955	0.26878464221954346	0.22825776	Yes	
row_6	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	1038	0.2616630494594574	0.2583583	Yes	
row_7	KRT71	keratin 71 [Source:HGNC Symbol;Acc:HGNC:28927]	1293	0.24461689591407776	0.2767555	Yes	
row_8	KRT9	keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]	1738	0.21741405129432678	0.28111723	Yes	
row_9	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	2086	0.19989179074764252	0.2884904	Yes	
row_10	KRT2	keratin 2 [Source:HGNC Symbol;Acc:HGNC:6439]	2175	0.19625933468341827	0.30961162	Yes	
row_11	BFSP2	beaded filament structural protein 2 [Source:HGNC Symbol;Acc:HGNC:1041]	2212	0.1944294273853302	0.3333475	Yes	
row_12	FAM83H	family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]	2614	0.1777469366788864	0.33482543	Yes	
row_13	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	2696	0.17498329281806946	0.3535174	Yes	
row_14	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	2791	0.17102280259132385	0.37097144	Yes	
row_15	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	2896	0.16711165010929108	0.38735884	Yes	
row_16	KRT25	keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839]	2929	0.16613297164440155	0.4075722	Yes	
row_17	SYNM	synemin [Source:HGNC Symbol;Acc:HGNC:24466]	3145	0.1578044295310974	0.41663083	Yes	
row_18	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	3543	0.14369533956050873	0.41382515	Yes	
row_19	KRT6C	keratin 6C [Source:HGNC Symbol;Acc:HGNC:20406]	3921	0.13248921930789948	0.41063616	Yes	
row_20	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	3951	0.13151735067367554	0.42643636	Yes	
row_21	EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	4105	0.1260998249053955	0.43470806	Yes	
row_22	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	5246	0.09535321593284607	0.3846916	No	
row_23	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]	5973	0.07755797356367111	0.35506523	No	
row_24	NES	nestin [Source:HGNC Symbol;Acc:HGNC:7756]	6017	0.07645682245492935	0.3628145	No	
row_25	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	6645	0.060177575796842575	0.33632818	No	
row_26	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	6863	0.055790238082408905	0.3317854	No	
row_27	ATP8A2	ATPase phospholipid transporting 8A2 [Source:HGNC Symbol;Acc:HGNC:13533]	8107	0.025658652186393738	0.26689336	No	
row_28	PRPH	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]	8374	0.019725510850548744	0.2548891	No	
row_29	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	8637	0.014157138764858246	0.24236818	No	
row_30	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	8771	0.010856316424906254	0.23649746	No	
row_31	EVPLL	envoplakin like [Source:HGNC Symbol;Acc:HGNC:35236]	8937	0.0067249806597828865	0.2283224	No	
row_32	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	10565	-0.00420758593827486	0.139498	No	
row_33	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	0.089195274	No	
row_34	TOR1A	torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]	11745	-0.03485887497663498	0.08331263	No	
row_35	NEFM	neurofilament medium [Source:HGNC Symbol;Acc:HGNC:7734]	12295	-0.050377000123262405	0.059815194	No	
row_36	BFSP1	beaded filament structural protein 1 [Source:HGNC Symbol;Acc:HGNC:1040]	12805	-0.06464067101478577	0.040401593	No	
row_37	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	12876	-0.06631230562925339	0.04532597	No	
row_38	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	13115	-0.0732681080698967	0.041941013	No	
row_39	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	13328	-0.07972336560487747	0.040838107	No	
row_40	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]	13386	-0.08137040585279465	0.048468105	No	
