NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP3	poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]	743	0.28821447491645813	-0.024434824	No	
row_1	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	934	0.2706598937511444	-0.019353917	No	
row_2	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	961	0.26840728521347046	-0.0053498135	No	
row_3	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1108	0.2564376890659332	0.0013417964	No	
row_4	SAPCD2	suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]	1301	0.24348361790180206	0.004749072	No	
row_5	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	1622	0.22366036474704742	-4.950176E-5	No	
row_6	EML3	EMAP like 3 [Source:HGNC Symbol;Acc:HGNC:26666]	1985	0.20534896850585938	-0.008219774	No	
row_7	TACC2	transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]	2137	0.19798368215560913	-0.005166549	No	
row_8	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.0013190995	No	
row_9	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	-0.022303618	No	
row_10	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	3011	0.16293424367904663	-0.023088098	No	
row_11	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	-0.019799568	No	
row_12	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]	3256	0.15383997559547424	-0.018512776	No	
row_13	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]	3549	0.14346151053905487	-0.026378945	No	
row_14	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	3556	0.14332889020442963	-0.018465593	No	
row_15	FSD1	fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745]	3589	0.14251546561717987	-0.012034226	No	
row_16	CCDC61	coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]	3879	0.1337532103061676	-0.020293236	No	
row_17	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	-0.01778354	No	
row_18	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	4300	0.12092231214046478	-0.028933398	No	
row_19	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	4712	0.10996338725090027	-0.045295224	No	
row_20	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]	4811	0.1071799099445343	-0.04453961	No	
row_21	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	4904	0.10459359735250473	-0.043601573	No	
row_22	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5588	0.08693436533212662	-0.076302424	No	
row_23	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	5742	0.08346445858478546	-0.079946965	No	
row_24	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	5894	0.07930885255336761	-0.08372014	No	
row_25	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.08300035	No	
row_26	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	6205	0.07149745523929596	-0.09219083	No	
row_27	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	6413	0.06584292650222778	-0.099829786	No	
row_28	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	6546	0.06292340904474258	-0.103496686	No	
row_29	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	6599	0.061250701546669006	-0.10284382	No	
row_30	PSRC1	proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]	6636	0.06047135218977928	-0.10135259	No	
row_31	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	6884	0.055301420390605927	-0.1118059	No	
row_32	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	6959	0.0529450885951519	-0.11284518	No	
row_33	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	7071	0.05011558532714844	-0.11608962	No	
row_34	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	7146	0.048428162932395935	-0.117388725	No	
row_35	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	7237	0.04644196480512619	-0.119685285	No	
row_36	SBDS	SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]	7262	0.0457904152572155	-0.11837613	No	
row_37	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	7281	0.04550369828939438	-0.11675227	No	
row_38	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	7307	0.04492083191871643	-0.11554833	No	
