NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	934	0.2706598937511444	-0.038971566	No	
row_1	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	961	0.26840728521347046	-0.027868763	No	
row_2	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	1224	0.24882979691028595	-0.030722873	No	
row_3	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	1622	0.22366036474704742	-0.042213492	No	
row_4	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1878	0.21062859892845154	-0.04646547	No	
row_5	ANAPC15	anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]	1895	0.20983581244945526	-0.03754642	No	
row_6	EML3	EMAP like 3 [Source:HGNC Symbol;Acc:HGNC:26666]	1985	0.20534896850585938	-0.032871246	No	
row_7	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	2063	0.20123425126075745	-0.027725145	No	
row_8	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2097	0.19939319789409637	-0.020233443	No	
row_9	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.020675173	No	
row_10	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	2659	0.17641456425189972	-0.03398621	No	
row_11	CHMP7	charged multivesicular body protein 7 [Source:HGNC Symbol;Acc:HGNC:28439]	2698	0.17490461468696594	-0.027914908	No	
row_12	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	-0.027004985	No	
row_13	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	-0.021988524	No	
row_14	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	3011	0.16293424367904663	-0.021671265	No	
row_15	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	3041	0.1617371290922165	-0.015717756	No	
row_16	IK	IK cytokine [Source:HGNC Symbol;Acc:HGNC:5958]	3085	0.15985238552093506	-0.010625992	No	
row_17	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	3103	0.15927088260650635	-0.004124535	No	
row_18	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	3223	0.155182883143425	-0.0034509802	No	
row_19	RRS1	ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]	3302	0.15243543684482574	-6.399639E-4	No	
row_20	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	3521	0.1449391394853592	-0.0059161093	No	
row_21	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	3556	0.14332889020442963	-0.0010989289	No	
row_22	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	-0.017860036	No	
row_23	KLHL22	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]	4357	0.11910773068666458	-0.033572063	No	
row_24	AKAP8	A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]	4496	0.11543522030115128	-0.035805486	No	
row_25	CHMP4A	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]	4537	0.11406688392162323	-0.032686975	No	
row_26	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	4576	0.11319340765476227	-0.029498743	No	
row_27	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	5110	0.09882794320583344	-0.05433727	No	
row_28	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	5406	0.09145965427160263	-0.06636723	No	
row_29	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	5742	0.08346445858478546	-0.08098128	No	
row_30	NEK6	NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]	5743	0.08344335108995438	-0.0770829	No	
