NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	934	0.2706598937511444	-0.016342636	No	
row_1	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1108	0.2564376890659332	0.0073072463	No	
row_2	EML3	EMAP like 3 [Source:HGNC Symbol;Acc:HGNC:26666]	1985	0.20534896850585938	-0.014292432	No	
row_3	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	-0.03852222	No	
row_4	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	-0.03397232	No	
row_5	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	3556	0.14332889020442963	-0.03946023	No	
row_6	CCDC61	coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]	3879	0.1337532103061676	-0.039864898	No	
row_7	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	-0.027933287	No	
row_8	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	4300	0.12092231214046478	-0.030326912	No	
row_9	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]	4811	0.1071799099445343	-0.044501945	No	
row_10	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	4904	0.10459359735250473	-0.03603428	No	
row_11	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5588	0.08693436533212662	-0.062336903	No	
row_12	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	5742	0.08346445858478546	-0.059954535	No	
row_13	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.06199166	No	
row_14	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	6205	0.07149745523929596	-0.06599402	No	
