NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP3	poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]	743	0.28821447491645813	-0.021124562	No	
row_1	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	934	0.2706598937511444	-0.012973638	No	
row_2	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	961	0.26840728521347046	0.0040625744	No	
row_3	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1108	0.2564376890659332	0.013660294	No	
row_4	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	1622	0.22366036474704742	7.721486E-4	No	
row_5	EML3	EMAP like 3 [Source:HGNC Symbol;Acc:HGNC:26666]	1985	0.20534896850585938	-0.0050523393	No	
row_6	TACC2	transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]	2137	0.19798368215560913	2.474716E-4	No	
row_7	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	-0.02600003	No	
row_8	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	3011	0.16293424367904663	-0.0249311	No	
row_9	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	-0.019840738	No	
row_10	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]	3256	0.15383997559547424	-0.016806778	No	
row_11	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	3556	0.14332889020442963	-0.023426145	No	
row_12	FSD1	fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745]	3589	0.14251546561717987	-0.015383443	No	
row_13	CCDC61	coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]	3879	0.1337532103061676	-0.022110486	No	
row_14	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	-0.018115457	No	
row_15	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	4300	0.12092231214046478	-0.027875237	No	
row_16	DRG1	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]	4811	0.1071799099445343	-0.048613172	No	
row_17	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	4904	0.10459359735250473	-0.046487346	No	
row_18	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5588	0.08693436533212662	-0.07815481	No	
row_19	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	5742	0.08346445858478546	-0.08084545	No	
row_20	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	5894	0.07930885255336761	-0.0837118	No	
row_21	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.082108885	No	
row_22	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]	6205	0.07149745523929596	-0.09047388	No	
row_23	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	6413	0.06584292650222778	-0.097353764	No	
row_24	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	6599	0.061250701546669006	-0.10333692	No	
row_25	PSRC1	proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]	6636	0.06047135218977928	-0.10116027	No	
row_26	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	6884	0.055301420390605927	-0.11097048	No	
row_27	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	6959	0.0529450885951519	-0.11140642	No	
row_28	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	7071	0.05011558532714844	-0.11407665	No	
row_29	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	7237	0.04644196480512619	-0.11997634	No	
row_30	SBDS	SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]	7262	0.0457904152572155	-0.11814842	No	
row_31	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	7281	0.04550369828939438	-0.11600948	No	
row_32	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	7307	0.04492083191871643	-0.11429652	No	
row_33	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	7834	0.032211944460868835	-0.14107507	No	
row_34	PCNT	pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]	7843	0.03196016326546669	-0.13931684	No	
