NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCHR1	melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]	65	0.46062150597572327	0.02981251	Yes	
row_1	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	146	0.40777406096458435	0.05496769	Yes	
row_2	NTSR2	neurotensin receptor 2 [Source:HGNC Symbol;Acc:HGNC:8040]	194	0.38618990778923035	0.080375716	Yes	
row_3	KISS1R	KISS1 receptor [Source:HGNC Symbol;Acc:HGNC:4510]	268	0.3690720796585083	0.10311075	Yes	
row_4	SORCS2	sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	276	0.36505335569381714	0.12918961	Yes	
row_5	PPY	pancreatic polypeptide [Source:HGNC Symbol;Acc:HGNC:9327]	321	0.35227710008621216	0.15230438	Yes	
row_6	MCHR2	melanin concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:20867]	406	0.3361906409263611	0.17204984	Yes	
row_7	GPR139	G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:HGNC:19995]	473	0.32500535249710083	0.19197582	Yes	
row_8	NPW	neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]	595	0.3048250377178192	0.20740953	Yes	
row_9	PYY	peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]	784	0.2848694622516632	0.21770634	Yes	
row_10	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	938	0.2704291343688965	0.22888404	Yes	
row_11	NPFFR2	neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]	982	0.2662201523780823	0.2458152	Yes	
row_12	OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	993	0.26559606194496155	0.2645187	Yes	
row_13	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	996	0.26501110196113586	0.28362045	Yes	
row_14	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	1098	0.2569328546524048	0.2966838	Yes	
row_15	NPY2R	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:HGNC:7957]	1102	0.25658416748046875	0.31511953	Yes	
row_16	SSTR5	somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	1174	0.2519945800304413	0.32947725	Yes	
row_17	NPBWR2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	1225	0.24880312383174896	0.34476024	Yes	
row_18	OPRD1	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	1356	0.2399531900882721	0.3549954	Yes	
row_19	NXPH4	neurexophilin 4 [Source:HGNC Symbol;Acc:HGNC:8078]	1443	0.23476232588291168	0.36727768	Yes	
row_20	GALR1	galanin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4132]	1477	0.23192858695983887	0.38227367	Yes	
row_21	PTH2	parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828]	1485	0.2314784973859787	0.39866906	Yes	
row_22	GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	1521	0.22883816063404083	0.41333088	Yes	
row_23	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	1531	0.228118434548378	0.42937255	Yes	
row_24	LTB4R2	leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]	1707	0.2190953940153122	0.4356171	Yes	
row_25	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	1743	0.21713456511497498	0.44943047	Yes	
