NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	626	0.29977086186408997	0.01786708	No	
row_1	CEP89	centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907]	2282	0.19118453562259674	-0.03973547	No	
row_2	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	3351	0.15086019039154053	-0.0721155	No	
row_3	IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	6112	0.0743183121085167	-0.21080706	No	
row_4	CCDC13	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]	6210	0.07132585346698761	-0.20370162	No	
row_5	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	6520	0.0633588507771492	-0.20963353	No	
row_6	SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]	6828	0.05631883442401886	-0.21668291	No	
row_7	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	6891	0.05515443533658981	-0.21047376	No	
row_8	TMEM107	transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]	6903	0.054739754647016525	-0.20153472	No	
row_9	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	7071	0.05011558532714844	-0.20197329	No	
row_10	IFT52	intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]	7320	0.04461417719721794	-0.20782153	No	
row_11	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	7618	0.03790821507573128	-0.21753122	No	
row_12	CEP250	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	7620	0.03787877410650253	-0.2109823	No	
row_13	DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	7773	0.03394194319844246	-0.21341643	No	
row_14	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	7984	0.028741950169205666	-0.21994396	No	
row_15	BBS2	Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]	8085	0.02606557495892048	-0.22089414	No	
row_16	IFT88	intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]	8105	0.025674764066934586	-0.2174619	No	
row_17	ATMIN	ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]	8221	0.023355204612016678	-0.21970879	No	
row_18	RPGRIP1	RPGR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13436]	8260	0.02250950038433075	-0.21787235	No	
row_19	VANGL2	VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]	8418	0.018781166523694992	-0.22322437	No	
row_20	IFT122	intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556]	8550	0.016053613275289536	-0.22762336	No	
row_21	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]	9232	0.0	-0.26504093	No	
row_22	MAK	male germ cell associated kinase [Source:HGNC Symbol;Acc:HGNC:6816]	9563	0.0	-0.28317282	No	
row_23	TMEM80	transmembrane protein 80 [Source:HGNC Symbol;Acc:HGNC:27453]	9714	0.0	-0.29141456	No	
row_24	IFT80	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]	9894	0.0	-0.30124974	No	
row_25	MAP4	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	10393	-4.513208841672167E-5	-0.3286045	No	
row_26	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	10564	-0.004198743496090174	-0.33721313	No	
row_27	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	10827	-0.010223107412457466	-0.34982643	No	
row_28	BBS10	Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291]	11241	-0.020975658670067787	-0.3688618	No	
row_29	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	11594	-0.03088475577533245	-0.38281795	No	
row_30	TMEM17	transmembrane protein 17 [Source:HGNC Symbol;Acc:HGNC:26623]	12429	-0.05355755612254143	-0.4193048	No	
row_31	C2CD3	C2 domain containing 3 centriole elongation regulator [Source:HGNC Symbol;Acc:HGNC:24564]	13200	-0.07582990825176239	-0.44839212	Yes	
row_32	IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	13332	-0.07993575930595398	-0.44165376	Yes	
row_33	MKKS	McKusick-Kaufman syndrome [Source:HGNC Symbol;Acc:HGNC:7108]	13389	-0.08149294555187225	-0.43052304	Yes	
row_34	TBC1D32	TBC1 domain family member 32 [Source:HGNC Symbol;Acc:HGNC:21485]	13900	-0.09777818620204926	-0.44149816	Yes	
row_35	GORAB	golgin, RAB6 interacting [Source:HGNC Symbol;Acc:HGNC:25676]	14117	-0.104205422103405	-0.4351989	Yes	
row_36	ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	14443	-0.11497492343187332	-0.43301105	Yes	
row_37	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	14611	-0.12049710750579834	-0.42117918	Yes	
row_38	DISC1	DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]	14639	-0.12137814611196518	-0.40150136	Yes	
row_39	PIBF1	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	15167	-0.1402740180492401	-0.40600175	Yes	
row_40	CEP126	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]	15338	-0.14758113026618958	-0.3896128	Yes	
row_41	RPGRIP1L	RPGRIP1 like [Source:HGNC Symbol;Acc:HGNC:29168]	15792	-0.1650974303483963	-0.38571948	Yes	
row_42	RP1	RP1 axonemal microtubule associated [Source:HGNC Symbol;Acc:HGNC:10263]	16168	-0.1828412413597107	-0.37444693	Yes	
row_43	CEP135	centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]	16275	-0.18705634772777557	-0.34765932	Yes	
row_44	TTC8	tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087]	16911	-0.2253125160932541	-0.34326798	Yes	
row_45	INTU	inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]	17368	-0.25994572043418884	-0.3230034	Yes	
row_46	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	17381	-0.26104456186294556	-0.27815172	Yes	
row_47	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	17410	-0.2635533809661865	-0.23374172	Yes	
row_48	PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	17552	-0.2781462073326111	-0.19299637	Yes	
row_49	BBS7	Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758]	17738	-0.30227652192115784	-0.15046169	Yes	
row_50	CEP350	centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238]	17892	-0.32793453335762024	-0.10169548	Yes	
row_51	TMEM216	transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018]	17969	-0.3454419672489166	-0.04564622	Yes	
row_52	SEPTIN7	septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]	17997	-0.35069307684898376	0.014010833	Yes	
