NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.033516023	Yes	
row_1	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.06677828	Yes	
row_2	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	142	0.4097268283367157	0.086401194	Yes	
row_3	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	220	0.3809978663921356	0.106606185	Yes	
row_4	ELOVL3	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]	358	0.34465280175209045	0.12117099	Yes	
row_5	CYP11B2	cytochrome P450 family 11 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:2592]	360	0.34423524141311646	0.14320666	Yes	
row_6	CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	366	0.342931866645813	0.16493815	Yes	
row_7	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	459	0.3270111083984375	0.18085167	Yes	
row_8	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	464	0.32604092359542847	0.20155436	Yes	
row_9	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	508	0.31772974133491516	0.21957362	Yes	
row_10	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	715	0.29093870520591736	0.22688743	Yes	
row_11	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.23469394	Yes	
row_12	LHB	luteinizing hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:6584]	920	0.27170059084892273	0.25069657	Yes	
row_13	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	1030	0.26221269369125366	0.2615145	Yes	
row_14	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.27561718	Yes	
row_15	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	1125	0.2552022933959961	0.28940332	Yes	
row_16	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1290	0.244689479470253	0.29606462	Yes	
row_17	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	1355	0.239960715174675	0.30793545	Yes	
row_18	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	1390	0.23822885751724243	0.32134902	Yes	
row_19	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	1542	0.2275519222021103	0.3276272	Yes	
row_20	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1725	0.21804623305797577	0.3315864	Yes	
row_21	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	1775	0.21584880352020264	0.3427368	Yes	
row_22	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1847	0.21209248900413513	0.35243332	Yes	
row_23	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2016	0.2033364176750183	0.35622033	Yes	
row_24	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	2018	0.2032010704278946	0.36920533	Yes	
row_25	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	2129	0.19836094975471497	0.3758706	Yes	
row_26	CYP2A13	cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]	2178	0.19584503769874573	0.3857924	Yes	
row_27	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3 [Source:HGNC Symbol;Acc:HGNC:5212]	2364	0.18776024878025055	0.38764262	Yes	
row_28	AKR1C4	aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]	2421	0.18505513668060303	0.396431	Yes	
row_29	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	2508	0.18129289150238037	0.40332404	Yes	
row_30	SDR16C5	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]	2527	0.1808169037103653	0.41393536	Yes	
row_31	CYP27C1	cytochrome P450 family 27 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:33480]	2795	0.1709107756614685	0.41018367	Yes	
row_32	SRD5A2	steroid 5 alpha-reductase 2 [Source:HGNC Symbol;Acc:HGNC:11285]	2934	0.1659466177225113	0.4132251	Yes	
row_33	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	3158	0.15717622637748718	0.41101772	Yes	
row_34	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	3251	0.1541082113981247	0.41583544	Yes	
row_35	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	3408	0.1490539014339447	0.41680053	Yes	
