NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	35	0.4911465644836426	0.022588309	No	
row_1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	180	0.3913908004760742	0.034172487	No	
row_2	ZNF304	zinc finger protein 304 [Source:HGNC Symbol;Acc:HGNC:13505]	339	0.3481415808200836	0.042823624	No	
row_3	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	979	0.2667423188686371	0.020830117	No	
row_4	PRDM12	PR/SET domain 12 [Source:HGNC Symbol;Acc:HGNC:13997]	1379	0.23866234719753265	0.010697209	No	
row_5	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	1645	0.2225644588470459	0.007165501	No	
row_6	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	1741	0.21722263097763062	0.0127614215	No	
row_7	SIRT6	sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934]	1917	0.20837023854255676	0.013494486	No	
row_8	WDR5	WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757]	1956	0.20659221708774567	0.02170951	No	
row_9	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	2028	0.2027253359556198	0.027907856	No	
row_10	SDR16C5	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]	2527	0.1808169037103653	0.00941596	No	
row_11	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	0.018156819	No	
row_12	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	0.010493876	No	
row_13	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	3190	0.1560337096452713	-0.0017752047	No	
row_14	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	3191	0.15602274239063263	0.006014849	No	
row_15	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	3526	0.14452865719795227	-0.005226103	No	
row_16	DNMT3B	DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]	3956	0.13131462037563324	-0.022376599	No	
row_17	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	4069	0.1275310069322586	-0.022198321	No	
row_18	C6orf89	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:21114]	4076	0.12733088433742523	-0.016172387	No	
row_19	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	4197	0.12358110398054123	-0.01663341	No	
row_20	PRDM9	PR/SET domain 9 [Source:HGNC Symbol;Acc:HGNC:13994]	4406	0.11773567646741867	-0.022249244	No	
row_21	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4444	0.11706583946943283	-0.018448919	No	
row_22	AKAP8	A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]	4496	0.11543522030115128	-0.015503661	No	
row_23	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	4565	0.11343233287334442	-0.013597839	No	
row_24	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	4600	0.11264853924512863	-0.009852283	No	
row_25	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	5338	0.0931980311870575	-0.045926236	No	
row_26	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	5573	0.08723544329404831	-0.054501694	No	
row_27	CCT3	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]	5628	0.08618796616792679	-0.053182505	No	
