NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	3041	0.1617371290922165	-0.14418764	No	
row_1	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3174	0.15660487115383148	-0.12921584	No	
row_2	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	3291	0.15285685658454895	-0.11389657	No	
row_3	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	3334	0.15131336450576782	-0.0947291	No	
row_4	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	3526	0.14452865719795227	-0.0847141	No	
row_5	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	4009	0.12954890727996826	-0.09281946	No	
row_6	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	4522	0.11460278928279877	-0.10469502	No	
row_7	SESN2	sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]	5004	0.10213328152894974	-0.11663652	No	
row_8	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	5497	0.08923175185918808	-0.13101374	No	
row_9	SMCR8	SMCR8-C9orf72 complex subunit [Source:HGNC Symbol;Acc:HGNC:17921]	5609	0.08667083829641342	-0.12481344	No	
row_10	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	5700	0.08444632589817047	-0.11777465	No	
row_11	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	6081	0.0749652311205864	-0.12802084	No	
row_12	LARP1	La ribonucleoprotein 1, translational regulator [Source:HGNC Symbol;Acc:HGNC:29531]	6513	0.06346042454242706	-0.14270301	No	
row_13	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]	6621	0.060838282108306885	-0.13994929	No	
row_14	GPSM1	G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]	6973	0.052635639905929565	-0.15177079	No	
row_15	LACRT	lacritin [Source:HGNC Symbol;Acc:HGNC:16430]	6996	0.05219737067818642	-0.14557159	No	
row_16	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	7517	0.0400705523788929	-0.16846523	No	
row_17	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	7635	0.037536755204200745	-0.16956832	No	
row_18	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	7890	0.03095138445496559	-0.17913604	No	
row_19	CALCOCO2	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]	8215	0.023442713543772697	-0.19361688	No	
row_20	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	8286	0.022093158215284348	-0.19432862	No	
row_21	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]	8447	0.018084067851305008	-0.20055605	No	
row_22	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	9125	0.0014976123347878456	-0.23755357	No	
row_23	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	10488	-0.0023894854821264744	-0.31207427	No	
row_24	RUFY4	RUN and FYVE domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24804]	10667	-0.0065621500834822655	-0.32092634	No	
row_25	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	10977	-0.01379544846713543	-0.33595198	No	
row_26	EPM2A	EPM2A glucan phosphatase, laforin [Source:HGNC Symbol;Acc:HGNC:3413]	11009	-0.014553996734321117	-0.33559018	No	
row_27	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	11439	-0.026188641786575317	-0.35545242	No	
row_28	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	11482	-0.027321619912981987	-0.35388312	No	
