NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	626	0.29977086186408997	-0.0012382612	No	
row_1	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	979	0.2667423188686371	0.008932603	No	
row_2	ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	2337	0.1886463761329651	-0.04479677	No	
row_3	KCTD17	potassium channel tetramerization domain containing 17 [Source:HGNC Symbol;Acc:HGNC:25705]	2373	0.18723857402801514	-0.025996676	No	
row_4	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	2584	0.1786818951368332	-0.017765405	No	
row_5	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	2703	0.17472237348556519	-0.004914113	No	
row_6	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	3041	0.1617371290922165	-0.005540993	No	
row_7	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	3351	0.15086019039154053	-0.0058323066	No	
row_8	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	3897	0.13316822052001953	-0.021057438	No	
row_9	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	4420	0.1175486370921135	-0.03674685	No	
row_10	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	4522	0.11460278928279877	-0.02961519	No	
row_11	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	4543	0.11397022008895874	-0.01810006	No	
row_12	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	4786	0.10791899263858795	-0.01946056	No	
row_13	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	5497	0.08923175185918808	-0.0486207	No	
row_14	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5691	0.08470757305622101	-0.049856264	No	
row_15	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	5913	0.07895579934120178	-0.053267937	No	
row_16	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]	6621	0.060838282108306885	-0.08540586	No	
row_17	SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]	6828	0.05631883442401886	-0.09049837	No	
row_18	SAXO1	stabilizer of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:28566]	7060	0.0502631850540638	-0.09763569	No	
row_19	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	7205	0.047302715480327606	-0.100317314	No	
row_20	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	7382	0.042984336614608765	-0.105236314	No	
row_21	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	7618	0.03790821507573128	-0.11396106	No	
row_22	DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	7773	0.03394194319844246	-0.118671335	No	
row_23	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	7780	0.03360572084784508	-0.11528158	No	
row_24	ATMIN	ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]	8221	0.023355204612016678	-0.1368883	No	
row_25	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	8286	0.022093158215284348	-0.13796173	No	
row_26	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]	8447	0.018084067851305008	-0.1447571	No	
row_27	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	9125	0.0014976123347878456	-0.18181369	No	
row_28	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	9550	0.0	-0.20512576	No	
row_29	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	10335	0.0	-0.2482311	No	
row_30	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	10373	0.0	-0.25026542	No	
