NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	622	0.30089375376701355	-0.011033048	No	
row_1	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	1793	0.21470940113067627	-0.05891023	No	
row_2	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	2058	0.20142115652561188	-0.05790159	No	
row_3	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	2372	0.1872415840625763	-0.060687236	No	
row_4	AMN	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	2788	0.17119069397449493	-0.07033145	No	
row_5	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	2791	0.17102280259132385	-0.05723631	No	
row_6	LLGL1	LLGL scribble cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:6628]	2954	0.16489195823669434	-0.05342901	No	
row_7	C16orf70	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	3018	0.16261643171310425	-0.04434347	No	
row_8	SORCS1	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]	3129	0.15824607014656067	-0.03818463	No	
row_9	AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	3293	0.15282846987247467	-0.035363894	No	
row_10	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]	3380	0.14997436106204987	-0.028521573	No	
row_11	RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	3643	0.1409686803817749	-0.032070518	No	
row_12	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	3914	0.13259302079677582	-0.036706902	No	
row_13	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4294	0.12106212973594666	-0.04823848	No	
row_14	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	4592	0.11283596605062485	-0.05588782	No	
row_15	GAK	cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]	4746	0.10904575139284134	-0.055896807	No	
row_16	KIF16B	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]	5106	0.09896869957447052	-0.068032496	No	
row_17	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]	5251	0.09524815529584885	-0.06861103	No	
