NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP10	aquaporin 10 [Source:HGNC Symbol;Acc:HGNC:16029]	199	0.38577011227607727	0.05003701	Yes	
row_1	CRTC2	CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]	552	0.30967921018600464	0.07964066	Yes	
row_2	TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	882	0.27441975474357605	0.10493529	Yes	
row_3	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	898	0.27325278520584106	0.14729917	Yes	
row_4	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	1082	0.2590145766735077	0.17818141	Yes	
row_5	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	1252	0.24727852642536163	0.20797801	Yes	
row_6	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1482	0.2317119985818863	0.23201741	Yes	
row_7	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	1852	0.2119126319885254	0.24523476	Yes	
row_8	MAT1A	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	1935	0.20769912004470825	0.27355623	Yes	
row_9	MCOLN1	mucolipin 1 [Source:HGNC Symbol;Acc:HGNC:13356]	2390	0.18633554875850677	0.2780605	Yes	
row_10	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	2440	0.1841820925474167	0.30447835	Yes	
row_11	AQP2	aquaporin 2 [Source:HGNC Symbol;Acc:HGNC:634]	2713	0.1743948608636856	0.3170959	Yes	
row_12	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	2977	0.16410697996616364	0.328582	Yes	
