NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	30	0.49896201491355896	0.04423437	Yes	
row_1	KCNC3	potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]	40	0.48695701360702515	0.08852036	Yes	
row_2	AQP10	aquaporin 10 [Source:HGNC Symbol;Acc:HGNC:16029]	199	0.38577011227607727	0.11530165	Yes	
row_3	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	370	0.34162795543670654	0.13736318	Yes	
row_4	FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	505	0.31867724657058716	0.15929522	Yes	
row_5	CRTC2	CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]	552	0.30967921018600464	0.1852424	Yes	
row_6	TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	882	0.27441975474357605	0.19237366	Yes	
row_7	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	898	0.27325278520584106	0.21667694	Yes	
row_8	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	1082	0.2590145766735077	0.23042585	Yes	
row_9	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	1252	0.24727852642536163	0.2438659	Yes	
row_10	KCNC1	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	1347	0.24061864614486694	0.26082075	Yes	
row_11	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1482	0.2317119985818863	0.27475533	Yes	
row_12	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	1852	0.2119126319885254	0.27393717	Yes	
row_13	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8 [Source:HGNC Symbol;Acc:HGNC:3554]	1902	0.20929446816444397	0.29048774	Yes	
row_14	MAT1A	methionine adenosyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:6903]	1935	0.20769912004470825	0.3078271	Yes	
row_15	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	1937	0.20756079256534576	0.32685965	Yes	
row_16	MCOLN1	mucolipin 1 [Source:HGNC Symbol;Acc:HGNC:13356]	2390	0.18633554875850677	0.3191219	Yes	
row_17	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	2440	0.1841820925474167	0.3333631	Yes	
row_18	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	0.34490857	Yes	
row_19	AQP2	aquaporin 2 [Source:HGNC Symbol;Acc:HGNC:634]	2713	0.1743948608636856	0.35109586	Yes	
row_20	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	2977	0.16410697996616364	0.35171455	Yes	
row_21	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	3118	0.15889094769954681	0.35862222	Yes	
row_22	CRTC1	CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]	3480	0.14650939404964447	0.3522297	Yes	
row_23	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	3483	0.14640241861343384	0.36558303	Yes	
row_24	CBY1	chibby family member 1, beta catenin antagonist [Source:HGNC Symbol;Acc:HGNC:1307]	3866	0.1341075301170349	0.3568944	No	
row_25	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	5414	0.09122126549482346	0.2801523	No	
row_26	AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	5425	0.09103713184595108	0.28797388	No	
row_27	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	6182	0.0720173642039299	0.25299424	No	
row_28	OSBPL2	oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761]	6316	0.06850706040859222	0.2519753	No	
row_29	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	6892	0.055138640105724335	0.22540385	No	
row_30	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	7178	0.04786863923072815	0.21412244	No	
row_31	TRPV5	transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145]	7549	0.03944936767220497	0.19738926	No	
row_32	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	7594	0.03840654715895653	0.19849987	No	
row_33	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:HGNC Symbol;Acc:HGNC:4845]	7616	0.03799618035554886	0.20083843	No	
row_34	TRPM3	transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]	7906	0.030546121299266815	0.18774392	No	
row_35	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	7939	0.02964162640273571	0.18870886	No	
row_36	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	8058	0.026754144579172134	0.1846757	No	
row_37	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]	8258	0.022527288645505905	0.17579642	No	
row_38	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	8417	0.018800634890794754	0.16883066	No	
row_39	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	8691	0.012736892327666283	0.15497886	No	
row_40	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	9022	0.004156962037086487	0.13720132	No	
row_41	KCNJ12	potassium inwardly rectifying channel subfamily J member 12 [Source:HGNC Symbol;Acc:HGNC:6258]	10480	-0.002219765679910779	0.057227165	No	
row_42	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	10516	-0.003011987078934908	0.05557811	No	
row_43	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	10614	-0.005313314031809568	0.050728846	No	
row_44	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	10714	-0.007489628624171019	0.04596966	No	
row_45	CRTC3	CREB regulated transcription coactivator 3 [Source:HGNC Symbol;Acc:HGNC:26148]	10868	-0.011006761342287064	0.038562313	No	
row_46	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	10894	-0.011764599941670895	0.03826846	No	
row_47	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	11200	-0.019855067133903503	0.023310298	No	
row_48	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	11308	-0.022669879719614983	0.019506874	No	
row_49	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	11358	-0.023906160145998	0.019008862	No	
row_50	TRPM1	transient receptor potential cation channel subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:7146]	11372	-0.024377478286623955	0.020535262	No	
row_51	ACOT13	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	11507	-0.027975060045719147	0.015733907	No	
row_52	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]	11615	-0.031481027603149414	0.0127407685	No	
row_53	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	11626	-0.031724270433187485	0.015107881	No	
row_54	MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]	11970	-0.041356392204761505	3.5881632E-5	No	
row_55	PKD2L1	polycystin 2 like 1, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9011]	12099	-0.04483662545681	-0.0028846818	No	
row_56	APIP	APAF1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17581]	12171	-0.04685478284955025	-0.0024829586	No	
row_57	CUTC	cutC copper transporter [Source:HGNC Symbol;Acc:HGNC:24271]	12212	-0.048298221081495285	-2.4257356E-4	No	
row_58	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	12324	-0.05113967880606651	-0.0016479938	No	
row_59	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	12634	-0.059912458062171936	-0.01314254	No	
row_60	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	12748	-0.06309285014867783	-0.013558789	No	
row_61	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	12990	-0.070307657122612	-0.020355359	No	
row_62	CPSF7	cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]	13171	-0.07506460696458817	-0.023357658	No	
row_63	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	13381	-0.08127985149621964	-0.027384257	No	
row_64	RYR3	ryanodine receptor 3 [Source:HGNC Symbol;Acc:HGNC:10485]	13920	-0.09828189015388489	-0.0479521	No	
row_65	KRT10	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	14079	-0.10283075273036957	-0.04719033	No	
row_66	MIP	major intrinsic protein of lens fiber [Source:HGNC Symbol;Acc:HGNC:7103]	14182	-0.10653439909219742	-0.043006305	No	
row_67	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	14276	-0.10882536321878433	-0.038116332	No	
row_68	SYCP1	synaptonemal complex protein 1 [Source:HGNC Symbol;Acc:HGNC:11487]	14531	-0.11783044785261154	-0.041258026	No	
row_69	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	14637	-0.12129608541727066	-0.035881583	No	
row_70	TRPM7	transient receptor potential cation channel subfamily M member 7 [Source:HGNC Symbol;Acc:HGNC:17994]	14833	-0.1286296397447586	-0.03478341	No	
row_71	USP16	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	15143	-0.13954536616802216	-0.038954798	No	
row_72	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	15181	-0.1406782865524292	-0.028053923	No	
row_73	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	15723	-0.16209976375102997	-0.04291807	No	
row_74	TRPM6	transient receptor potential cation channel subfamily M member 6 [Source:HGNC Symbol;Acc:HGNC:17995]	15928	-0.17129191756248474	-0.038391884	No	
row_75	THG1L	tRNA-histidine guanylyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:26053]	16230	-0.1850174367427826	-0.03794136	No	
row_76	RRM1	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	16608	-0.20582689344882965	-0.039759427	No	
row_77	FARSB	phenylalanyl-tRNA synthetase subunit beta [Source:HGNC Symbol;Acc:HGNC:17800]	16987	-0.22983130812644958	-0.03942504	No	
row_78	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	17617	-0.2868194878101349	-0.0476624	No	
row_79	CPSF6	cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]	18153	-0.40863922238349915	-0.03952425	No	
row_80	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	18225	-0.488433837890625	0.001485717	No	
