NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	59	0.46628323197364807	0.043438148	No	
row_1	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	1793	0.21470940113067627	-0.030441688	No	
row_2	PHETA1	PH domain containing endocytic trafficking adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26509]	2003	0.20400355756282806	-0.0215189	No	
row_3	PLEKHJ1	pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]	2571	0.17917120456695557	-0.034785185	No	
row_4	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	2621	0.17756429314613342	-0.019703826	No	
row_5	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	3161	0.15702050924301147	-0.03364688	No	
row_6	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]	3380	0.14997436106204987	-0.030628933	No	
row_7	TBC1D17	TBC1 domain family member 17 [Source:HGNC Symbol;Acc:HGNC:25699]	3466	0.1469445526599884	-0.020594576	No	
row_8	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]	3642	0.14102105796337128	-0.01610651	No	
row_9	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	3914	0.13259302079677582	-0.017745713	No	
row_10	RGP1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	4281	0.12132963538169861	-0.025741028	No	
row_11	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	5410	0.09126174449920654	-0.07868406	No	
row_12	TBC1D10A	TBC1 domain family member 10A [Source:HGNC Symbol;Acc:HGNC:23609]	5508	0.08897674828767776	-0.07511399	No	
row_13	STX10	syntaxin 10 [Source:HGNC Symbol;Acc:HGNC:11428]	5620	0.08642598986625671	-0.07256981	No	
row_14	SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]	5651	0.08578161895275116	-0.06563225	No	
row_15	DENND2A	DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]	5761	0.08303043246269226	-0.06331797	No	
row_16	VPS51	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	6414	0.06583650410175323	-0.0926096	No	
row_17	TBC1D14	TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]	6485	0.06414228677749634	-0.09004004	No	
