NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RTP1	receptor transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580]	28	0.508089005947113	0.07213143	Yes	
row_1	CST1	cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]	51	0.4765496850013733	0.14001966	Yes	
row_2	GNAT1	G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393]	148	0.4067091643810272	0.1937129	Yes	
row_3	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	380	0.3396714925765991	0.2302639	Yes	
row_4	TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	422	0.3332754373550415	0.27633336	Yes	
row_5	LCN1	lipocalin 1 [Source:HGNC Symbol;Acc:HGNC:6525]	494	0.32053399085998535	0.318906	Yes	
row_6	SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	916	0.27196356654167175	0.33519375	Yes	
row_7	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	1064	0.25995320081710815	0.36480412	Yes	
row_8	CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	1113	0.25624680519104004	0.3993199	Yes	
row_9	REEP2	receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	1914	0.20847822725772858	0.38556576	Yes	
row_10	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	2217	0.19425393640995026	0.3971283	Yes	
row_11	ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	2419	0.1851164847612381	0.41291884	Yes	
row_12	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	2730	0.17376719415187836	0.42107108	Yes	
row_13	AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	2843	0.16888676583766937	0.43940142	Yes	
row_14	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	2890	0.1672549545764923	0.46112368	Yes	
row_15	FFAR4	free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]	3007	0.16304713487625122	0.4783874	Yes	
row_16	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	3881	0.13369998335838318	0.44977728	Yes	
row_17	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	4170	0.12414055317640305	0.4519434	Yes	
row_18	TAS2R1	taste 2 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14909]	4189	0.12379404902458191	0.46890342	Yes	
row_19	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	4473	0.11610561609268188	0.4701794	Yes	
row_20	PIP	prolactin induced protein [Source:HGNC Symbol;Acc:HGNC:8993]	5141	0.09812166541814804	0.44773614	Yes	
row_21	TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	5586	0.08698653429746628	0.43593848	Yes	
row_22	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	5606	0.08671041578054428	0.44746652	Yes	
row_23	P2RX3	purinergic receptor P2X 3 [Source:HGNC Symbol;Acc:HGNC:8534]	5640	0.08603240549564362	0.4581266	Yes	
row_24	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	5690	0.08472085744142532	0.46771684	Yes	
row_25	RTP5	receptor transporter protein 5 (putative) [Source:HGNC Symbol;Acc:HGNC:26585]	5788	0.08240561932325363	0.47433242	Yes	
row_26	P2RX2	purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459]	5883	0.0797482579946518	0.48072764	Yes	
row_27	TAS2R16	taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]	6683	0.059473562985658646	0.4454234	No	
row_28	TAS2R9	taste 2 receptor member 9 [Source:HGNC Symbol;Acc:HGNC:14917]	6788	0.0570555105805397	0.44797847	No	
row_29	TAS2R40	taste 2 receptor member 40 [Source:HGNC Symbol;Acc:HGNC:18885]	6833	0.05627797171473503	0.4537195	No	
row_30	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	7032	0.0509992316365242	0.45022848	No	
row_31	TAS2R39	taste 2 receptor member 39 [Source:HGNC Symbol;Acc:HGNC:18886]	7191	0.04766593128442764	0.44845328	No	
row_32	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	7280	0.04551105201244354	0.45021412	No	
row_33	PKD1L3	polycystin 1 like 3, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:21716]	7303	0.04510070011019707	0.455544	No	
row_34	LPO	lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]	7682	0.03642589598894119	0.4400438	No	
row_35	CST4	cystatin S [Source:HGNC Symbol;Acc:HGNC:2476]	8430	0.018496906384825706	0.40165702	No	
row_36	CALHM3	calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458]	8992	0.004856457933783531	0.37151837	No	
row_37	CALHM1	calcium homeostasis modulator 1 [Source:HGNC Symbol;Acc:HGNC:23494]	8998	0.004771135281771421	0.37193528	No	
row_38	RTP2	receptor transporter protein 2 [Source:HGNC Symbol;Acc:HGNC:32486]	9116	0.0018215732416138053	0.3657669	No	
row_39	GNG13	G protein subunit gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]	9325	0.0	0.35433143	No	
row_40	TAS2R3	taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]	9488	0.0	0.34542495	No	
row_41	TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	9489	0.0	0.34542495	No	
row_42	TAS2R20	taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109]	9865	0.0	0.3248081	No	
row_43	TAS2R10	taste 2 receptor member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	9868	0.0	0.32469815	No	
row_44	TAS2R13	taste 2 receptor member 13 [Source:HGNC Symbol;Acc:HGNC:14919]	9869	0.0	0.32469815	No	
row_45	TAS2R14	taste 2 receptor member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	9870	0.0	0.32469815	No	
row_46	TAS2R43	taste 2 receptor member 43 [Source:HGNC Symbol;Acc:HGNC:18875]	9872	0.0	0.32464316	No	
row_47	TAS2R46	taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877]	9873	0.0	0.32464316	No	
row_48	TAS2R30	taste 2 receptor member 30 [Source:HGNC Symbol;Acc:HGNC:19112]	9877	0.0	0.32447824	No	
row_49	TAS2R31	taste 2 receptor member 31 [Source:HGNC Symbol;Acc:HGNC:19113]	9878	0.0	0.32447824	No	
