NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	969	0.26787418127059937	-0.019327004	No	
row_1	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.06637922	No	
row_2	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	2452	0.18356841802597046	-0.053196017	No	
row_3	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	3223	0.155182883143425	-0.0758552	No	
row_4	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	3521	0.1449391394853592	-0.07382494	No	
row_5	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	5406	0.09145965427160263	-0.16575262	No	
row_6	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.18645439	No	
row_7	MACROH2A1	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	7963	0.029200412333011627	-0.29258114	No	
row_8	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	8038	0.02720930427312851	-0.29320234	No	
row_9	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	8043	0.02702125534415245	-0.2900016	No	
row_10	BOD1	biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]	8315	0.021381651982665062	-0.30218348	No	
row_11	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	8426	0.018630078062415123	-0.30586848	No	
row_12	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	8878	0.00819932296872139	-0.32960805	No	
row_13	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	8965	0.00579094747081399	-0.33359978	No	
row_14	HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	9578	0.0	-0.36722246	No	
row_15	PDS5A	PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]	11630	-0.03180505707859993	-0.47587633	No	
row_16	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	12225	-0.04857848957180977	-0.50236076	No	
row_17	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24645]	12964	-0.06925193220376968	-0.5341395	No	
row_18	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	13234	-0.07710021734237671	-0.53915834	No	
row_19	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	13273	-0.07832877337932587	-0.53133076	No	
row_20	HORMAD2	HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]	13284	-0.07868850976228714	-0.52191937	No	
row_21	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	14118	-0.10420910269021988	-0.55449224	Yes	
row_22	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	14173	-0.10632307082414627	-0.544	Yes	
row_23	RAD21L1	RAD21 cohesin complex component like 1 [Source:HGNC Symbol;Acc:HGNC:16271]	14584	-0.11954715847969055	-0.55139214	Yes	
row_24	CHTF8	chromosome transmission fidelity factor 8 [Source:HGNC Symbol;Acc:HGNC:24353]	14934	-0.13228565454483032	-0.55382043	Yes	
row_25	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	14973	-0.13373282551765442	-0.53897953	Yes	
row_26	WAPL	WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]	15046	-0.13601557910442352	-0.52571756	Yes	
row_27	SLF2	SMC5-SMC6 complex localization factor 2 [Source:HGNC Symbol;Acc:HGNC:17814]	15072	-0.13715186715126038	-0.5097296	Yes	
row_28	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	15256	-0.14370615780353546	-0.5015924	Yes	
row_29	MEIKIN	meiotic kinetochore factor [Source:HGNC Symbol;Acc:HGNC:51253]	15382	-0.14926910400390625	-0.48956454	Yes	
row_30	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	15769	-0.1639135330915451	-0.49002197	Yes	
row_31	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	15813	-0.16645313799381256	-0.47131383	Yes	
row_32	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	15958	-0.17253316938877106	-0.4573849	Yes	
row_33	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	15994	-0.1742725670337677	-0.43724746	Yes	
row_34	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	16249	-0.18579600751399994	-0.42768294	Yes	
row_35	MCMBP	minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]	16585	-0.20511554181575775	-0.42012292	Yes	
row_36	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	16671	-0.21033450961112976	-0.39816752	Yes	
row_37	SMC5	structural maintenance of chromosomes 5 [Source:HGNC Symbol;Acc:HGNC:20465]	16839	-0.22085149586200714	-0.3793858	Yes	
row_38	HORMAD1	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	17111	-0.23838520050048828	-0.36409825	Yes	
row_39	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]	17209	-0.24527230858802795	-0.33837947	Yes	
row_40	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	17284	-0.252438485622406	-0.31048998	Yes	
row_41	NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit [Source:HGNC Symbol;Acc:HGNC:29533]	17356	-0.2592789828777313	-0.28156978	Yes	
row_42	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	17388	-0.26159217953681946	-0.2501592	Yes	
row_43	SLF1	SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]	17401	-0.2628761827945709	-0.21754223	Yes	
row_44	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	17487	-0.27130258083343506	-0.18786916	Yes	
row_45	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	17580	-0.28265565633773804	-0.15714353	Yes	
row_46	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	17610	-0.2859942317008972	-0.12253413	Yes	
row_47	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	17715	-0.299533873796463	-0.090331234	Yes	
row_48	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	17733	-0.30177754163742065	-0.053064633	Yes	
row_49	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	17808	-0.3128635883331299	-0.017526222	Yes	
row_50	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	17903	-0.3307197093963623	0.019173726	Yes	
