NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]	934	0.2706598937511444	-0.041153267	No	
row_1	TUBG2	tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]	961	0.26840728521347046	-0.032139666	No	
row_2	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	969	0.26787418127059937	-0.022095239	No	
row_3	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	979	0.2667423188686371	-0.012205585	No	
row_4	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	1224	0.24882979691028595	-0.01601992	No	
row_5	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	1622	0.22366036474704742	-0.029282441	No	
row_6	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1878	0.21062859892845154	-0.03519326	No	
row_7	ANAPC15	anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]	1895	0.20983581244945526	-0.027907146	No	
row_8	EML3	EMAP like 3 [Source:HGNC Symbol;Acc:HGNC:26666]	1985	0.20534896850585938	-0.024836058	No	
row_9	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	2063	0.20123425126075745	-0.02126105	No	
row_10	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2097	0.19939319789409637	-0.015322494	No	
row_11	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.017268386	No	
row_12	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	2452	0.18356841802597046	-0.020248068	No	
row_13	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	2659	0.17641456425189972	-0.02477931	No	
row_14	CHMP7	charged multivesicular body protein 7 [Source:HGNC Symbol;Acc:HGNC:28439]	2698	0.17490461468696594	-0.020071149	No	
row_15	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	2826	0.16970549523830414	-0.020491293	No	
row_16	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	-0.016783057	No	
