NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	10	0.5454919934272766	0.033290137	Yes	
row_1	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.0662698	Yes	
row_2	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.09841789	Yes	
row_3	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	142	0.4097268283367157	0.117168725	Yes	
row_4	ELOVL3	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]	358	0.34465280175209045	0.12670258	Yes	
row_5	CYP4F12	cytochrome P450 family 4 subfamily F member 12 [Source:HGNC Symbol;Acc:HGNC:18857]	366	0.342931866645813	0.14759162	Yes	
row_6	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	425	0.3328718841075897	0.16504619	Yes	
row_7	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	459	0.3270111083984375	0.1835148	Yes	
row_8	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	482	0.3232468068599701	0.20235604	Yes	
row_9	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	508	0.31772974133491516	0.2206897	Yes	
row_10	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	715	0.29093870520591736	0.22738719	Yes	
row_11	AVP	arginine vasopressin [Source:HGNC Symbol;Acc:HGNC:894]	790	0.2843744158744812	0.24095139	Yes	
row_12	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.25231057	Yes	
row_13	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	1013	0.2635848820209503	0.2621053	Yes	
row_14	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	1030	0.26221269369125366	0.27749074	Yes	
row_15	DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	1056	0.26046741008758545	0.29227194	Yes	
row_16	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.30725476	Yes	
row_17	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	1231	0.24833567440509796	0.31422985	Yes	
row_18	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1290	0.244689479470253	0.32621375	Yes	
row_19	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	1390	0.23822885751724243	0.33553752	Yes	
row_20	ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	1542	0.2275519222021103	0.34133345	Yes	
row_21	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1725	0.21804623305797577	0.34483138	Yes	
row_22	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1847	0.21209248900413513	0.35132137	Yes	
row_23	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2016	0.2033364176750183	0.3546782	Yes	
row_24	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	2018	0.2032010704278946	0.36722928	Yes	
row_25	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	2129	0.19836094975471497	0.37347358	Yes	
row_26	CYP2A13	cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]	2178	0.19584503769874573	0.38297835	Yes	
row_27	FADS3	fatty acid desaturase 3 [Source:HGNC Symbol;Acc:HGNC:3576]	2267	0.19165979325771332	0.39001924	Yes	
row_28	AKR1C4	aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]	2421	0.18505513668060303	0.39306852	Yes	
row_29	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	2508	0.18129289150238037	0.3995765	Yes	
row_30	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	2828	0.16965554654598236	0.3925229	Yes	
row_31	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	2907	0.16688501834869385	0.39857787	Yes	
row_32	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	3158	0.15717622637748718	0.39455238	Yes	
row_33	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	3251	0.1541082113981247	0.39904323	Yes	
row_34	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	3408	0.1490539014339447	0.39969376	Yes	
row_35	ALOXE3	arachidonate lipoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:13743]	3478	0.14651277661323547	0.40498084	Yes	
row_36	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3641	0.14102348685264587	0.40480253	Yes	
row_37	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	3913	0.13265299797058105	0.39809844	Yes	
row_38	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	3936	0.1321335881948471	0.40508342	Yes	
row_39	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	4259	0.12183491140604019	0.39489782	Yes	
row_40	CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]	4265	0.12170752882957458	0.40217277	Yes	
row_41	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	4590	0.11286250501871109	0.39132035	Yes	
row_42	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	4595	0.11279423534870148	0.39809746	Yes	
row_43	CYP1A2	cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596]	4598	0.11270738393068314	0.40497938	Yes	
row_44	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	4688	0.11080408841371536	0.40694904	Yes	
row_45	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	4741	0.10926037281751633	0.41086185	Yes	
row_46	CYP4F8	cytochrome P450 family 4 subfamily F member 8 [Source:HGNC Symbol;Acc:HGNC:2648]	4809	0.10722387582063675	0.41382173	Yes	
row_47	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	4837	0.10678847879171371	0.4189588	Yes	
row_48	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	4977	0.10271719843149185	0.4176715	No	
row_49	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	5319	0.09364045411348343	0.40468976	No	
row_50	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	5468	0.08994071930646896	0.40211388	No	
row_51	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	5655	0.08568888902664185	0.39718023	No	
row_52	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	5747	0.08332466334104538	0.3973349	No	
row_53	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	6092	0.07461683452129364	0.38300768	No	
row_54	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	6272	0.06974689662456512	0.37747073	No	
row_55	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	6604	0.06118389964103699	0.36302653	No	
row_56	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	6841	0.056165557354688644	0.35350603	No	
row_57	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	6912	0.05446423217654228	0.3530275	No	
row_58	GSTA1	glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]	7101	0.04936989024281502	0.34573045	No	
row_59	CYP2F1	cytochrome P450 family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:2632]	7238	0.04639958217740059	0.34111464	No	
row_60	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	7252	0.04606904834508896	0.3432563	No	
row_61	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	8378	0.01966073550283909	0.2824823	No	
row_62	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	8512	0.016971614211797714	0.27620614	No	
row_63	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	8757	0.011168058961629868	0.26345325	No	
row_64	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	8804	0.01012456975877285	0.2615465	No	
row_65	ALOX12	arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]	8847	0.008895174600183964	0.2597839	No	
row_66	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	9123	0.001501313061453402	0.244723	No	
row_67	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	9214	0.0	0.23976351	No	
row_68	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	9220	0.0	0.23948799	No	
row_69	CYP2A7	cytochrome P450 family 2 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:2611]	9287	0.0	0.23585102	No	
row_70	CYP2A6	cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610]	9288	0.0	0.23585102	No	
row_71	AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	9444	0.0	0.22730966	No	
row_72	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	9445	0.0	0.22730966	No	
row_73	PLA2G4B	phospholipase A2 group IVB [Source:HGNC Symbol;Acc:HGNC:9036]	9454	0.0	0.22686882	No	
row_74	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	10283	0.0	0.18124144	No	
row_75	PTGS1	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	10436	-0.001040745060890913	0.17292997	No	
row_76	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	10498	-0.002547395881265402	0.16972657	No	
row_77	DAGLB	diacylglycerol lipase beta [Source:HGNC Symbol;Acc:HGNC:28923]	11124	-0.017530420795083046	0.13637316	No	
row_78	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	11463	-0.026943190023303032	0.11941899	No	
row_79	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	0.11980476	No	
row_80	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	12144	-0.04628743603825569	0.08658222	No	
row_81	SCD5	stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088]	12338	-0.05147324874997139	0.07914015	No	
row_82	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	12488	-0.05511736869812012	0.07434879	No	
row_83	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]	12950	-0.06878120452165604	0.05321219	No	
row_84	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	13147	-0.07420442998409271	0.047014993	No	
