NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SISTER_CHROMATID_COHESION	GOBP_SISTER_CHROMATID_COHESION	Details ...	51	-0.5705658	-1.9408677	0.0038095238	0.031985	0.022	3320	tags=53%, list=18%, signal=65%	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	Details ...	137	-0.42671907	-1.8159405	0.0	0.14735155	0.139	3727	tags=39%, list=20%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	Details ...	65	-0.4648714	-1.8011696	0.001996008	0.115531266	0.157	3233	tags=38%, list=18%, signal=47%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION	Details ...	185	-0.44733283	-1.792418	0.0019607844	0.09958515	0.172	3452	tags=39%, list=19%, signal=48%	
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	157	-0.3988993	-1.7747731	0.0	0.09854074	0.204	3719	tags=34%, list=20%, signal=43%	
GOBP_MITOTIC_SPINDLE_ORGANIZATION	GOBP_MITOTIC_SPINDLE_ORGANIZATION	Details ...	112	-0.43345055	-1.7705299	0.0019880715	0.087072104	0.216	3688	tags=39%, list=20%, signal=49%	
GOBP_DNA_DEPENDENT_DNA_REPLICATION	GOBP_DNA_DEPENDENT_DNA_REPLICATION	Details ...	153	-0.4121647	-1.7670289	0.0020120724	0.0785425	0.223	5087	tags=47%, list=28%, signal=65%	
GOBP_GOLGI_ORGANIZATION	GOBP_GOLGI_ORGANIZATION	Details ...	145	-0.41526833	-1.7576019	0.0	0.079858944	0.248	3790	tags=41%, list=21%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY	GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY	Details ...	59	-0.4634302	-1.7574825	0.007952286	0.07110724	0.249	3233	tags=32%, list=18%, signal=39%	
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	Details ...	136	-0.44386426	-1.7436935	0.0	0.07814565	0.295	4081	tags=41%, list=22%, signal=53%	
