NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_EXCRETION	GOBP_EXCRETION	Details ...	57	0.48026863	1.5654354	0.0116054155	1.0	0.887	4828	tags=58%, list=26%, signal=78%	
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	Details ...	114	0.4600924	1.4964144	0.011857707	1.0	0.966	4837	tags=45%, list=26%, signal=60%	
GOBP_TERPENOID_METABOLIC_PROCESS	GOBP_TERPENOID_METABOLIC_PROCESS	Details ...	117	0.49977192	1.4772661	0.039175257	1.0	0.978	4598	tags=48%, list=25%, signal=64%	
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	Details ...	89	0.41536632	1.4707664	0.049713194	1.0	0.979	5076	tags=48%, list=28%, signal=67%	
GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS	GOBP_ARACHIDONIC_ACID_METABOLIC_PROCESS	Details ...	55	0.48411858	1.4531115	0.04312115	1.0	0.989	4977	tags=47%, list=27%, signal=65%	
GOBP_ISOPRENOID_METABOLIC_PROCESS	GOBP_ISOPRENOID_METABOLIC_PROCESS	Details ...	136	0.47155696	1.4507867	0.041753653	1.0	0.989	4598	tags=45%, list=25%, signal=60%	
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	GOBP_HORMONE_BIOSYNTHETIC_PROCESS	Details ...	68	0.48942193	1.4502085	0.028	1.0	0.989	4585	tags=51%, list=25%, signal=68%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY	Details ...	57	0.47598693	1.4427673	0.0625	1.0	0.991	4209	tags=44%, list=23%, signal=57%	
GOBP_ICOSANOID_METABOLIC_PROCESS	GOBP_ICOSANOID_METABOLIC_PROCESS	Details ...	114	0.4317706	1.4310808	0.034979425	1.0	0.991	4837	tags=46%, list=26%, signal=62%	
GOBP_PROTEIN_HOMOTETRAMERIZATION	GOBP_PROTEIN_HOMOTETRAMERIZATION	Details ...	54	0.37255713	1.425979	0.015810277	1.0	0.991	3866	tags=31%, list=21%, signal=40%	
GOBP_CHOLESTEROL_EFFLUX	GOBP_CHOLESTEROL_EFFLUX	Details ...	51	0.42284337	1.4222374	0.0407767	1.0	0.992	4399	tags=37%, list=24%, signal=49%	
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	Details ...	50	0.43924013	1.4160504	0.060728744	1.0	0.993	3796	tags=42%, list=21%, signal=53%	
