NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	0	0.6842228174209595	0.049558714	Yes	
row_1	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	74	0.429013192653656	0.07661016	Yes	
row_2	EPO	erythropoietin [Source:HGNC Symbol;Acc:HGNC:3415]	330	0.3116800785064697	0.085135	Yes	
row_3	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	354	0.30538445711135864	0.105986916	Yes	
row_4	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	570	0.2707603871822357	0.11375189	Yes	
row_5	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	584	0.26922887563705444	0.13253602	Yes	
row_6	CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	588	0.26897597312927246	0.15185283	Yes	
row_7	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	624	0.26449698209762573	0.16908205	Yes	
row_8	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	736	0.2505955696105957	0.1811168	Yes	
row_9	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	739	0.25041845440864563	0.19914459	Yes	
row_10	SAA4	serum amyloid A4, constitutive [Source:HGNC Symbol;Acc:HGNC:10516]	818	0.24075856804847717	0.21228513	Yes	
row_11	C2CD4B	C2 calcium dependent domain containing 4B [Source:HGNC Symbol;Acc:HGNC:33628]	997	0.22352707386016846	0.21866764	Yes	
row_12	MYLK3	myosin light chain kinase 3 [Source:HGNC Symbol;Acc:HGNC:29826]	1181	0.21100574731826782	0.22386773	Yes	
row_13	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	1213	0.20858359336853027	0.2372675	Yes	
row_14	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	1287	0.2035912722349167	0.24799149	Yes	
row_15	SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	1388	0.19717925786972046	0.25676337	Yes	
row_16	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	1410	0.19556555151939392	0.26977122	Yes	
row_17	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	1794	0.17414382100105286	0.2612815	Yes	
row_18	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1882	0.17015738785266876	0.26881245	Yes	
