NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCHR1	melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]	16	0.5541538596153259	0.06372504	Yes	
row_1	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	21	0.5322986841201782	0.1255625	Yes	
row_2	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	131	0.3844151496887207	0.16438065	Yes	
row_3	GRM2	glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]	151	0.3692391514778137	0.20638247	Yes	
row_4	OPRD1	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	684	0.25647372007369995	0.20700581	Yes	
row_5	S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	705	0.2536819279193878	0.23548046	Yes	
row_6	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	758	0.24854739010334015	0.26159543	Yes	
row_7	PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]	862	0.23582100868225098	0.28342006	Yes	
row_8	INSL3	insulin like 3 [Source:HGNC Symbol;Acc:HGNC:6086]	865	0.2354917824268341	0.3107646	Yes	
row_9	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	1224	0.20804479718208313	0.3153176	Yes	
row_10	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1289	0.2034367173910141	0.33551303	Yes	
row_11	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	1390	0.19713100790977478	0.3529921	Yes	
row_12	RIC8A	RIC8 guanine nucleotide exchange factor A [Source:HGNC Symbol;Acc:HGNC:29550]	1640	0.18243838846683502	0.36055836	Yes	
row_13	OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	1730	0.1774909496307373	0.37635309	Yes	
row_14	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	1814	0.17272666096687317	0.39192256	Yes	
row_15	FFAR3	free fatty acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:4499]	2033	0.16340932250022888	0.39897636	Yes	
row_16	GNAT1	G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393]	2236	0.15515509247779846	0.40594837	Yes	
