NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCDC103	coiled-coil domain containing 103 [Source:HGNC Symbol;Acc:HGNC:32700]	133	0.38298338651657104	0.05139838	Yes	
row_1	CCDC114	coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]	805	0.24175426363945007	0.051555917	Yes	
row_2	CFAP46	cilia and flagella associated protein 46 [Source:HGNC Symbol;Acc:HGNC:25247]	1048	0.2208433300256729	0.07210246	Yes	
row_3	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	1152	0.21252061426639557	0.09901801	Yes	
row_4	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	1160	0.21204940974712372	0.13114128	Yes	
row_5	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13 [Source:HGNC Symbol;Acc:HGNC:30718]	1275	0.20426583290100098	0.15618633	Yes	
row_6	CFAP73	cilia and flagella associated protein 73 [Source:HGNC Symbol;Acc:HGNC:37100]	1633	0.18277408182621002	0.16457173	Yes	
row_7	HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	1694	0.1796175241470337	0.18880804	Yes	
row_8	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	2031	0.1635553538799286	0.1954021	Yes	
row_9	DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	2044	0.16263577342033386	0.219675	Yes	
row_10	SPEF1	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]	2505	0.14414285123348236	0.21647309	Yes	
row_11	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	2694	0.1366431713104248	0.22708128	Yes	
row_12	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	2698	0.13658921420574188	0.24785611	Yes	
row_13	TTLL1	tubulin tyrosine ligase like 1 [Source:HGNC Symbol;Acc:HGNC:1312]	3008	0.12599560618400574	0.25017706	Yes	
row_14	CFAP74	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]	3046	0.12489759922027588	0.26728952	Yes	
row_15	RSPH6A	radial spoke head 6 homolog A [Source:HGNC Symbol;Acc:HGNC:14241]	3253	0.11949917674064636	0.27427948	Yes	
row_16	CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	3688	0.1078033521771431	0.2669365	Yes	
row_17	NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	3700	0.10727909207344055	0.28277794	Yes	
row_18	RSPH9	radial spoke head component 9 [Source:HGNC Symbol;Acc:HGNC:21057]	3706	0.10710956901311874	0.2989234	Yes	
row_19	CFAP100	cilia and flagella associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26842]	3994	0.09953144192695618	0.29839724	Yes	
row_20	DNAI2	dynein axonemal intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:18744]	4088	0.09690187871456146	0.30813783	Yes	
row_21	DNAH8	dynein axonemal heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]	4126	0.09588714689016342	0.32080284	Yes	
row_22	TPGS1	tubulin polyglutamylase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:25058]	4140	0.09560835361480713	0.3347451	Yes	
row_23	RSPH1	radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]	4251	0.0926186740398407	0.34289408	Yes	
row_24	DNAH7	dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]	4437	0.08869413286447525	0.34631646	Yes	
row_25	DNAAF3	dynein axonemal assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:30492]	4470	0.08786173909902573	0.35802612	Yes	
row_26	TTLL3	tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]	4529	0.08620326220989227	0.36805156	Yes	
row_27	BBS2	Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]	4662	0.08366313576698303	0.37361762	Yes	
row_28	CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	4753	0.08162402361631393	0.38118103	Yes	
row_29	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	5125	0.07294834405183792	0.3719596	Yes	
row_30	SPAG16	sperm associated antigen 16 [Source:HGNC Symbol;Acc:HGNC:23225]	5248	0.07032761722803116	0.37603125	Yes	
row_31	DNAAF4	dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493]	5339	0.06847631931304932	0.38157907	Yes	
row_32	DNAAF5	dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]	5530	0.06386823207139969	0.3809205	Yes	
row_33	TTC25	tetratricopeptide repeat domain 25 [Source:HGNC Symbol;Acc:HGNC:25280]	5596	0.06254302710294724	0.38693368	Yes	
row_34	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	5673	0.06079139932990074	0.39207336	Yes	
row_35	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	6337	0.04614964500069618	0.3626837	No	
row_36	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	6428	0.04432746022939682	0.3645294	No	
row_37	LRRC6	leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:16725]	6572	0.04107123240828514	0.3629609	No	
row_38	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]	7298	0.026788709685206413	0.32719314	No	
row_39	SPAG17	sperm associated antigen 17 [Source:HGNC Symbol;Acc:HGNC:26620]	7400	0.02471998520195484	0.3254279	No	
row_40	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	7480	0.023062139749526978	0.3246185	No	
row_41	GAS8	growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166]	7594	0.020865635946393013	0.32160234	No	
row_42	CFAP97D1	CFAP97 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:37241]	7879	0.015195181593298912	0.308312	No	
row_43	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	8228	0.00826129037886858	0.2904387	No	
row_44	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol;Acc:HGNC:26669]	8234	0.008186898194253445	0.2914188	No	
row_45	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	8311	0.006662985309958458	0.2882603	No	
row_46	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	8501	0.003338714363053441	0.27837726	No	
row_47	CFAP157	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	9026	0.0	0.24955754	No	
row_48	CCDC65	coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937]	9484	0.0	0.22442278	No	
row_49	TTC26	tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21882]	9919	-0.001088894670829177	0.20071997	No	
row_50	DNAAF2	dynein axonemal assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:20188]	10097	-0.004111180081963539	0.19161533	No	
row_51	TTC12	tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:23700]	10194	-0.006097857374697924	0.18727021	No	
row_52	ARMC4	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]	10378	-0.010218924842774868	0.17877193	No	
row_53	IQCG	IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]	10570	-0.013861612416803837	0.17039208	No	
row_54	FSIP2	fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]	10578	-0.014037854969501495	0.17215917	No	
row_55	LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	11434	-0.03158300369977951	0.12997647	No	
row_56	DAW1	dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]	11489	-0.03248481824994087	0.13198659	No	
row_57	RP1	RP1 axonemal microtubule associated [Source:HGNC Symbol;Acc:HGNC:10263]	12656	-0.05649551749229431	0.076518275	No	
row_58	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]	12803	-0.05989740043878555	0.07767093	No	
row_59	CFAP69	cilia and flagella associated protein 69 [Source:HGNC Symbol;Acc:HGNC:26107]	12872	-0.061749838292598724	0.08339754	No	
row_60	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	13100	-0.06699533015489578	0.08118339	No	
row_61	ARMC2	armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045]	13247	-0.07068567723035812	0.08398995	No	
row_62	DNAH17	dynein axonemal heavy chain 17 [Source:HGNC Symbol;Acc:HGNC:2946]	13254	-0.07088308781385422	0.094526686	No	
row_63	SPAG1	sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]	13780	-0.08350752294063568	0.07845411	No	
row_64	UBE2B	ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]	14052	-0.09052720665931702	0.077427536	No	
row_65	DNAL1	dynein axonemal light chain 1 [Source:HGNC Symbol;Acc:HGNC:23247]	14062	-0.09066107124090195	0.09083135	No	
row_66	RP1L1	RP1 like 1 [Source:HGNC Symbol;Acc:HGNC:15946]	14737	-0.10876059532165527	0.07043528	No	
row_67	JHY	junctional cadherin complex regulator [Source:HGNC Symbol;Acc:HGNC:26288]	15750	-0.13970735669136047	0.036193684	No	
row_68	SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	16442	-0.16675248742103577	0.023753073	No	
row_69	MEIG1	meiosis/spermiogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23429]	17489	-0.2302951067686081	0.0015290647	No	
row_70	RSPH4A	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]	17754	-0.26339927315711975	0.027389666	No	
