NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPPC	natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941]	19	0.535433828830719	0.030580305	Yes	
row_1	NPR2	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	169	0.36254432797431946	0.043771304	Yes	
row_2	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	188	0.35202673077583313	0.063572586	Yes	
row_3	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	293	0.3209478557109833	0.07679052	Yes	
row_4	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	385	0.29757729172706604	0.08934555	Yes	
row_5	HRC	histidine rich calcium binding protein [Source:HGNC Symbol;Acc:HGNC:5178]	461	0.2866659164428711	0.10213927	Yes	
row_6	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	462	0.2865358889102936	0.11906552	Yes	
row_7	FXYD4	FXYD domain containing ion transport regulator 4 [Source:HGNC Symbol;Acc:HGNC:4028]	505	0.27943161129951477	0.13325359	Yes	
row_8	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	796	0.24284148216247559	0.1315899	Yes	
row_9	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	804	0.24185049533843994	0.14549008	Yes	
row_10	FXYD3	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]	952	0.22739017009735107	0.15080765	Yes	
row_11	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	954	0.22731100022792816	0.16418017	Yes	
row_12	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	958	0.2269189953804016	0.17741913	Yes	
row_13	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	983	0.22446653246879578	0.18935394	Yes	
row_14	KCNIP3	potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523]	1204	0.20930801331996918	0.18957357	Yes	
row_15	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	1246	0.2064128965139389	0.19950348	Yes	
row_16	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	1313	0.2016354501247406	0.2077711	Yes	
row_17	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1336	0.2002108097076416	0.21838349	Yes	
