NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	90	0.4113751947879791	0.053551815	Yes	
row_1	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	116	0.393706738948822	0.10816448	Yes	
row_2	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	150	0.3695290982723236	0.15889917	Yes	
row_3	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	520	0.2769976258277893	0.17800373	Yes	
row_4	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	569	0.27135103940963745	0.21395238	Yes	
row_5	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	674	0.25850722193717957	0.24499595	Yes	
row_6	MYOG	myogenin [Source:HGNC Symbol;Acc:HGNC:7612]	787	0.2445712834596634	0.27361798	Yes	
row_7	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	795	0.24287539720535278	0.30777124	Yes	
row_8	RARG	retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]	1137	0.213534876704216	0.3193904	Yes	
row_9	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1158	0.21221177279949188	0.34846845	Yes	
row_10	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1518	0.18990088999271393	0.35573718	Yes	
row_11	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	1547	0.1881498545408249	0.3809537	Yes	
row_12	STRA8	stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]	1699	0.17943546175956726	0.39816904	Yes	
row_13	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2020	0.1644010841846466	0.4039556	Yes	
row_14	PTK7	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	2071	0.16164816915988922	0.42419404	Yes	
row_15	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	2313	0.1519598513841629	0.43255442	Yes	
row_16	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	2331	0.1513736993074417	0.45314595	Yes	
row_17	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2887	0.1306697577238083	0.44121656	Yes	
row_18	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	2946	0.1284794807434082	0.4562984	Yes	
row_19	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	3053	0.12477770447731018	0.46821505	Yes	
row_20	AQP1	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	3231	0.12007541954517365	0.47555974	Yes	
row_21	SERPINF1	serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	3403	0.11534354090690613	0.48256138	Yes	
row_22	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	3852	0.10337412357330322	0.47263277	No	
row_23	SLC6A4	solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050]	4652	0.08389408886432648	0.4406377	No	
row_24	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	5056	0.07431488484144211	0.42905062	No	
row_25	LTK	leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6721]	5590	0.06264199316501617	0.4086568	No	
row_26	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5725	0.059431008994579315	0.4097415	No	
row_27	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]	6511	0.04250308871269226	0.37263006	No	
row_28	BRINP3	BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]	7167	0.029544729739427567	0.34082267	No	
row_29	WNT9B	Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]	7618	0.020474933087825775	0.31899545	No	
row_30	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	7675	0.01921333745121956	0.31864905	No	
row_31	BRINP2	BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746]	7741	0.01794741302728653	0.31762788	No	
row_32	TESC	tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]	7751	0.017749687656760216	0.3196572	No	
row_33	TBX1	T-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11592]	7917	0.014345454052090645	0.31262627	No	
row_34	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	8359	0.0058279880322515965	0.28921095	No	
