NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCDC103	coiled-coil domain containing 103 [Source:HGNC Symbol;Acc:HGNC:32700]	133	0.38298338651657104	0.018917823	Yes	
row_1	EPPIN	epididymal peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:15932]	153	0.36841464042663574	0.043135162	Yes	
row_2	SPEM1	spermatid maturation 1 [Source:HGNC Symbol;Acc:HGNC:32429]	193	0.35021698474884033	0.06499942	Yes	
row_3	CATSPER1	cation channel sperm associated 1 [Source:HGNC Symbol;Acc:HGNC:17116]	770	0.24671848118305206	0.05009524	Yes	
row_4	CCDC114	coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]	805	0.24175426363945007	0.06479701	Yes	
row_5	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	866	0.23546674847602844	0.07763101	Yes	
row_6	CATSPERZ	catsper channel auxiliary subunit zeta [Source:HGNC Symbol;Acc:HGNC:19231]	906	0.23139476776123047	0.09134603	Yes	
row_7	CFAP46	cilia and flagella associated protein 46 [Source:HGNC Symbol;Acc:HGNC:25247]	1048	0.2208433300256729	0.09870173	Yes	
row_8	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	1152	0.21252061426639557	0.10758619	Yes	
row_9	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	1160	0.21204940974712372	0.121742494	Yes	
row_10	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	1166	0.21180981397628784	0.13599287	Yes	
row_11	TEKT3	tektin 3 [Source:HGNC Symbol;Acc:HGNC:14293]	1320	0.20113405585289001	0.14133382	Yes	
row_12	IQCF1	IQ motif containing F1 [Source:HGNC Symbol;Acc:HGNC:28607]	1323	0.20088467001914978	0.15500067	Yes	
row_13	SEMG2	semenogelin 2 [Source:HGNC Symbol;Acc:HGNC:10743]	1365	0.19863897562026978	0.16635868	Yes	
row_14	CFAP298	cilia and flagella associated protein 298 [Source:HGNC Symbol;Acc:HGNC:1301]	1438	0.19434216618537903	0.1757092	Yes	
row_15	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	1458	0.1932806819677353	0.18791527	Yes	
row_16	CFAP73	cilia and flagella associated protein 73 [Source:HGNC Symbol;Acc:HGNC:37100]	1633	0.18277408182621002	0.19083674	Yes	
row_17	TAC4	tachykinin precursor 4 [Source:HGNC Symbol;Acc:HGNC:16641]	1635	0.18267564475536346	0.20331	Yes	
row_18	HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	1694	0.1796175241470337	0.21242417	Yes	
row_19	SMCP	sperm mitochondria associated cysteine rich protein [Source:HGNC Symbol;Acc:HGNC:6962]	1883	0.170151486992836	0.21370643	Yes	
row_20	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	2031	0.1635553538799286	0.21680161	Yes	
row_21	DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	2044	0.16263577342033386	0.2272927	Yes	
row_22	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]	2098	0.16087143123149872	0.23539747	Yes	
row_23	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	2219	0.15578076243400574	0.23945124	Yes	
row_24	TNP1	transition protein 1 [Source:HGNC Symbol;Acc:HGNC:11951]	2292	0.1526433676481247	0.24594192	Yes	
row_25	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	2346	0.15035302937030792	0.2533253	Yes	
row_26	SPEF1	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]	2505	0.14414285123348236	0.25448135	Yes	
row_27	DRC7	dynein regulatory complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:25289]	2689	0.13682492077350616	0.2537542	Yes	
row_28	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	2694	0.1366431713104248	0.26290464	Yes	
row_29	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	2698	0.13658921420574188	0.27210665	Yes	
row_30	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	2847	0.1319522261619568	0.2729791	Yes	
row_31	CFAP221	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]	2941	0.1286296397447586	0.2766626	Yes	
