NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	345	0.3079104721546173	0.038844462	Yes	
row_1	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	354	0.30538445711135864	0.09572921	Yes	
row_2	P3H4	prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]	557	0.27311837673187256	0.13589907	Yes	
row_3	FKBP10	FKBP prolyl isomerase 10 [Source:HGNC Symbol;Acc:HGNC:18169]	580	0.269591361284256	0.18529588	Yes	
row_4	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	755	0.2489878386259079	0.22247444	Yes	
row_5	COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	1001	0.22321943938732147	0.2509153	Yes	
row_6	LOXL1	lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]	1155	0.21231772005558014	0.28236416	Yes	
row_7	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	1221	0.20821475982666016	0.3178775	Yes	
row_8	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	1242	0.20674364268779755	0.35558692	Yes	
row_9	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	1395	0.19693244993686676	0.38420275	Yes	
row_10	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1518	0.18990088999271393	0.41314682	Yes	
row_11	OPTC	opticin [Source:HGNC Symbol;Acc:HGNC:8158]	1537	0.18864105641841888	0.44756806	Yes	
row_12	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	1763	0.17593158781528473	0.4682312	Yes	
row_13	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	2024	0.16431230306625366	0.4847904	Yes	
row_14	COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	2080	0.16150431334972382	0.512085	Yes	
