NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRM2	glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]	151	0.3692391514778137	0.0577588	Yes	
row_1	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	343	0.3081122040748596	0.10238501	Yes	
row_2	SULT1A3	sulfotransferase family 1A member 3 [Source:HGNC Symbol;Acc:HGNC:11455]	458	0.2869797945022583	0.14746085	Yes	
row_3	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	698	0.2548193335533142	0.17991644	Yes	
row_4	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	758	0.24854739010334015	0.22113849	Yes	
row_5	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	1224	0.20804479718208313	0.23281091	Yes	
row_6	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1289	0.2034367173910141	0.26568833	Yes	
row_7	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	1495	0.1912856251001358	0.28864604	Yes	
row_8	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	1869	0.17063108086585999	0.29867953	Yes	
row_9	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	2449	0.14630486071109772	0.29304445	Yes	
row_10	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	2805	0.13331256806850433	0.2973908	Yes	
row_11	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	3000	0.12628866732120514	0.3093253	Yes	
row_12	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	3165	0.12169536203145981	0.3220862	Yes	
