NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	70	0.43188416957855225	0.056632187	Yes	
row_1	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	128	0.38584303855895996	0.10753132	Yes	
row_2	GGT2	gamma-glutamyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4251]	192	0.35037246346473694	0.15313376	Yes	
row_3	PRG3	proteoglycan 3, pro eosinophil major basic protein 2 [Source:HGNC Symbol;Acc:HGNC:9363]	228	0.33806341886520386	0.19855085	Yes	
row_4	AVP	arginine vasopressin [Source:HGNC Symbol;Acc:HGNC:894]	808	0.24146881699562073	0.2005547	Yes	
row_5	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	830	0.23941251635551453	0.23292656	Yes	
row_6	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	879	0.2339807003736496	0.26305446	Yes	
row_7	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1009	0.22272160649299622	0.28715563	Yes	
row_8	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1247	0.20633995532989502	0.30302942	Yes	
row_9	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	1358	0.19886019825935364	0.32483307	Yes	
row_10	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	1468	0.19290393590927124	0.3458576	Yes	
row_11	GGTLC3	gamma-glutamyltransferase light chain family member 3 [Source:HGNC Symbol;Acc:HGNC:33426]	1490	0.19146327674388885	0.37151498	Yes	
row_12	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1704	0.17901138961315155	0.38488042	Yes	
row_13	PTGS1	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	1868	0.17065182328224182	0.3998222	Yes	
row_14	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1882	0.17015738785266876	0.4229356	Yes	
row_15	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	1955	0.16728587448596954	0.4424055	Yes	
row_16	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	2116	0.1602662056684494	0.45605776	Yes	
row_17	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:26891]	2804	0.13332459330558777	0.43698448	No	
row_18	GGTLC1	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]	3527	0.11209200322628021	0.41301504	No	
row_19	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	4344	0.09076981991529465	0.38089556	No	
row_20	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	4424	0.08905204385519028	0.38902557	No	
row_21	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	4511	0.08651202917098999	0.39641532	No	
row_22	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	5165	0.0720820352435112	0.370634	No	
row_23	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	5260	0.07008832693099976	0.3752844	No	
row_24	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	5675	0.060692355036735535	0.36103857	No	
