NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	70	0.43188416957855225	0.028449677	Yes	
row_1	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	128	0.38584303855895996	0.054171756	Yes	
row_2	GGT2	gamma-glutamyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4251]	192	0.35037246346473694	0.07690954	Yes	
row_3	PRG3	proteoglycan 3, pro eosinophil major basic protein 2 [Source:HGNC Symbol;Acc:HGNC:9363]	228	0.33806341886520386	0.100270145	Yes	
row_4	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	570	0.2707603871822357	0.10172615	Yes	
row_5	AVP	arginine vasopressin [Source:HGNC Symbol;Acc:HGNC:894]	808	0.24146881699562073	0.10672439	Yes	
row_6	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	830	0.23941251635551453	0.12347684	Yes	
row_7	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	879	0.2339807003736496	0.13833444	Yes	
row_8	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	887	0.23335589468479156	0.15540563	Yes	
row_9	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	926	0.2298830896615982	0.17050798	Yes	
row_10	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	962	0.2267211675643921	0.18553919	Yes	
row_11	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	977	0.22520335018634796	0.20161459	Yes	
row_12	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1009	0.22272160649299622	0.21656711	Yes	
row_13	CPA1	carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296]	1018	0.2221209555864334	0.23274268	Yes	
row_14	CYP4F22	cytochrome P450 family 4 subfamily F member 22 [Source:HGNC Symbol;Acc:HGNC:26820]	1040	0.22103701531887054	0.24812049	Yes	
row_15	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	1123	0.2149863839149475	0.25968274	Yes	
row_16	CYP2A13	cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]	1217	0.2084861397743225	0.27015227	Yes	
row_17	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1247	0.20633995532989502	0.28398955	Yes	
row_18	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	1358	0.19886019825935364	0.2928018	Yes	
row_19	CYP2S1	cytochrome P450 family 2 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:15654]	1385	0.19726477563381195	0.30612558	Yes	
row_20	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	1468	0.19290393590927124	0.31603584	Yes	
row_21	GGTLC3	gamma-glutamyltransferase light chain family member 3 [Source:HGNC Symbol;Acc:HGNC:33426]	1490	0.19146327674388885	0.32920128	Yes	
