NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL36G	interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]	46	0.45970919728279114	0.062693454	Yes	
row_1	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	74	0.429013192653656	0.122076035	Yes	
row_2	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	584	0.26922887563705444	0.1323013	Yes	
row_3	PSMB4	proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]	636	0.2625301480293274	0.16674516	Yes	
row_4	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	736	0.2505955696105957	0.196858	Yes	
row_5	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	739	0.25041845440864563	0.23227628	Yes	
row_6	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	884	0.23358303308486938	0.25750253	Yes	
row_7	IL25	interleukin 25 [Source:HGNC Symbol;Acc:HGNC:13765]	1000	0.22322745621204376	0.28285325	Yes	
row_8	IL36RN	interleukin 36 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:15561]	1058	0.22006303071975708	0.31094235	Yes	
row_9	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	1287	0.2035912722349167	0.32729736	Yes	
row_10	SELENOS	selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	1410	0.19556555151939392	0.34833887	Yes	
row_11	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	2229	0.15538151562213898	0.3254312	Yes	
row_12	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2264	0.15385892987251282	0.34539154	Yes	
row_13	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	2412	0.1477944552898407	0.35828164	Yes	
row_14	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	2413	0.14775200188159943	0.379244	Yes	
row_15	NLRP6	NLR family pyrin domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22944]	2421	0.1474960446357727	0.39978534	Yes	
row_16	FUT7	fucosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4018]	2556	0.14230228960514069	0.41261068	Yes	
row_17	IL36A	interleukin 36 alpha [Source:HGNC Symbol;Acc:HGNC:15562]	2639	0.13888144493103027	0.42780825	Yes	
row_18	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	2908	0.12988384068012238	0.43150786	Yes	
row_19	PNMA1	PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]	3129	0.12282391637563705	0.43684363	Yes	
row_20	ELANE	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	3147	0.12225258350372314	0.453254	Yes	
row_21	LTA	lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]	3159	0.12192698568105698	0.46994793	Yes	
row_22	ZP3	zona pellucida glycoprotein 3 [Source:HGNC Symbol;Acc:HGNC:13189]	3341	0.11702712625265121	0.4766045	Yes	
row_23	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	3347	0.11688361316919327	0.49291262	Yes	
row_24	IL1F10	interleukin 1 family member 10 [Source:HGNC Symbol;Acc:HGNC:15552]	3426	0.11472024768590927	0.5049022	Yes	
row_25	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	3572	0.11102315038442612	0.51268524	Yes	
row_26	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	3965	0.10038169473409653	0.5053849	Yes	
