NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	363	0.30214688181877136	0.0058620125	No	
row_1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	413	0.294302761554718	0.02834642	No	
row_2	PABPN1	poly(A) binding protein nuclear 1 [Source:HGNC Symbol;Acc:HGNC:8565]	522	0.2768656015396118	0.046089318	No	
row_3	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	606	0.2668626308441162	0.06435315	No	
row_4	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	1060	0.21996808052062988	0.05822647	No	
row_5	THOC5	THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]	1690	0.17983055114746094	0.03897204	No	
row_6	THOC6	THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]	3405	0.11523716151714325	-0.04556613	No	
row_7	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	3528	0.11206614226102829	-0.04269595	No	
row_8	HSF1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	3922	0.10158149898052216	-0.055648305	No	
row_9	CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	3970	0.10016149282455444	-0.049666155	No	
row_10	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific [Source:HGNC Symbol;Acc:HGNC:26184]	4162	0.0948420837521553	-0.052070003	No	
row_11	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	4290	0.09183697402477264	-0.051206186	No	
row_12	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	4369	0.09028932452201843	-0.047776114	No	
row_13	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	4581	0.08526584506034851	-0.052100893	No	
row_14	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	4605	0.08481217920780182	-0.046110358	No	
row_15	PABPC1L	poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]	4863	0.07911041378974915	-0.053495307	No	
row_16	ZC3H3	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]	4870	0.07896821945905685	-0.047068555	No	
row_17	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]	5107	0.0732986330986023	-0.05379423	No	
row_18	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]	5357	0.06819850951433182	-0.061672296	No	
row_19	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	5876	0.05592471733689308	-0.08541583	No	
row_20	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	7181	0.029151763767004013	-0.1547394	No	
row_21	CPSF4L	cleavage and polyadenylation specific factor 4 like [Source:HGNC Symbol;Acc:HGNC:33632]	7208	0.028489163145422935	-0.15373357	No	
row_22	SRSF4	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	7673	0.019252069294452667	-0.17764108	No	
row_23	CHTOP	chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]	8021	0.012187419459223747	-0.1957093	No	
row_24	SYMPK	symplekin [Source:HGNC Symbol;Acc:HGNC:22935]	8098	0.01085631549358368	-0.19896606	No	
row_25	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]	8454	0.004239798057824373	-0.21815495	No	
row_26	CPSF4	cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]	8731	0.0	-0.2333557	No	
row_27	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	9018	0.0	-0.2491072	No	
row_28	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	9295	0.0	-0.26430795	No	
row_29	PAPOLB	poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970]	9474	0.0	-0.27411133	No	
row_30	U2AF1L4	U2 small nuclear RNA auxiliary factor 1 like 4 [Source:HGNC Symbol;Acc:HGNC:23020]	9692	0.0	-0.28606266	No	
row_31	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	9765	0.0	-0.29002807	No	
