NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	171	0.36029139161109924	0.012564502	No	
row_1	PRG3	proteoglycan 3, pro eosinophil major basic protein 2 [Source:HGNC Symbol;Acc:HGNC:9363]	228	0.33806341886520386	0.030124893	No	
row_2	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	292	0.3211214244365692	0.04626343	No	
row_3	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	618	0.26528385281562805	0.044514548	No	
row_4	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	1425	0.19474537670612335	0.011879957	No	
row_5	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	1919	0.1687818467617035	-0.0050471397	No	
row_6	DAPK3	death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]	1948	0.16758295893669128	0.003644543	No	
row_7	ZFP36L2	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	2152	0.1590530425310135	0.0021460354	No	
row_8	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	2223	0.15560397505760193	0.0077852746	No	
row_9	EIF6	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	2355	0.14991827309131622	0.009706785	No	
row_10	LIN28A	lin-28 homolog A [Source:HGNC Symbol;Acc:HGNC:15986]	2429	0.14718951284885406	0.014666175	No	
row_11	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	2487	0.14469723403453827	0.020357322	No	
row_12	RIDA	reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]	2612	0.14010286331176758	0.022065906	No	
row_13	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038]	2705	0.13645470142364502	0.025319654	No	
row_14	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	2757	0.13470473885536194	0.030731807	No	
row_15	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	2774	0.1343061923980713	0.038053416	No	
row_16	RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	3376	0.11585003137588501	0.011925191	No	
row_17	UNK	unk zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]	3489	0.1131925880908966	0.012652673	No	
row_18	MEX3D	mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]	3498	0.11301673948764801	0.019115584	No	
row_19	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	3505	0.11279059946537018	0.025675183	No	
row_20	SAMD4A	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]	3520	0.11231867223978043	0.031763937	No	
row_21	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	3528	0.11206614226102829	0.038224023	No	
row_22	TRIM71	tripartite motif containing 71 [Source:HGNC Symbol;Acc:HGNC:32669]	4030	0.09833506494760513	0.016550861	No	
row_23	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	4174	0.09450360387563705	0.01442371	No	
