NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	363	0.30214688181877136	-0.005420165	No	
row_1	RRS1	ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]	424	0.2923566997051239	0.005459647	No	
row_2	PABPN1	poly(A) binding protein nuclear 1 [Source:HGNC Symbol;Acc:HGNC:8565]	522	0.2768656015396118	0.013538455	No	
row_3	RBM15B	RNA binding motif protein 15B [Source:HGNC Symbol;Acc:HGNC:24303]	994	0.2237008661031723	-0.0016717572	No	
row_4	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	1060	0.21996808052062988	0.005414835	No	
row_5	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1448	0.19388924539089203	-0.006592877	No	
row_6	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	1660	0.1814601868391037	-0.009460137	No	
row_7	THOC5	THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]	1690	0.17983055114746094	-0.002330156	No	
row_8	NUP210	nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]	1733	0.17729923129081726	0.0039571193	No	
row_9	NXT1	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]	2008	0.16486981511116028	-0.0032040307	No	
row_10	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	2273	0.15355420112609863	-0.010361207	No	
row_11	DDX19A	DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]	2299	0.15249083936214447	-0.0043378365	No	
row_12	EIF6	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	2355	0.14991827309131622	-1.0037914E-4	No	
row_13	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	2904	0.1300811767578125	-0.024121413	No	
row_14	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	2916	0.12969829142093658	-0.018430121	No	
row_15	RITA1	RBPJ interacting and tubulin associated 1 [Source:HGNC Symbol;Acc:HGNC:25925]	3324	0.1175159141421318	-0.03525509	No	
row_16	DDX25	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	3368	0.11618328839540482	-0.031991985	No	
row_17	THOC6	THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]	3405	0.11523716151714325	-0.028387288	No	
row_18	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	-0.029355636	No	
row_19	NPAP1	nuclear pore associated protein 1 [Source:HGNC Symbol;Acc:HGNC:1190]	3591	0.11055301129817963	-0.027750153	No	
row_20	ANKLE1	ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]	3977	0.0998862162232399	-0.044213485	No	
row_21	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]	4033	0.09828021377325058	-0.042484432	No	
row_22	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	4290	0.09183697402477264	-0.052196704	No	
row_23	POM121C	POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]	4340	0.09081671386957169	-0.050498012	No	
row_24	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	4344	0.09076981991529465	-0.046254814	No	
row_25	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	4369	0.09028932452201843	-0.04319762	No	
row_26	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	4498	0.08695627748966217	-0.04606028	No	
row_27	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	4637	0.08425658196210861	-0.049607728	No	
row_28	MCM3AP	minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:HGNC:6946]	4917	0.07761552184820175	-0.06128422	No	
row_29	SMG5	SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]	5102	0.07350686192512512	-0.067900635	No	
row_30	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]	5107	0.0732986330986023	-0.0645615	No	
row_31	POM121L12	POM121 transmembrane nucleoporin like 12 [Source:HGNC Symbol;Acc:HGNC:25369]	5122	0.0730065181851387	-0.061790194	No	
row_32	DESI1	desumoylating isopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:24577]	5219	0.07073666900396347	-0.06366907	No	
row_33	NMD3	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	5295	0.06943503767251968	-0.06444851	No	
row_34	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]	5357	0.06819850951433182	-0.064512916	No	
row_35	NOL6	nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]	5398	0.06722993403673172	-0.063461706	No	
row_36	NUP43	nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]	5577	0.06298936158418655	-0.070256844	No	
row_37	NUTF2	nuclear transport factor 2 [Source:HGNC Symbol;Acc:HGNC:13722]	6127	0.050519149750471115	-0.09819809	No	
row_38	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6283	0.04720006510615349	-0.10448683	No	
row_39	RANBP3	RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]	6357	0.045735858380794525	-0.10630677	No	
row_40	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	6388	0.04505743831396103	-0.10577898	No	
row_41	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	6402	0.04484344273805618	-0.10432038	No	
row_42	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	6575	0.040961042046546936	-0.11185338	No	
row_43	LSG1	large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]	6855	0.035352274775505066	-0.12558287	No	
row_44	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	6865	0.03508642688393593	-0.12437678	No	
row_45	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	7181	0.029151763767004013	-0.14040062	No	
row_46	GLE1	GLE1 RNA export mediator [Source:HGNC Symbol;Acc:HGNC:4315]	7543	0.02194410189986229	-0.15932137	No	
row_47	STRADA	STE20 related adaptor alpha [Source:HGNC Symbol;Acc:HGNC:30172]	7591	0.02096744067966938	-0.16090497	No	
row_48	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	7648	0.01987019181251526	-0.16304019	No	
row_49	SRSF4	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	7673	0.019252069294452667	-0.16343375	No	
row_50	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	7716	0.01831657625734806	-0.16486931	No	
row_51	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	7818	0.01625957526266575	-0.16967133	No	
row_52	SIRT7	sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]	7932	0.014116107486188412	-0.17524184	No	
row_53	CHTOP	chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]	8021	0.012187419459223747	-0.17952192	No	
row_54	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	8050	0.011611235328018665	-0.1805081	No	
row_55	SYMPK	symplekin [Source:HGNC Symbol;Acc:HGNC:22935]	8098	0.01085631549358368	-0.18258289	No	
row_56	SMG6	SMG6 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]	8380	0.005526173859834671	-0.19787197	No	
row_57	CPSF4	cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]	8731	0.0	-0.21724966	No	
