NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EXOSC6	exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]	656	0.26042526960372925	-0.0068629356	No	
row_1	ZFP36L2	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	2152	0.1590530425310135	-0.07125976	No	
row_2	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	2530	0.14317411184310913	-0.07593232	No	
row_3	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]	2909	0.12985990941524506	-0.0821541	No	
row_4	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	3168	0.1216140165925026	-0.08269954	No	
row_5	SKIV2L	Ski2 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:10898]	3239	0.1198735162615776	-0.07309757	No	
row_6	SAMD4A	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]	3520	0.11231867223978043	-0.07589652	No	
row_7	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	3995	0.09952733665704727	-0.09080382	No	
row_8	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	3999	0.09937848895788193	-0.079815954	No	
row_9	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	4174	0.09450360387563705	-0.078782685	No	
row_10	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5036	0.07486694306135178	-0.11774818	No	
row_11	POLR2G	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]	5194	0.07141920179128647	-0.11837033	No	
row_12	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	5571	0.06308872997760773	-0.13197559	No	
row_13	PATL2	PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]	5710	0.05994671210646629	-0.13283998	No	
row_14	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	5876	0.05592471733689308	-0.13564116	No	
row_15	DCP1B	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	6077	0.05174984782934189	-0.14083636	No	
row_16	SAMD4B	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:25492]	6191	0.049172405153512955	-0.14153457	No	
row_17	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	6342	0.046003736555576324	-0.1446239	No	
row_18	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	7236	0.027926137670874596	-0.19061787	No	
row_19	NANOS3	nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048]	7445	0.023865336552262306	-0.19938257	No	
row_20	PNLDC1	PARN like, ribonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21185]	7687	0.018872661516070366	-0.21052308	No	
row_21	TNRC6C	trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]	8134	0.010052228346467018	-0.23393145	No	
row_22	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	8790	0.0	-0.269966	No	
row_23	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	8902	0.0	-0.27607262	No	
row_24	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	8903	0.0	-0.27607262	No	
row_25	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]	9521	0.0	-0.3100166	No	
row_26	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	10859	-0.01978619024157524	-0.38135058	No	
row_27	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	10912	-0.021258044987916946	-0.3818256	No	
row_28	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	10966	-0.022243794053792953	-0.38224503	No	
row_29	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	11127	-0.025027897208929062	-0.38823858	No	
row_30	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	11187	-0.02639388106763363	-0.38852236	No	
row_31	PARN	poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]	11220	-0.02700730599462986	-0.38725188	No	
row_32	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	11301	-0.028484467417001724	-0.3884563	No	
row_33	CNOT10	CCR4-NOT transcription complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:23817]	11670	-0.03624405339360237	-0.40463415	No	
row_34	TUT7	terminal uridylyl transferase 7 [Source:HGNC Symbol;Acc:HGNC:25817]	12081	-0.04488201439380646	-0.42215317	No	
row_35	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]	12088	-0.045061882585287094	-0.4174261	No	
row_36	RC3H2	ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]	12201	-0.047064051032066345	-0.4183059	No	
row_37	NT5C3B	5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]	12545	-0.05395931378006935	-0.43112025	No	
row_38	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	12619	-0.05578194186091423	-0.4288761	No	
row_39	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	12949	-0.06358158588409424	-0.43984035	No	
row_40	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	13711	-0.08199315518140793	-0.47250465	No	
row_41	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	13946	-0.08770796656608582	-0.4755349	No	
row_42	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	13948	-0.08773120492696762	-0.46574414	No	
row_43	NANOS1	nanos C2HC-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:23044]	14571	-0.10417670756578445	-0.4882718	Yes	
row_44	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	14613	-0.10538002848625183	-0.47870097	Yes	
row_45	CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	14643	-0.10599610209465027	-0.4684008	Yes	
row_46	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	14763	-0.10973748564720154	-0.4626321	Yes	
row_47	HBS1L	HBS1 like translational GTPase [Source:HGNC Symbol;Acc:HGNC:4834]	14768	-0.10983474552631378	-0.4505258	Yes	
row_48	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	14933	-0.11454189568758011	-0.44669354	Yes	
row_49	EDC3	enhancer of mRNA decapping 3 [Source:HGNC Symbol;Acc:HGNC:26114]	14960	-0.11522122472524643	-0.43519303	Yes	
row_50	TENT4B	terminal nucleotidyltransferase 4B [Source:HGNC Symbol;Acc:HGNC:30758]	15055	-0.11816320568323135	-0.42710334	Yes	
row_51	CNOT11	CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]	15095	-0.11928661912679672	-0.4158618	Yes	
row_52	TTC37	tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]	15406	-0.12815406918525696	-0.418534	Yes	
row_53	CNOT1	CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]	15415	-0.12834961712360382	-0.4045699	Yes	
row_54	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	15449	-0.1294575333595276	-0.39185682	Yes	
row_55	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	15504	-0.1311119943857193	-0.38011336	Yes	
row_56	TUT4	terminal uridylyl transferase 4 [Source:HGNC Symbol;Acc:HGNC:28981]	15585	-0.13379648327827454	-0.369499	Yes	
row_57	TNRC6A	trinucleotide repeat containing adaptor 6A [Source:HGNC Symbol;Acc:HGNC:11969]	15684	-0.13734106719493866	-0.35947713	Yes	
row_58	WDR61	WD repeat domain 61 [Source:HGNC Symbol;Acc:HGNC:30300]	15950	-0.14650727808475494	-0.35761398	Yes	
row_59	RC3H1	ring finger and CCCH-type domains 1 [Source:HGNC Symbol;Acc:HGNC:29434]	16260	-0.15915487706661224	-0.3567521	Yes	
row_60	PATL1	PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]	16594	-0.17327189445495605	-0.35562623	Yes	
row_61	PDE12	phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]	16759	-0.18179339170455933	-0.34424657	Yes	
row_62	PAN3	poly(A) specific ribonuclease subunit PAN3 [Source:HGNC Symbol;Acc:HGNC:29991]	17023	-0.19673912227153778	-0.33663607	Yes	
row_63	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]	17181	-0.20766712725162506	-0.3219676	Yes	
row_64	NANOS2	nanos C2HC-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23292]	17193	-0.20855803787708282	-0.299167	Yes	
row_65	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	17261	-0.21319253742694855	-0.27892712	Yes	
row_66	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	17265	-0.21353372931480408	-0.255128	Yes	
row_67	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	17286	-0.21472391486167908	-0.23213059	Yes	
row_68	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	17637	-0.24804595112800598	-0.22354834	Yes	
row_69	CNOT6L	CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]	17678	-0.2524448037147522	-0.19741791	Yes	
row_70	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	17742	-0.2612284719944	-0.17156707	Yes	
row_71	EXOSC4	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	17778	-0.26759859919548035	-0.14346091	Yes	
row_72	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	17807	-0.2720811069011688	-0.1144666	Yes	
row_73	CNOT7	CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]	17996	-0.30521994829177856	-0.09055556	Yes	
row_74	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	18153	-0.3747239112854004	-0.057083867	Yes	
row_75	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	18246	-0.5566900968551636	3.3019274E-4	Yes	
