NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	128	0.38584303855895996	0.03213369	Yes	
row_1	DEFB124	defensin beta 124 [Source:HGNC Symbol;Acc:HGNC:18104]	360	0.3028176426887512	0.050165974	Yes	
row_2	RARRES2	retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]	376	0.29945677518844604	0.07974863	Yes	
row_3	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	431	0.2914566397666931	0.1063718	Yes	
row_4	CCL21	C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]	594	0.2684731185436249	0.124715276	Yes	
row_5	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	597	0.26836860179901123	0.15185677	Yes	
row_6	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	624	0.26449698209762573	0.17728382	Yes	
row_7	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	647	0.2614396810531616	0.20262064	Yes	
row_8	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	850	0.2373599410057068	0.21560256	Yes	
row_9	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	867	0.2354481965303421	0.23863038	Yes	
row_10	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	869	0.2350585013628006	0.26244444	Yes	
row_11	CCL1	C-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]	899	0.2321944385766983	0.28442615	Yes	
row_12	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	1109	0.21613404154777527	0.2948673	Yes	
row_13	EDN3	endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]	1200	0.20958279073238373	0.31119463	Yes	
row_14	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	1407	0.19591058790683746	0.31974733	Yes	
