NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	501	0.2803567349910736	0.0031401096	No	
row_1	RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	1151	0.212538480758667	-0.009309243	No	
row_2	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	1432	0.1945447325706482	-0.003403226	No	
row_3	AP4M1	adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]	2150	0.15913328528404236	-0.025454462	No	
row_4	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	2824	0.1325872540473938	-0.047992427	No	
row_5	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	3114	0.12331157177686691	-0.050392747	No	
row_6	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	3765	0.10559070855379105	-0.074623734	No	
row_7	RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]	3801	0.10483072698116302	-0.06505749	No	
row_8	C16orf70	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	3966	0.10030334442853928	-0.0630943	No	
row_9	SYS1	SYS1 golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]	4629	0.0843343660235405	-0.09031708	No	
row_10	BBS2	Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]	4662	0.08366313576698303	-0.08290652	No	
row_11	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	4710	0.08254996687173843	-0.07644439	No	
row_12	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4970	0.07626768946647644	-0.08235023	No	
row_13	SORCS1	sortilin related VPS10 domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:16697]	6145	0.050186995416879654	-0.14152344	No	
row_14	GAK	cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]	6270	0.04746696725487709	-0.14315	No	
row_15	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	6472	0.04341201111674309	-0.14946316	No	
