NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHF23	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]	344	0.3080979585647583	5.0706236E-4	No	
row_1	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	926	0.2298830896615982	-0.017032346	No	
row_2	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	1262	0.20577435195446014	-0.022508126	No	
row_3	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	1622	0.18373747169971466	-0.030705374	No	
row_4	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	1649	0.1818605661392212	-0.02062471	No	
row_5	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	2516	0.1439073383808136	-0.059353862	No	
row_6	RUFY4	RUN and FYVE domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24804]	2576	0.14154067635536194	-0.053649724	No	
row_7	NRBP2	nuclear receptor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19339]	2636	0.1389588713645935	-0.048109084	No	
row_8	LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	2722	0.1357320100069046	-0.044209186	No	
row_9	ATP6V1C2	ATPase H+ transporting V1 subunit C2 [Source:HGNC Symbol;Acc:HGNC:18264]	2873	0.13112162053585052	-0.044192217	No	
row_10	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	3262	0.11924868822097778	-0.0580756	No	
row_11	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	-0.065273896	No	
row_12	ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	3691	0.10775411874055862	-0.06773119	No	
row_13	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	3697	0.10738348215818405	-0.061206926	No	
row_14	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	3765	0.10559070855379105	-0.058221426	No	
row_15	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	3901	0.10219907015562057	-0.05920741	No	
row_16	USP30	ubiquitin specific peptidase 30 [Source:HGNC Symbol;Acc:HGNC:20065]	4300	0.09164590388536453	-0.0753913	No	
row_17	EXOC7	exocyst complex component 7 [Source:HGNC Symbol;Acc:HGNC:23214]	4431	0.08891023695468903	-0.07694263	No	
row_18	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	4581	0.08526584506034851	-0.07977442	No	
