NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TREM2	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]	395	0.29630133509635925	0.005994821	No	
row_1	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	569	0.27135103940963745	0.021877944	No	
row_2	FAM83D	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]	913	0.2307814210653305	0.02460086	No	
row_3	FNIP1	folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418]	1283	0.20373189449310303	0.023359112	No	
row_4	PIH1D1	PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]	1367	0.19860604405403137	0.03738628	No	
row_5	GPR137	G protein-coupled receptor 137 [Source:HGNC Symbol;Acc:HGNC:24300]	1534	0.18874868750572205	0.045919906	No	
row_6	MINAR1	membrane integral NOTCH2 associated receptor 1 [Source:HGNC Symbol;Acc:HGNC:29172]	1795	0.17406922578811646	0.047902722	No	
row_7	CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:34423]	2258	0.15439777076244354	0.036920138	No	
row_8	LIN28A	lin-28 homolog A [Source:HGNC Symbol;Acc:HGNC:15986]	2429	0.14718951284885406	0.041341864	No	
row_9	NPRL2	NPR2 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:24969]	2814	0.13289949297904968	0.032641318	No	
row_10	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	2827	0.13248085975646973	0.044386152	No	
row_11	PIP4P1	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19299]	2839	0.13215088844299316	0.056155153	No	
row_12	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	2916	0.12969829142093658	0.0641152	No	
row_13	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	3251	0.11959509551525116	0.056922115	No	
row_14	KPTN	kaptin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:6404]	3340	0.11705338209867477	0.06303728	No	
row_15	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:37073]	3738	0.10615526884794235	0.051116526	No	
row_16	GPR137B	G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]	3991	0.09959685057401657	0.04656621	No	
row_17	TNFAIP8L1	TNF alpha induced protein 8 like 1 [Source:HGNC Symbol;Acc:HGNC:28279]	3993	0.09956319630146027	0.055834334	No	
