NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	90	0.4113751947879791	0.031536445	Yes	
row_1	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	116	0.393706738948822	0.065086514	Yes	
row_2	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	141	0.3755798935890198	0.097083576	Yes	
row_3	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	150	0.3695290982723236	0.12942533	Yes	
row_4	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	520	0.2769976258277893	0.13366951	Yes	
row_5	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	569	0.27135103940963745	0.15509775	Yes	
row_6	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	674	0.25850722193717957	0.1723013	Yes	
row_7	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	683	0.2565455436706543	0.19461982	Yes	
row_8	MYOG	myogenin [Source:HGNC Symbol;Acc:HGNC:7612]	787	0.2445712834596634	0.21064216	Yes	
row_9	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	795	0.24287539720535278	0.23180303	Yes	
row_10	RARG	retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]	1137	0.213534876704216	0.23195978	Yes	
row_11	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1158	0.21221177279949188	0.24968411	Yes	
row_12	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	1209	0.20874956250190735	0.2654485	Yes	
row_13	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1518	0.18990088999271393	0.26532668	Yes	
row_14	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	1547	0.1881498545408249	0.28047565	Yes	
row_15	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	1597	0.1848732829093933	0.29417697	Yes	
row_16	STRA8	stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]	1699	0.17943546175956726	0.304531	Yes	
row_17	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1882	0.17015738785266876	0.3095994	Yes	
row_18	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2020	0.1644010841846466	0.31663632	Yes	
row_19	PTK7	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	2071	0.16164816915988922	0.32822216	Yes	
row_20	GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	2194	0.1570715308189392	0.33543527	Yes	
row_21	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	2313	0.1519598513841629	0.34241524	Yes	
row_22	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	2331	0.1513736993074417	0.35490766	Yes	
row_23	TMEM161A	transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]	2528	0.14333628118038177	0.35682532	Yes	
row_24	OXT	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]	2786	0.13395416736602783	0.35454997	Yes	
row_25	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2887	0.1306697577238083	0.36063293	Yes	
row_26	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	2928	0.12910877168178558	0.36988297	Yes	
row_27	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	2946	0.1284794807434082	0.38034436	Yes	
row_28	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	3053	0.12477770447731018	0.385574	Yes	
row_29	AQP1	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	3231	0.12007541954517365	0.38647488	Yes	
row_30	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	3400	0.11538857966661453	0.38745582	Yes	
row_31	SERPINF1	serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	3403	0.11534354090690613	0.39757824	Yes	
row_32	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	3852	0.10337412357330322	0.38206717	No	
row_33	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	3947	0.10088067501783371	0.38583794	No	
row_34	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	4383	0.08981488645076752	0.36984017	No	
row_35	SLC6A4	solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050]	4652	0.08389408886432648	0.36251777	No	
row_36	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	4694	0.08291380107402802	0.36761457	No	
row_37	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	5056	0.07431488484144211	0.35431865	No	
row_38	SREBF1	sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]	5226	0.07065527886152267	0.351276	No	
row_39	LTK	leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6721]	5590	0.06264199316501617	0.33683434	No	
row_40	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5725	0.059431008994579315	0.33472422	No	
