NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	15	0.5568249821662903	0.02740535	Yes	
row_1	POU4F3	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]	29	0.5003376007080078	0.052056994	Yes	
row_2	STRC	stereocilin [Source:HGNC Symbol;Acc:HGNC:16035]	38	0.4733857810497284	0.07561843	Yes	
row_3	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	184	0.3532949686050415	0.08551641	Yes	
row_4	TMIE	transmembrane inner ear [Source:HGNC Symbol;Acc:HGNC:30800]	306	0.3173791766166687	0.09492007	Yes	
row_5	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	611	0.2665386199951172	0.091628574	Yes	
row_6	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	674	0.25850722193717957	0.101308875	Yes	
row_7	BARHL1	BarH like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:953]	726	0.25128400325775146	0.11123105	Yes	
row_8	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	926	0.2298830896615982	0.111885846	Yes	
row_9	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	1091	0.2171262949705124	0.11382877	Yes	
row_10	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	1169	0.21173858642578125	0.12030832	Yes	
row_11	POU4F2	POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]	1207	0.20918427407741547	0.12886976	Yes	
row_12	CEACAM16	CEA cell adhesion molecule 16, tectorial membrane component [Source:HGNC Symbol;Acc:HGNC:31948]	1268	0.2051858752965927	0.1359569	Yes	
row_13	MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	1333	0.2005070596933365	0.14258564	Yes	
row_14	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	1518	0.18990088999271393	0.14204235	Yes	
row_15	CABP2	calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1385]	1526	0.18930281698703766	0.15125424	Yes	
row_16	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	1530	0.18905110657215118	0.1606745	Yes	
row_17	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	1593	0.18523645401000977	0.16663949	Yes	
row_18	GRAP	GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]	1607	0.18451489508152008	0.17527689	Yes	
row_19	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800]	1665	0.18121252954006195	0.18131427	Yes	
row_20	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:25033]	1676	0.18080472946166992	0.18992938	Yes	
row_21	KCNQ4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]	1683	0.18023939430713654	0.19873698	Yes	
row_22	OTOS	otospiralin [Source:HGNC Symbol;Acc:HGNC:22644]	1710	0.17877474427223206	0.2063646	Yes	
row_23	TUB	TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406]	1823	0.17228180170059204	0.20890845	Yes	
row_24	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1828	0.17198531329631805	0.21740808	Yes	
row_25	TMPRSS3	transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877]	1904	0.1693042814731598	0.2218465	Yes	
row_26	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	1983	0.16585615277290344	0.22594424	Yes	
row_27	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	1984	0.16572809219360352	0.23434772	Yes	
row_28	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]	2015	0.16454334557056427	0.24103257	Yes	
row_29	COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	2080	0.16150431334972382	0.24568363	Yes	
row_30	SRRM4	serine/arginine repetitive matrix 4 [Source:HGNC Symbol;Acc:HGNC:29389]	2128	0.15973997116088867	0.25118506	Yes	
row_31	GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	2194	0.1570715308189392	0.25555608	Yes	
row_32	BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	2265	0.1538461297750473	0.2594871	Yes	
row_33	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	2276	0.15342280268669128	0.26671377	Yes	
row_34	OTOG	otogelin [Source:HGNC Symbol;Acc:HGNC:8516]	2285	0.15289781987667084	0.2740244	Yes	
row_35	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	2391	0.1486683189868927	0.27575788	Yes	
row_36	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	2449	0.14630486071109772	0.28002524	Yes	
row_37	TMC2	transmembrane channel like 2 [Source:HGNC Symbol;Acc:HGNC:16527]	2473	0.14540955424308777	0.28612688	Yes	
row_38	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	2482	0.14483420550823212	0.29302862	Yes	
row_39	ESPNL	espin like [Source:HGNC Symbol;Acc:HGNC:27937]	2492	0.1444534957408905	0.29985577	Yes	
row_40	MYO1A	myosin IA [Source:HGNC Symbol;Acc:HGNC:7595]	2578	0.14149999618530273	0.3023315	Yes	
row_41	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	2592	0.14075572788715363	0.30875	Yes	
row_42	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	2604	0.14038024842739105	0.31526005	Yes	
row_43	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	2687	0.13692457973957062	0.31766963	Yes	
row_44	OTOF	otoferlin [Source:HGNC Symbol;Acc:HGNC:8515]	2699	0.13655641674995422	0.3239858	Yes	
row_45	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	2718	0.1357988566160202	0.32987654	Yes	
row_46	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	2726	0.13568642735481262	0.33636972	Yes	
row_47	TSPEAR	thrombospondin type laminin G domain and EAR repeats [Source:HGNC Symbol;Acc:HGNC:1268]	2739	0.1352161169052124	0.34256262	Yes	
row_48	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	2748	0.1349957436323166	0.3489655	Yes	
row_49	RAB3A	RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]	2880	0.13093377649784088	0.34836233	Yes	
row_50	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	2926	0.12922188639640808	0.35242686	Yes	
row_51	SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	3032	0.12529142200946808	0.352975	Yes	
row_52	EPS8L2	EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]	3036	0.1250859498977661	0.3591518	Yes	
row_53	SLC26A5	solute carrier family 26 member 5 [Source:HGNC Symbol;Acc:HGNC:9359]	3127	0.1229989305138588	0.36041299	Yes	
row_54	LHFPL3	LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]	3131	0.12278775870800018	0.36647326	Yes	
row_55	TPRN	taperin [Source:HGNC Symbol;Acc:HGNC:26894]	3241	0.11983849853277206	0.36652374	Yes	
row_56	KCNA1	potassium voltage-gated channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:6218]	3356	0.11648374050855637	0.3661277	Yes	
row_57	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	3394	0.11550349742174149	0.36993894	Yes	
row_58	WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	3617	0.10988049954175949	0.36323723	No	
row_59	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	3788	0.10505907982587814	0.35916594	No	
row_60	MYO3A	myosin IIIA [Source:HGNC Symbol;Acc:HGNC:7601]	3820	0.10433898866176605	0.36274275	No	
row_61	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	3823	0.10422608256340027	0.36791712	No	
row_62	HTR2A	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	3893	0.10242360085248947	0.36929595	No	
row_63	CDH23	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	4082	0.0970575287938118	0.36382377	No	
row_64	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	4220	0.09343954920768738	0.3609877	No	
row_65	KCNK4	potassium two pore domain channel subfamily K member 4 [Source:HGNC Symbol;Acc:HGNC:6279]	4259	0.09246615320444107	0.3635755	No	
row_66	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	4280	0.0921563133597374	0.3671427	No	
row_67	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	4696	0.08290383964776993	0.34840307	No	
row_68	LHFPL4	LHFPL tetraspan subfamily member 4 [Source:HGNC Symbol;Acc:HGNC:29568]	4747	0.08170385658740997	0.34978172	No	
row_69	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	4816	0.08013824373483658	0.35008585	No	
row_70	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]	5023	0.07525655627250671	0.34251308	No	
row_71	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5045	0.07465022802352905	0.34513733	No	
row_72	CHRNB2	cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]	5062	0.07426200807094574	0.34801832	No	
row_73	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	5186	0.07148503512144089	0.344843	No	
row_74	KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	5198	0.07138235121965408	0.3478544	No	
row_75	SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	5485	0.06510277092456818	0.33534396	No	
row_76	PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	5499	0.06475142389535904	0.33790857	No	
row_77	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	5524	0.06407947093248367	0.33983096	No	
row_78	GRXCR2	glutaredoxin and cysteine rich domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33862]	5649	0.06126102805137634	0.33608192	No	
row_79	MYO3B	myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]	5688	0.060371845960617065	0.3370423	No	
row_80	GRXCR1	glutaredoxin and cysteine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31673]	5790	0.05794018879532814	0.33439645	No	
row_81	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	5985	0.053776923567056656	0.32639793	No	
row_82	DCDC2	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18141]	6003	0.053547728806734085	0.3281733	No	
row_83	USH1G	USH1 protein network component sans [Source:HGNC Symbol;Acc:HGNC:16356]	6205	0.04869487136602402	0.3195301	No	
row_84	PCDH15	protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]	6318	0.04641382023692131	0.31569165	No	
row_85	PHF24	PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]	6364	0.04560112580657005	0.31551608	No	
row_86	PJVK	pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]	6500	0.042785827070474625	0.3102221	No	
row_87	P2RX2	purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459]	6502	0.042700089514255524	0.31233197	No	
row_88	LOXHD1	lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]	6706	0.038195058703422546	0.30304578	No	
row_89	USH2A	usherin [Source:HGNC Symbol;Acc:HGNC:12601]	6720	0.037819698452949524	0.3042448	No	
row_90	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	6814	0.03617214784026146	0.3009374	No	
row_91	TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	6829	0.03581992909312248	0.30197972	No	
row_92	PIEZO2	piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270]	6978	0.03317806124687195	0.29547986	No	
row_93	OTOA	otoancorin [Source:HGNC Symbol;Acc:HGNC:16378]	7127	0.030344616621732712	0.2888363	No	
row_94	CLIC5	chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517]	7410	0.024529386311769485	0.27448964	No	
