NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	260	0.32563692331314087	0.045599803	Yes	
row_1	LCN1	lipocalin 1 [Source:HGNC Symbol;Acc:HGNC:6525]	340	0.30875131487846375	0.09804492	Yes	
row_2	TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	441	0.2900545001029968	0.1458966	Yes	
row_3	TAS2R16	taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]	653	0.2607371211051941	0.18225336	Yes	
row_4	RTP1	receptor transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580]	663	0.2595881223678589	0.2295044	Yes	
row_5	CST1	cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]	928	0.22953413426876068	0.2572082	Yes	
row_6	TAS2R9	taste 2 receptor member 9 [Source:HGNC Symbol;Acc:HGNC:14917]	1212	0.2086145132780075	0.28001964	Yes	
row_7	CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	1378	0.1977936029434204	0.30732825	Yes	
row_8	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	1536	0.1886887401342392	0.33340204	Yes	
row_9	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	1896	0.16969048976898193	0.34487587	Yes	
row_10	GNAT1	G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393]	2236	0.15515509247779846	0.35477582	Yes	
row_11	FFAR4	free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]	2338	0.15078918635845184	0.37695754	Yes	
row_12	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	2559	0.14216142892837524	0.39100996	Yes	
row_13	TAS2R7	taste 2 receptor member 7 [Source:HGNC Symbol;Acc:HGNC:14913]	2606	0.1403302550315857	0.4142918	Yes	
row_14	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	2674	0.13735775649547577	0.43587238	Yes	
row_15	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	2718	0.1357988566160202	0.4584857	Yes	
row_16	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	2766	0.13448384404182434	0.48063722	Yes	
row_17	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	2890	0.13053126633167267	0.4978834	Yes	
row_18	SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	3108	0.12343905866146088	0.50865716	Yes	
row_19	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	3726	0.10643606632947922	0.4943123	Yes	
row_20	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	3852	0.10337412357330322	0.5064535	Yes	
row_21	RTP5	receptor transporter protein 5 (putative) [Source:HGNC Symbol;Acc:HGNC:26585]	3936	0.10124930739402771	0.52051306	Yes	
row_22	TAS2R1	taste 2 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14909]	4279	0.09216099232435226	0.51866156	No	
row_23	LPO	lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]	5141	0.0726679340004921	0.48469102	No	
row_24	PKD1L3	polycystin 1 like 3, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:21716]	5828	0.05700226128101349	0.45746028	No	
row_25	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	6046	0.05254543945193291	0.45519465	No	
row_26	RTP3	receptor transporter protein 3 [Source:HGNC Symbol;Acc:HGNC:15572]	6180	0.0494639053940773	0.4569804	No	
row_27	TAS2R40	taste 2 receptor member 40 [Source:HGNC Symbol;Acc:HGNC:18885]	6221	0.04847902059555054	0.46369797	No	
row_28	PIP	prolactin induced protein [Source:HGNC Symbol;Acc:HGNC:8993]	6259	0.04764595255255699	0.47042727	No	
row_29	CST4	cystatin S [Source:HGNC Symbol;Acc:HGNC:2476]	6340	0.046107567846775055	0.47450954	No	
row_30	P2RX2	purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459]	6502	0.042700089514255524	0.47351182	No	
row_31	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	6955	0.033568400889635086	0.45483586	No	
row_32	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	7630	0.020200654864311218	0.42149597	No	
row_33	CALHM3	calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458]	7686	0.01889299415051937	0.42194715	No	
row_34	TAS2R60	taste 2 receptor member 60 [Source:HGNC Symbol;Acc:HGNC:20639]	8161	0.009585995227098465	0.3976506	No	
row_35	ASIC3	acid sensing ion channel subunit 3 [Source:HGNC Symbol;Acc:HGNC:101]	8195	0.008923277258872986	0.39747757	No	
row_36	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	8537	0.0023942298721522093	0.37917033	No	
row_37	P2RX3	purinergic receptor P2X 3 [Source:HGNC Symbol;Acc:HGNC:8534]	8603	9.462651214562356E-4	0.37577078	No	
row_38	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	8638	3.271902387496084E-4	0.37396172	No	
row_39	TAS2R20	taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109]	8749	0.0	0.36791408	No	
row_40	TAS2R10	taste 2 receptor member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	8752	0.0	0.36780414	No	
row_41	TAS2R13	taste 2 receptor member 13 [Source:HGNC Symbol;Acc:HGNC:14919]	8753	0.0	0.36780414	No	
