NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1456	0.19343146681785583	-0.041993022	No	
row_1	RAD21L1	RAD21 cohesin complex component like 1 [Source:HGNC Symbol;Acc:HGNC:16271]	1851	0.17126460373401642	-0.029995322	No	
row_2	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	1975	0.16613247990608215	-0.0041173194	No	
row_3	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	2331	0.1513736993074417	0.0061155786	No	
row_4	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	3995	0.09952733665704727	-0.0656966	No	
row_5	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	4735	0.08193065226078033	-0.090201855	No	
row_6	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	5234	0.0705084428191185	-0.10371062	No	
row_7	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	5933	0.054805316030979156	-0.13129196	No	
row_8	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	6204	0.04872778430581093	-0.13655327	No	
row_9	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	6421	0.04445745423436165	-0.13968676	No	
row_10	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	6966	0.033353015780448914	-0.16302164	No	
row_11	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	7305	0.02658972330391407	-0.17636767	No	
row_12	HORMAD2	HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]	7491	0.022760599851608276	-0.18206023	No	
row_13	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	8221	0.008501755073666573	-0.22044067	No	
row_14	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	8342	0.005984044633805752	-0.22585782	No	
row_15	HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	9370	0.0	-0.2822802	No	
row_16	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	9876	-3.8022210355848074E-4	-0.30994973	No	
row_17	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	10186	-0.0059205396100878716	-0.3257628	No	
row_18	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	10308	-0.008532451465725899	-0.3307343	No	
row_19	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]	10382	-0.01034061424434185	-0.3327135	No	
row_20	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	10496	-0.012689609080553055	-0.33642885	No	
row_21	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	10872	-0.02008773759007454	-0.3530849	No	
