NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	131	0.3844151496887207	0.016831119	Yes	
row_1	WNK4	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]	226	0.33871906995773315	0.032845937	Yes	
row_2	SLC34A2	solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]	352	0.3056028485298157	0.045073442	Yes	
row_3	FXYD4	FXYD domain containing ion transport regulator 4 [Source:HGNC Symbol;Acc:HGNC:4028]	505	0.27943161129951477	0.054169632	Yes	
row_4	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	540	0.27431270480155945	0.06946786	Yes	
row_5	SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	748	0.24975703656673431	0.07366563	Yes	
row_6	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	804	0.24185049533843994	0.08577025	Yes	
row_7	SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	826	0.23975376784801483	0.099622965	Yes	
row_8	FXYD3	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]	952	0.22739017009735107	0.10695275	Yes	
row_9	SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	1184	0.21089497208595276	0.10739033	Yes	
row_10	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	1246	0.2064128965139389	0.11694417	Yes	
row_11	ASIC4	acid sensing ion channel subunit family member 4 [Source:HGNC Symbol;Acc:HGNC:21263]	1269	0.20509055256843567	0.12857097	Yes	
row_12	SLC6A19	solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960]	1311	0.20177191495895386	0.13893972	Yes	
row_13	BPIFA1	BPI fold containing family A member 1 [Source:HGNC Symbol;Acc:HGNC:15749]	1447	0.1939113438129425	0.14362028	Yes	
row_14	SLC6A17	solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]	1453	0.19368530809879303	0.15547259	Yes	
row_15	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	1458	0.1932806819677353	0.16735482	Yes	
row_16	SLC17A2	solute carrier family 17 member 2 [Source:HGNC Symbol;Acc:HGNC:10930]	1508	0.19050945341587067	0.17657611	Yes	
row_17	SNTA1	syntrophin alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]	1654	0.18174809217453003	0.17994224	Yes	
row_18	SLC8A3	solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070]	1657	0.18160663545131683	0.19120398	Yes	
row_19	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	1743	0.17692185938358307	0.19758447	Yes	
row_20	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	1848	0.17130926251411438	0.20256323	Yes	
row_21	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	1884	0.17012985050678253	0.2112822	Yes	
row_22	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	2090	0.16116048395633698	0.21004255	Yes	
row_23	FXYD6	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	2177	0.15769626200199127	0.21516383	Yes	
