NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	548	0.2735345661640167	0.011804735	No	
row_1	CELF3	CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]	1254	0.20611490309238434	0.0046503907	No	
row_2	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	1425	0.19474537670612335	0.025152553	No	
row_3	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	3963	0.10039789974689484	-0.09887285	No	
row_4	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]	4497	0.08695634454488754	-0.11483612	No	
row_5	SF3A2	splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]	4616	0.0845893919467926	-0.10835741	No	
row_6	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	5242	0.07040586322546005	-0.13191245	No	
row_7	SF1	splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950]	5470	0.06537315994501114	-0.13436821	No	
row_8	CELF5	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]	6169	0.0497698076069355	-0.16509709	No	
row_9	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]	6434	0.04418289288878441	-0.17283334	No	
row_10	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	7181	0.029151763767004013	-0.20935948	No	
row_11	GEMIN6	gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]	7437	0.0239796731621027	-0.21969724	No	
row_12	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	7645	0.01990635134279728	-0.22802156	No	
row_13	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	7898	0.014851120300590992	-0.23959336	No	
row_14	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	8494	0.0034136162139475346	-0.27176616	No	
row_15	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	8878	0.0	-0.2928124	No	
row_16	CELF6	CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]	9364	0.0	-0.3194637	No	
row_17	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	9765	0.0	-0.34144413	No	
row_18	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	10715	-0.016699837520718575	-0.39103356	No	
row_19	ISY1	ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	10726	-0.01700345054268837	-0.38897735	No	
row_20	SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	10893	-0.020620452240109444	-0.39493924	No	
row_21	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	11302	-0.028484903275966644	-0.41299412	No	
row_22	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	11986	-0.04282579571008682	-0.44396284	No	
row_23	TXNL4A	thioredoxin like 4A [Source:HGNC Symbol;Acc:HGNC:30551]	12195	-0.046913377940654755	-0.4482034	No	
row_24	USP39	ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071]	13093	-0.06686368584632874	-0.48724797	Yes	
row_25	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]	13151	-0.06826332956552505	-0.47991917	Yes	
