NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	2	0.6559439897537231	0.10246702	Yes	
row_1	CUZD1	CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]	227	0.3382730782032013	0.14305666	Yes	
row_2	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	354	0.30538445711135864	0.18388866	Yes	
row_3	H2BC1	H2B clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:18730]	676	0.25773319602012634	0.20655286	Yes	
row_4	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	690	0.2559075355529785	0.24585745	Yes	
row_5	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	763	0.24787183105945587	0.2806631	Yes	
row_6	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	867	0.2354481965303421	0.31182235	Yes	
row_7	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1009	0.22272160649299622	0.3389032	Yes	
row_8	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	1213	0.20858359336853027	0.36036593	Yes	
row_9	KLK2	kallikrein related peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6363]	1337	0.20015524327754974	0.38490698	Yes	
row_10	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	1436	0.19445447623729706	0.40993038	Yes	
row_11	OMA1	OMA1 zinc metallopeptidase [Source:HGNC Symbol;Acc:HGNC:29661]	1471	0.1925729513168335	0.43817663	Yes	
row_12	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	1822	0.17235401272773743	0.44589552	Yes	
row_13	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	1984	0.16572809219360352	0.46296456	Yes	
