NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	Details ...	56	0.5166881	1.6739835	0.001968504	1.0	0.524	5544	tags=64%, list=30%, signal=92%	
GOBP_ZYMOGEN_ACTIVATION	GOBP_ZYMOGEN_ACTIVATION	Details ...	56	0.47889382	1.6517221	0.0	1.0	0.594	2148	tags=27%, list=12%, signal=30%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	51	0.52384317	1.6370703	0.01735358	0.84837306	0.646	2377	tags=31%, list=13%, signal=36%	
GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID	GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID	Details ...	63	0.48256138	1.5851215	0.0064102565	1.0	0.783	3403	tags=35%, list=19%, signal=43%	
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	Details ...	51	0.45605776	1.5837383	0.002074689	0.944601	0.787	2116	tags=33%, list=12%, signal=38%	
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	GOBP_ADULT_LOCOMOTORY_BEHAVIOR	Details ...	61	0.45351264	1.5438018	0.028282829	1.0	0.89	2604	tags=31%, list=14%, signal=36%	
GOBP_CARDIAC_CONDUCTION	GOBP_CARDIAC_CONDUCTION	Details ...	138	0.40436187	1.5089297	0.02603037	1.0	0.945	3942	tags=41%, list=22%, signal=52%	
GOBP_SENSORY_PERCEPTION_OF_TASTE	GOBP_SENSORY_PERCEPTION_OF_TASTE	Details ...	64	0.52051306	1.4830445	0.055555556	1.0	0.968	3936	tags=34%, list=22%, signal=44%	
GOBP_REGULATION_OF_CARDIAC_CONDUCTION	GOBP_REGULATION_OF_CARDIAC_CONDUCTION	Details ...	54	0.44783887	1.4731172	0.031578947	1.0	0.972	2687	tags=31%, list=15%, signal=37%	
GOBP_RESPONSE_TO_RETINOIC_ACID	GOBP_RESPONSE_TO_RETINOIC_ACID	Details ...	102	0.39757824	1.4705242	0.0044345898	1.0	0.974	3403	tags=31%, list=19%, signal=38%	
GOBP_ACUTE_INFLAMMATORY_RESPONSE	GOBP_ACUTE_INFLAMMATORY_RESPONSE	Details ...	104	0.39346397	1.4544506	0.004484305	1.0	0.987	3777	tags=41%, list=21%, signal=52%	
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	Details ...	165	0.36993894	1.4439248	0.031512607	1.0	0.994	3394	tags=35%, list=19%, signal=43%	
