NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	Details ...	76	-0.4999632	-1.7635157	0.003921569	0.47249117	0.241	3683	tags=43%, list=20%, signal=54%	
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	Details ...	83	-0.41387984	-1.6953199	0.0075901328	0.63253164	0.454	4042	tags=39%, list=22%, signal=49%	
GOBP_REGULATION_OF_MACROAUTOPHAGY	GOBP_REGULATION_OF_MACROAUTOPHAGY	Details ...	152	-0.40157953	-1.675955	0.0038022813	0.5497285	0.522	5165	tags=43%, list=28%, signal=60%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	Details ...	154	-0.35369855	-1.6685362	0.001908397	0.45163217	0.546	3792	tags=34%, list=21%, signal=42%	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	Details ...	55	-0.49778503	-1.6653326	0.003944773	0.3759042	0.553	4138	tags=47%, list=23%, signal=61%	
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	Details ...	52	-0.4537436	-1.6600486	0.017475728	0.33411968	0.57	3792	tags=44%, list=21%, signal=56%	
GOBP_NUCLEAR_EXPORT	GOBP_NUCLEAR_EXPORT	Details ...	191	-0.40962365	-1.6415087	0.0074074073	0.36369583	0.64	4449	tags=41%, list=24%, signal=54%	
GOBP_PROTEIN_SUMOYLATION	GOBP_PROTEIN_SUMOYLATION	Details ...	76	-0.38283947	-1.6281378	0.011363637	0.37540084	0.677	4411	tags=41%, list=24%, signal=54%	
GOBP_DNA_GEOMETRIC_CHANGE	GOBP_DNA_GEOMETRIC_CHANGE	Details ...	104	-0.38625023	-1.6242967	0.01724138	0.35026544	0.689	4159	tags=35%, list=23%, signal=45%	
GOBP_AUTOPHAGOSOME_ORGANIZATION	GOBP_AUTOPHAGOSOME_ORGANIZATION	Details ...	93	-0.3961193	-1.6240298	0.0075901328	0.3158861	0.692	5160	tags=43%, list=28%, signal=60%	
