NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	293	0.3209478557109833	0.027494092	Yes	
row_1	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	796	0.24284148216247559	0.03288056	Yes	
row_2	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	983	0.22446653246879578	0.05315015	Yes	
row_3	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	1313	0.2016354501247406	0.062452633	Yes	
row_4	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	1342	0.19983652234077454	0.08806552	Yes	
row_5	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	1706	0.1788666695356369	0.09240431	Yes	
row_6	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	1735	0.17716436088085175	0.11493661	Yes	
row_7	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1828	0.17198531329631805	0.13324524	Yes	
row_8	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	1831	0.171938955783844	0.15649752	Yes	
row_9	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	1899	0.16954277455806732	0.17584926	Yes	
row_10	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	2063	0.1619216799736023	0.18888552	Yes	
row_11	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	2065	0.16183626651763916	0.2108201	Yes	
row_12	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2081	0.16150206327438354	0.23193927	Yes	
row_13	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	2345	0.15043103694915771	0.2379143	Yes	
row_14	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	2459	0.14594264328479767	0.25152937	Yes	
row_15	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	2990	0.1267322450876236	0.23959947	Yes	
row_16	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3042	0.12494150549173355	0.25377098	Yes	
row_17	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	3087	0.12386968731880188	0.26818186	Yes	
row_18	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	3359	0.11639633774757385	0.2690924	Yes	
row_19	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	3558	0.11122442036867142	0.27331516	Yes	
row_20	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	3686	0.10789206624031067	0.28099012	Yes	
row_21	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3776	0.1052936464548111	0.290402	Yes	
row_22	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	3788	0.10505907982587814	0.30407193	Yes	
row_23	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	3882	0.1026478260755539	0.31290433	Yes	
row_24	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]	4093	0.09673038125038147	0.3144977	Yes	
row_25	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	4196	0.09407074004411697	0.32166967	Yes	
row_26	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	4420	0.08914273232221603	0.3215171	No	
row_27	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	4866	0.07908132672309875	0.30778757	No	
row_28	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5045	0.07465022802352905	0.30814078	No	
row_29	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5179	0.07166310399770737	0.31056312	No	
row_30	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	5386	0.06747201085090637	0.30840102	No	
row_31	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	5565	0.06321124732494354	0.30719995	No	
row_32	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	5686	0.060442134737968445	0.30881265	No	
row_33	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	5921	0.055083099752664566	0.30342722	No	
row_34	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	5954	0.05430954322218895	0.30904657	No	
row_35	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	6211	0.04862864688038826	0.30157414	No	
