NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	379	0.29877525568008423	0.07252783	Yes	
row_1	EPX	eosinophil peroxidase [Source:HGNC Symbol;Acc:HGNC:3423]	587	0.26898643374443054	0.14518821	Yes	
row_2	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	605	0.2669297158718109	0.22763085	Yes	
row_3	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	884	0.23358303308486938	0.28533748	Yes	
row_4	IL9	interleukin 9 [Source:HGNC Symbol;Acc:HGNC:6029]	1341	0.19992917776107788	0.32276604	Yes	
row_5	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	1675	0.18087773025035858	0.36099252	Yes	
row_6	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	1792	0.17422129213809967	0.40904593	Yes	
row_7	CCL11	C-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10610]	2094	0.16102269291877747	0.44282642	Yes	
row_8	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2264	0.15385892987251282	0.4816117	Yes	
row_9	IL3	interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011]	2314	0.15194755792617798	0.526384	Yes	
row_10	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	2516	0.1439073383808136	0.5603052	Yes	
row_11	MS4A2	membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316]	4136	0.09570605307817459	0.5013698	Yes	
row_12	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	4401	0.08955656737089157	0.5148579	Yes	
row_13	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4524	0.08631398528814316	0.5351243	Yes	
row_14	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	4549	0.08571375906467438	0.56058013	Yes	
row_15	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	4590	0.08509528636932373	0.584965	Yes	
row_16	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	4591	0.08508384972810745	0.61154085	Yes	
row_17	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	6094	0.05132636800408363	0.54516286	No	
row_18	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	7189	0.02903342805802822	0.49420732	No	
row_19	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	8094	0.010875672101974487	0.44800484	No	
row_20	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	8474	0.0038252396043390036	0.4284052	No	
row_21	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	10014	-0.002773703308776021	0.34483173	No	
row_22	PRG2	proteoglycan 2, pro eosinophil major basic protein [Source:HGNC Symbol;Acc:HGNC:9362]	10099	-0.004140251316130161	0.34151614	No	
row_23	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	11685	-0.03662100434303284	0.26599103	No	
row_24	FCER1A	Fc fragment of IgE receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609]	12801	-0.05984111130237579	0.22350602	No	
row_25	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	13357	-0.07345017045736313	0.21599714	No	
row_26	RNASE3	ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]	16475	-0.16814647614955902	0.097498186	No	
